time	V(receiver)
0.000000000000000e+000	5.863342e-004
9.765624753299562e-009	9.379445e-004
1.953124950659912e-008	1.685600e-003
2.929687450659912e-008	3.056468e-003
3.906249950659912e-008	5.493974e-003
4.882812450659912e-008	9.641564e-003
5.859374950659912e-008	1.619041e-002
6.835937450659912e-008	2.589271e-002
7.812499950659912e-008	3.951686e-002
8.789062450659912e-008	5.780188e-002
9.765624950659912e-008	8.141349e-002
1.074218745065991e-007	1.109037e-001
1.171874995065991e-007	1.466761e-001
1.269531245065991e-007	1.889579e-001
1.367187495065991e-007	2.377802e-001
1.464843745065991e-007	2.929682e-001
1.562499995065991e-007	3.541399e-001
1.660156245065991e-007	4.207145e-001
1.757812495065991e-007	4.919303e-001
1.855468745065991e-007	5.668701e-001
1.953124995065991e-007	6.444933e-001
2.050781245065991e-007	7.236738e-001
2.246093745065991e-007	8.820193e-001
2.343749995065991e-007	9.588765e-001
2.441406245065991e-007	1.032757e+000
2.539062495065991e-007	1.102719e+000
2.636718745065991e-007	1.167968e+000
2.734374995065992e-007	1.227871e+000
2.832031245065992e-007	1.281982e+000
2.929687495065992e-007	1.330041e+000
3.027343745065992e-007	1.371973e+000
3.124999995065993e-007	1.407883e+000
3.222656245065993e-007	1.438031e+000
3.320312495065993e-007	1.462811e+000
3.417968745065993e-007	1.482724e+000
3.515624995065994e-007	1.498338e+000
3.613281245065994e-007	1.510259e+000
3.710937495065994e-007	1.519089e+000
3.808593745065994e-007	1.525396e+000
3.906249995065995e-007	1.529678e+000
4.003906245065995e-007	1.532338e+000
4.101562495065995e-007	1.533663e+000
4.199218745065995e-007	1.533804e+000
4.296874995065996e-007	1.532774e+000
4.394531245065996e-007	1.530444e+000
4.492187495065996e-007	1.526547e+000
4.589843745065996e-007	1.520700e+000
4.687499995065997e-007	1.512416e+000
4.785156245065997e-007	1.501134e+000
4.980468745065997e-007	1.467122e+000
5.078124995065998e-007	1.443165e+000
5.175781245065998e-007	1.413817e+000
5.273437495065998e-007	1.378600e+000
5.371093745065999e-007	1.337146e+000
5.468749995065999e-007	1.289212e+000
5.566406245065999e-007	1.234701e+000
5.664062495065999e-007	1.173670e+000
5.761718745066000e-007	1.106330e+000
5.859374995066000e-007	1.033049e+000
5.957031245066000e-007	9.543359e-001
6.054687495066000e-007	8.708264e-001
6.152343745066001e-007	7.832617e-001
6.249999995066001e-007	6.924622e-001
6.445312495066001e-007	5.046665e-001
6.542968745066002e-007	4.094459e-001
6.640624995066002e-007	3.144823e-001
6.738281245066002e-007	2.205552e-001
6.835937495066002e-007	1.283558e-001
6.933593745066003e-007	3.846894e-002
7.031249995066003e-007	-4.864029e-002
7.128906245066003e-007	-1.326334e-001
7.226562495066003e-007	-2.132998e-001
7.324218745066004e-007	-2.905520e-001
7.421874995066004e-007	-3.644156e-001
7.519531245066004e-007	-4.350131e-001
7.617187495066004e-007	-5.025455e-001
7.714843745066005e-007	-5.672693e-001
7.812499995066005e-007	-6.294720e-001
7.910156245066005e-007	-6.894468e-001
8.007812495066005e-007	-7.474683e-001
8.105468745066006e-007	-8.037691e-001
8.203124995066006e-007	-8.585199e-001
8.300781245066006e-007	-9.118127e-001
8.398437495066006e-007	-9.636488e-001
8.496093745066007e-007	-1.013932e+000
8.593749995066007e-007	-1.062466e+000
8.691406245066007e-007	-1.108961e+000
8.789062495066007e-007	-1.153036e+000
8.886718745066008e-007	-1.194238e+000
8.984374995066008e-007	-1.232060e+000
9.179687495066009e-007	-1.295359e+000
9.277343745066009e-007	-1.319727e+000
9.374999995066009e-007	-1.338540e+000
9.472656245066009e-007	-1.351335e+000
9.570312495066010e-007	-1.357726e+000
9.667968745066010e-007	-1.357420e+000
9.765624995066010e-007	-1.350228e+000
9.863281245066010e-007	-1.336079e+000
9.960937495066011e-007	-1.315018e+000
1.005859374506601e-006	-1.287210e+000
