time	V(receiver)
0.000000000000000e+000	5.863342e-004
9.765624940649698e-012	5.863342e-004
1.953124988129940e-011	5.863342e-004
1.019531249881300e-009	5.863342e-004
2.439139249157681e-009	5.863342e-004
5.278355247710445e-009	5.863342e-004
1.095678724481597e-008	5.863343e-004
2.231365123902703e-008	5.863353e-004
4.502737922744914e-008	5.863653e-004
9.045483520429337e-008	5.866989e-004
1.472867140901949e-007	5.878487e-004
1.795193294039254e-007	5.891729e-004
2.024464563765058e-007	5.906622e-004
2.194050246500408e-007	5.921224e-004
2.364922485125337e-007	5.939458e-004
2.599692336092760e-007	5.969233e-004
2.812289924970880e-007	6.000964e-004
3.157250787482619e-007	6.061193e-004
3.708575652510157e-007	6.171184e-004
4.547040661105530e-007	6.355577e-004
5.523603161105530e-007	6.578164e-004
6.261304201299705e-007	6.739653e-004
6.651848183981421e-007	6.815301e-004
6.921014140607998e-007	6.859210e-004
7.116971643974070e-007	6.886048e-004
7.270313667544760e-007	6.903536e-004
7.460596467106086e-007	6.921380e-004
7.635351907814476e-007	6.934232e-004
7.870293543124012e-007	6.946033e-004
8.250862442792768e-007	6.954916e-004
8.855335702298848e-007	6.949779e-004
9.757659614053588e-007	6.913524e-004
1.073422211405359e-006	6.854683e-004
1.136002676787455e-006	6.817247e-004
1.171797953064285e-006	6.802761e-004
1.196846430446443e-006	6.798879e-004
1.215222116509473e-006	6.799927e-004
1.231416031949761e-006	6.803646e-004
1.247347177176493e-006	6.809631e-004
1.264013917734808e-006	6.818251e-004
1.287807748316265e-006	6.834208e-004
1.326340262250555e-006	6.866799e-004
1.387488020561389e-006	6.931003e-004
1.478523728573358e-006	7.042672e-004
1.576179978573358e-006	7.165805e-004
1.637229330081134e-006	7.231316e-004
1.672629029073865e-006	7.256901e-004
1.697446158306118e-006	7.266297e-004
1.715668934493267e-006	7.268376e-004
1.731971330043840e-006	7.266849e-004
1.748333633437087e-006	7.262505e-004
1.764380623298299e-006	7.255549e-004
1.788403945617334e-006	7.240539e-004
1.827300375347036e-006	7.206670e-004
1.888982471155089e-006	7.131990e-004
1.980624697794341e-006	6.987833e-004
2.078280947794341e-006	6.813784e-004
2.138154536706118e-006	6.710613e-004
2.173257224733397e-006	6.659307e-004
2.197899975852524e-006	6.630127e-004
2.216007231563925e-006	6.612449e-004
2.232391688532561e-006	6.599028e-004
2.249080320676648e-006	6.587434e-004
2.264658169021970e-006	6.578447e-004
2.288855153269959e-006	6.567709e-004
2.328026775205092e-006	6.557364e-004
2.390112010856192e-006	6.557407e-004
2.482208176989883e-006	6.581715e-004
2.579864426989883e-006	6.615684e-004
2.638846676667133e-006	6.625006e-004
2.673727931932079e-006	6.618157e-004
2.698240298377917e-006	6.605595e-004
2.716261029148505e-006	6.592374e-004
2.732707010178750e-006	6.577678e-004
2.747932955761236e-006	6.562138e-004
2.764231681448401e-006	6.543497e-004
2.788161798661902e-006	6.512614e-004
2.826910463274552e-006	6.454181e-004
2.888375762749444e-006	6.341184e-004
2.979772570276603e-006	6.142661e-004
3.077428820276603e-006	5.918338e-004
3.137780238371767e-006	5.790450e-004
3.173002944140262e-006	5.728119e-004
3.197716228888059e-006	5.691894e-004
3.215870238534065e-006	5.668980e-004
3.232221472212474e-006	5.650743e-004
3.248777969683530e-006	5.634202e-004
3.264545786431923e-006	5.620286e-004
3.288672455597616e-006	5.602606e-004
3.327732673237243e-006	5.583287e-004
3.389654804879633e-006	5.575784e-004
3.481567695555042e-006	5.599033e-004
3.579223945555042e-006	5.638073e-004
3.638567251078785e-006	5.652372e-004
3.673537823482220e-006	5.649906e-004
3.698102821005686e-006	5.641912e-004
3.716158493763224e-006	5.633114e-004
3.732579622916651e-006	5.623245e-004
3.749414133985309e-006	5.611617e-004
3.764782243627509e-006	5.599568e-004
3.789056853043011e-006	5.577405e-004
3.828351429262067e-006	5.532978e-004
3.890616525870233e-006	5.441918e-004
3.982914193299859e-006	5.281093e-004
4.080570443299859e-006	5.109614e-004
4.139153868339840e-006	5.023477e-004
4.173937052962333e-006	4.985900e-004
4.198391569198450e-006	4.966509e-004
4.216373869038671e-006	4.955526e-004
4.232843119402162e-006	4.947627e-004
4.247917170153904e-006	4.942081e-004
4.264225813387774e-006	4.938095e-004
4.288152258314804e-006	4.936490e-004
4.326895100002226e-006	4.945485e-004
4.388351851572718e-006	4.987217e-004
4.479738964047164e-006	5.087139e-004
4.577395214047165e-006	5.208102e-004
4.637765450226464e-006	5.273435e-004
4.672992901676571e-006	5.301883e-004
4.697708973476095e-006	5.316788e-004
4.715864829782250e-006	5.325480e-004
4.732214751534317e-006	5.331804e-004
4.748766031739886e-006	5.336857e-004
4.764541349096216e-006	5.340136e-004
4.788665241834117e-006	5.341516e-004
4.827721060056514e-006	5.333666e-004
4.889636747932051e-006	5.298775e-004
4.981542387265736e-006	5.222381e-004
5.079198637265736e-006	5.143286e-004
5.138556195012230e-006	5.112293e-004
5.173530303610232e-006	5.106146e-004
5.198097383785021e-006	5.107641e-004
5.216154438796426e-006	5.111468e-004
5.232574585017878e-006	5.116932e-004
5.249405185692157e-006	5.124420e-004
5.264778917674085e-006	5.133362e-004
5.289051446336685e-006	5.152474e-004
5.328342727186506e-006	5.196467e-004
5.390603005336682e-006	5.293949e-004
5.482895282838797e-006	5.470216e-004
5.580551532838797e-006	5.661901e-004
5.639145651505087e-006	5.765063e-004
5.673931457684867e-006	5.817150e-004
5.698387521165339e-006	5.849316e-004
5.716370849193993e-006	5.870747e-004
5.732839494258121e-006	5.888651e-004
5.747917590546433e-006	5.903462e-004
5.764225969662500e-006	5.917329e-004
5.788152512387853e-006	5.932869e-004
5.826895509149184e-006	5.945627e-004
5.888352488368788e-006	5.940837e-004
5.979739859061636e-006	5.907262e-004
6.077396109061637e-006	5.870095e-004
6.137765844096449e-006	5.859706e-004
6.172993169145415e-006	5.862513e-004
6.197709166713793e-006	5.868854e-004
6.215864973836219e-006	5.875829e-004
6.232214930529673e-006	5.884013e-004
6.248766349689583e-006	5.894255e-004
6.264541467278230e-006	5.906359e-004
6.288665433962358e-006	5.930152e-004
6.327721369357562e-006	5.981412e-004
6.389637228857177e-006	6.086442e-004
6.481543061334477e-006	6.264166e-004
6.579199311334477e-006	6.449777e-004
6.638556489497437e-006	6.548940e-004
6.673530503904553e-006	6.598229e-004
6.698097528606441e-006	6.628109e-004
6.716154546800951e-006	6.647314e-004
6.732574719203026e-006	6.662405e-004
6.749405424031313e-006	6.675423e-004
6.764779006261378e-006	6.684561e-004
6.789051590345212e-006	6.692818e-004
6.828342958968106e-006	6.691985e-004
6.890603365460750e-006	6.664544e-004
6.982895786532670e-006	6.597110e-004
7.080552036532670e-006	6.520658e-004
7.139145870374429e-006	6.482026e-004
7.173931606723399e-006	6.465150e-004
7.198387628990286e-006	6.456930e-004
7.216370929631559e-006	6.453290e-004
7.232839590818361e-006	6.452093e-004
7.247917579348722e-006	6.453027e-004
7.264225965499916e-006	6.456698e-004
7.288152505620281e-006	6.467454e-004
7.326895498251014e-006	6.496706e-004
7.388352471406886e-006	6.562711e-004
7.479739835221763e-006	6.676418e-004
7.577396085221763e-006	6.792941e-004
