time	V(receiver)
0.000000000000000e+000	5.873838e-004
9.765624723809263e-013	6.076283e-004
1.000976562472381e-009	2.133778e-002
2.000976562472381e-009	4.206752e-002
2.032226562472381e-009	4.271529e-002
3.032226562472381e-009	6.344177e-002
5.032226562472382e-009	1.048812e-001
9.032226562472381e-009	1.876614e-001
1.703222656247238e-008	3.527182e-001
2.679785156247238e-008	5.529750e-001
3.656347656247238e-008	7.512009e-001
4.632910156247238e-008	9.465984e-001
5.609472656247238e-008	1.138431e+000
6.586035156247237e-008	1.325976e+000
7.562597656247237e-008	1.508527e+000
8.539160156247237e-008	1.685395e+000
9.515722656247237e-008	1.855915e+000
1.049228515624724e-007	2.019443e+000
1.146884765624724e-007	2.175362e+000
1.244541015624724e-007	2.323086e+000
1.342197265624724e-007	2.462058e+000
1.439853515624724e-007	2.591753e+000
1.635166015624724e-007	2.821394e+000
1.830478515624724e-007	3.008548e+000
2.025791015624724e-007	3.150395e+000
2.221103515624724e-007	3.244792e+000
2.416416015624724e-007	3.290313e+000
2.611728515624724e-007	3.286268e+000
2.807041015624724e-007	3.232709e+000
3.002353515624725e-007	3.130435e+000
3.197666015624725e-007	2.980977e+000
3.392978515624726e-007	2.786577e+000
3.588291015624726e-007	2.550152e+000
3.783603515624727e-007	2.275251e+000
3.978916015624727e-007	1.966001e+000
4.174228515624728e-007	1.627048e+000
4.369541015624728e-007	1.263483e+000
4.564853515624729e-007	8.807667e-001
4.760166015624729e-007	4.846496e-001
4.955478515624730e-007	8.108248e-002
5.150791015624730e-007	-3.238712e-001
5.346103515624731e-007	-7.241272e-001
5.443759765624731e-007	-9.206092e-001
5.541416015624731e-007	-1.113672e+000
5.639072265624732e-007	-1.302590e+000
5.736728515624732e-007	-1.486653e+000
5.834384765624732e-007	-1.665170e+000
5.932041015624732e-007	-1.837468e+000
6.029697265624733e-007	-2.002900e+000
6.127353515624733e-007	-2.160845e+000
6.225009765624733e-007	-2.310709e+000
6.322666015624733e-007	-2.451928e+000
6.420322265624734e-007	-2.583973e+000
6.517978515624734e-007	-2.706346e+000
6.615634765624734e-007	-2.818588e+000
6.713291015624734e-007	-2.920277e+000
6.810947265624735e-007	-3.011032e+000
6.908603515624735e-007	-3.090511e+000
7.006259765624735e-007	-3.158417e+000
7.103916015624735e-007	-3.214494e+000
7.201572265624736e-007	-3.258532e+000
7.299228515624736e-007	-3.290367e+000
7.396884765624736e-007	-3.309879e+000
7.494541015624736e-007	-3.316996e+000
7.592197265624737e-007	-3.311691e+000
7.689853515624737e-007	-3.293986e+000
7.787509765624737e-007	-3.263947e+000
7.885166015624737e-007	-3.221690e+000
7.982822265624738e-007	-3.167373e+000
8.080478515624738e-007	-3.101202e+000
8.178134765624738e-007	-3.023426e+000
8.275791015624738e-007	-2.934339e+000
8.373447265624739e-007	-2.834278e+000
8.471103515624739e-007	-2.723619e+000
8.568759765624739e-007	-2.602780e+000
8.666416015624739e-007	-2.472217e+000
8.764072265624740e-007	-2.332421e+000
8.861728515624740e-007	-2.183920e+000
8.959384765624740e-007	-2.027273e+000
9.057041015624741e-007	-1.863070e+000
9.154697265624741e-007	-1.691931e+000
9.252353515624741e-007	-1.514501e+000
9.350009765624741e-007	-1.331447e+000
9.447666015624742e-007	-1.143460e+000
9.545322265624741e-007	-9.512475e-001
9.642978515624741e-007	-7.555343e-001
9.740634765624741e-007	-5.570576e-001
9.838291015624741e-007	-3.565651e-001
9.935947265624742e-007	-1.548122e-001
1.003360351562474e-006	4.744092e-002
1.013125976562474e-006	2.494324e-001
1.022891601562474e-006	4.504012e-001
1.032657226562474e-006	6.495902e-001
1.042422851562474e-006	8.462489e-001
1.052188476562474e-006	1.039636e+000
1.061954101562474e-006	1.229024e+000
1.071719726562474e-006	1.413699e+000
1.081485351562474e-006	1.592964e+000
1.091250976562474e-006	1.766145e+000
1.101016601562475e-006	1.932588e+000
1.110782226562475e-006	2.091668e+000
1.120547851562475e-006	2.242783e+000
1.130313476562475e-006	2.385366e+000
1.140079101562475e-006	2.518878e+000
1.149844726562475e-006	2.642815e+000
1.169375976562475e-006	2.860138e+000
1.188907226562475e-006	3.034061e+000
1.208438476562475e-006	3.161961e+000
1.227969726562475e-006	3.241910e+000
1.247500976562475e-006	3.272698e+000
1.267032226562475e-006	3.253859e+000
1.286563476562475e-006	3.185668e+000
1.306094726562475e-006	3.069147e+000
1.325625976562475e-006	2.906043e+000
1.345157226562475e-006	2.698803e+000
1.364688476562475e-006	2.450539e+000
1.384219726562475e-006	2.164980e+000
1.403750976562475e-006	1.846415e+000
1.423282226562475e-006	1.499631e+000
1.442813476562475e-006	1.129838e+000
1.462344726562475e-006	7.425939e-001
1.481875976562476e-006	3.437167e-001
1.501407226562476e-006	-6.079903e-002
1.520938476562476e-006	-4.648740e-001
1.530704101562476e-006	-6.648459e-001
1.540469726562476e-006	-8.624359e-001
1.550235351562476e-006	-1.056901e+000
1.560000976562476e-006	-1.247510e+000
1.569766601562476e-006	-1.433546e+000
1.579532226562476e-006	-1.614310e+000
1.589297851562476e-006	-1.789121e+000
1.599063476562476e-006	-1.957323e+000
1.608829101562476e-006	-2.118283e+000
1.618594726562476e-006	-2.271396e+000
1.628360351562476e-006	-2.416086e+000
1.638125976562476e-006	-2.551810e+000
1.647891601562476e-006	-2.678056e+000
1.657657226562476e-006	-2.794351e+000
1.667422851562476e-006	-2.900258e+000
1.677188476562476e-006	-2.995378e+000
1.686954101562476e-006	-3.079354e+000
1.696719726562476e-006	-3.151870e+000
1.706485351562476e-006	-3.212655e+000
1.716250976562476e-006	-3.261481e+000
1.726016601562476e-006	-3.298163e+000
1.735782226562476e-006	-3.322565e+000
1.745547851562476e-006	-3.334595e+000
1.755313476562476e-006	-3.334209e+000
1.765079101562476e-006	-3.321409e+000
1.774844726562476e-006	-3.296243e+000
1.784610351562476e-006	-3.258807e+000
1.794375976562476e-006	-3.209243e+000
1.804141601562476e-006	-3.147737e+000
1.813907226562476e-006	-3.074522e+000
1.823672851562476e-006	-2.989874e+000
1.833438476562476e-006	-2.894112e+000
1.843204101562476e-006	-2.787597e+000
1.852969726562476e-006	-2.670730e+000
1.862735351562477e-006	-2.543953e+000
1.872500976562477e-006	-2.407742e+000
1.882266601562477e-006	-2.262612e+000
1.892032226562477e-006	-2.109108e+000
1.901797851562477e-006	-1.947810e+000
1.911563476562477e-006	-1.779325e+000
1.921329101562477e-006	-1.604288e+000
1.931094726562477e-006	-1.423358e+000
1.940860351562477e-006	-1.237216e+000
1.950625976562477e-006	-1.046565e+000
1.960391601562477e-006	-8.521214e-001
1.970157226562477e-006	-6.546184e-001
1.979922851562477e-006	-4.548001e-001
1.989688476562477e-006	-2.534189e-001
1.999454101562477e-006	-5.123348e-002
2.009219726562477e-006	1.509947e-001
2.018985351562477e-006	3.525037e-001
2.028750976562477e-006	5.525348e-001
2.038516601562477e-006	7.503343e-001
2.048282226562477e-006	9.451572e-001
2.058047851562477e-006	1.136270e+000
2.067813476562477e-006	1.322952e+000
2.077579101562477e-006	1.504500e+000
2.087344726562477e-006	1.680231e+000
2.097110351562477e-006	1.849482e+000
2.106875976562477e-006	2.011616e+000
2.116641601562477e-006	2.166023e+000
2.126407226562477e-006	2.312119e+000
2.136172851562477e-006	2.449356e+000
2.145938476562477e-006	2.577215e+000
2.155704101562477e-006	2.695215e+000
2.165469726562477e-006	2.802911e+000
2.175235351562477e-006	2.899898e+000
2.194766601562477e-006	3.060320e+000
2.214297851562477e-006	3.174065e+000
2.233829101562477e-006	3.239417e+000
2.253360351562478e-006	3.255388e+000
2.272891601562478e-006	3.221733e+000
2.292422851562478e-006	3.138954e+000
2.311954101562478e-006	3.008291e+000
2.331485351562478e-006	2.831705e+000
2.351016601562478e-006	2.611846e+000
2.370547851562478e-006	2.352017e+000
2.390079101562478e-006	2.056122e+000
2.409610351562478e-006	1.728605e+000
2.429141601562478e-006	1.374389e+000
2.448672851562478e-006	9.987963e-001
2.468204101562478e-006	6.074716e-001
2.487735351562478e-006	2.062958e-001
2.497500976562478e-006	3.894642e-003
2.517032226562478e-006	-4.007312e-001
2.536563476562478e-006	-8.000557e-001
2.546329101562478e-006	-9.958490e-001
2.556094726562478e-006	-1.188077e+000
2.565860351562478e-006	-1.376019e+000
2.575625976562478e-006	-1.558965e+000
2.585391601562478e-006	-1.736230e+000
2.595157226562478e-006	-1.907145e+000
2.604922851562478e-006	-2.071069e+000
2.614688476562478e-006	-2.227385e+000
2.624454101562478e-006	-2.375505e+000
2.634219726562479e-006	-2.514873e+000
2.643985351562479e-006	-2.644964e+000
2.653750976562479e-006	-2.765290e+000
2.663516601562479e-006	-2.875398e+000
2.673282226562479e-006	-2.974874e+000
2.683047851562479e-006	-3.063345e+000
2.692813476562479e-006	-3.140479e+000
2.702579101562479e-006	-3.205984e+000
2.712344726562479e-006	-3.259617e+000
2.722110351562479e-006	-3.301174e+000
