time	V(receiver)
0.000000000000000e+000	5.873838e-004
9.765624975344167e-010	5.883915e-004
1.953124995068833e-009	5.906452e-004
3.906249990137667e-009	6.035852e-004
7.812499980275334e-009	6.962958e-004
1.562499996055067e-008	1.236718e-003
2.539062496055067e-008	2.797669e-003
3.515624996055067e-008	5.815980e-003
4.492187496055067e-008	1.084387e-002
5.468749996055066e-008	1.834371e-002
6.445312496055066e-008	2.871103e-002
7.421874996055066e-008	4.226351e-002
8.398437496055066e-008	5.923159e-002
9.374999996055066e-008	7.975106e-002
1.035156249605507e-007	1.038578e-001
1.132812499605507e-007	1.314850e-001
1.230468749605507e-007	1.624629e-001
1.328124999605507e-007	1.965207e-001
1.425781249605507e-007	2.332909e-001
1.523437499605507e-007	2.723162e-001
1.621093749605507e-007	3.130577e-001
1.718749999605507e-007	3.549063e-001
1.816406249605507e-007	3.971950e-001
1.914062499605507e-007	4.392125e-001
2.011718749605507e-007	4.802187e-001
2.109374999605507e-007	5.194598e-001
2.207031249605507e-007	5.561856e-001
2.304687499605507e-007	5.896648e-001
2.402343749605506e-007	6.192015e-001
2.499999999605507e-007	6.441506e-001
2.597656249605507e-007	6.639318e-001
2.695312499605507e-007	6.780432e-001
2.792968749605507e-007	6.860721e-001
2.890624999605508e-007	6.877050e-001
2.988281249605508e-007	6.827351e-001
3.085937499605508e-007	6.710672e-001
3.183593749605508e-007	6.527202e-001
3.281249999605509e-007	6.278283e-001
3.378906249605509e-007	5.966382e-001
3.476562499605509e-007	5.595051e-001
3.574218749605509e-007	5.168855e-001
3.671874999605510e-007	4.693283e-001
3.769531249605510e-007	4.174641e-001
3.867187499605510e-007	3.619921e-001
3.964843749605510e-007	3.036661e-001
4.062499999605511e-007	2.432794e-001
4.160156249605511e-007	1.816487e-001
4.257812499605511e-007	1.195976e-001
4.355468749605511e-007	5.793986e-002
4.453124999605512e-007	-2.536437e-003
4.550781249605512e-007	-6.108515e-002
4.648437499605512e-007	-1.170163e-001
4.746093749605512e-007	-1.697094e-001
4.843749999605513e-007	-2.186250e-001
4.941406249605513e-007	-2.633147e-001
5.039062499605513e-007	-3.034289e-001
5.136718749605513e-007	-3.387222e-001
5.234374999605514e-007	-3.690568e-001
5.332031249605514e-007	-3.944027e-001
5.429687499605514e-007	-4.148364e-001
5.527343749605514e-007	-4.305370e-001
5.624999999605515e-007	-4.417791e-001
5.722656249605515e-007	-4.489250e-001
5.820312499605515e-007	-4.524137e-001
5.917968749605515e-007	-4.527493e-001
6.015624999605516e-007	-4.504872e-001
6.113281249605516e-007	-4.462198e-001
6.210937499605516e-007	-4.405608e-001
6.308593749605517e-007	-4.341297e-001
6.406249999605517e-007	-4.275357e-001
6.503906249605517e-007	-4.213629e-001
6.601562499605517e-007	-4.161547e-001
6.699218749605518e-007	-4.124007e-001
6.796874999605518e-007	-4.105242e-001
6.894531249605518e-007	-4.108715e-001
6.992187499605518e-007	-4.137024e-001
7.089843749605519e-007	-4.191842e-001
7.187499999605519e-007	-4.273866e-001
7.285156249605519e-007	-4.382797e-001
7.382812499605519e-007	-4.517342e-001
7.480468749605520e-007	-4.675236e-001
7.578124999605520e-007	-4.853292e-001
7.675781249605520e-007	-5.047476e-001
7.773437499605520e-007	-5.252993e-001
7.871093749605521e-007	-5.464402e-001
7.968749999605521e-007	-5.675741e-001
8.066406249605521e-007	-5.880662e-001
8.164062499605521e-007	-6.072588e-001
8.261718749605522e-007	-6.244864e-001
8.359374999605522e-007	-6.390923e-001
8.457031249605522e-007	-6.504433e-001
8.554687499605522e-007	-6.579465e-001
8.652343749605523e-007	-6.610627e-001
8.749999999605523e-007	-6.593213e-001
