time	V(receiver)

%Step Information: Cload=1n Rload=1  (Run: 1/18)
0.000000000000000e+000	0.000000e+000
9.765624723809263e-013	-3.077154e-005
1.953124944761853e-012	-4.251731e-005
1.001953124944762e-009	-1.208916e-005
2.001953124944762e-009	-8.714658e-007
4.001953124944762e-009	-2.875829e-006
8.001953124944762e-009	-1.064896e-005
1.600195312494476e-008	-3.808077e-005
2.576757812494476e-008	-8.998033e-005
3.553320312494476e-008	-1.625152e-004
4.529882812494476e-008	-2.552157e-004
5.506445312494476e-008	-3.664491e-004
6.483007812494476e-008	-4.945126e-004
7.459570312494475e-008	-6.376491e-004
8.436132812494475e-008	-7.940626e-004
9.412695312494475e-008	-9.619310e-004
1.038925781249448e-007	-1.139428e-003
1.136582031249448e-007	-1.324751e-003
1.234238281249448e-007	-1.516105e-003
1.331894531249448e-007	-1.711699e-003
1.429550781249448e-007	-1.909826e-003
1.527207031249448e-007	-2.108861e-003
1.624863281249448e-007	-2.307235e-003
1.722519531249448e-007	-2.503471e-003
1.820175781249448e-007	-2.696185e-003
1.917832031249448e-007	-2.884069e-003
2.015488281249448e-007	-3.065952e-003
2.113144531249448e-007	-3.240774e-003
2.210800781249448e-007	-3.407551e-003
2.308457031249448e-007	-3.565444e-003
2.406113281249448e-007	-3.713718e-003
2.503769531249448e-007	-3.851706e-003
2.601425781249448e-007	-3.978880e-003
2.699082031249448e-007	-4.094798e-003
2.796738281249449e-007	-4.199076e-003
2.894394531249449e-007	-4.291418e-003
2.992050781249449e-007	-4.371591e-003
3.089707031249449e-007	-4.439418e-003
3.187363281249450e-007	-4.494763e-003
3.285019531249450e-007	-4.537535e-003
3.382675781249450e-007	-4.567650e-003
3.480332031249450e-007	-4.585040e-003
3.577988281249451e-007	-4.589686e-003
3.675644531249451e-007	-4.581531e-003
3.773300781249451e-007	-4.560505e-003
3.870957031249451e-007	-4.526577e-003
3.968613281249452e-007	-4.479672e-003
4.066269531249452e-007	-4.419698e-003
4.163925781249452e-007	-4.346596e-003
4.261582031249452e-007	-4.260253e-003
4.359238281249453e-007	-4.160552e-003
4.456894531249453e-007	-4.047417e-003
4.554550781249453e-007	-3.920753e-003
4.652207031249453e-007	-3.780452e-003
4.749863281249454e-007	-3.626455e-003
4.847519531249454e-007	-3.458758e-003
4.945175781249454e-007	-3.277370e-003
5.042832031249454e-007	-3.082329e-003
5.140488281249455e-007	-2.873756e-003
5.238144531249455e-007	-2.651866e-003
5.335800781249455e-007	-2.416924e-003
5.433457031249456e-007	-2.169266e-003
5.531113281249456e-007	-1.909336e-003
5.628769531249456e-007	-1.637699e-003
5.726425781249456e-007	-1.354996e-003
5.824082031249457e-007	-1.061972e-003
5.921738281249457e-007	-7.595123e-004
6.019394531249457e-007	-4.485673e-004
6.117050781249457e-007	-1.301924e-004
6.214707031249458e-007	1.944339e-004
6.312363281249458e-007	5.240536e-004
6.410019531249458e-007	8.573221e-004
6.507675781249458e-007	1.192826e-003
6.605332031249459e-007	1.529091e-003
6.702988281249459e-007	1.864592e-003
6.800644531249459e-007	2.197773e-003
6.898300781249459e-007	2.527075e-003
6.995957031249460e-007	2.850903e-003
7.093613281249460e-007	3.167671e-003
7.191269531249460e-007	3.475862e-003
7.288925781249460e-007	3.773968e-003
7.386582031249461e-007	4.060540e-003
7.484238281249461e-007	4.334242e-003
7.581894531249461e-007	4.593791e-003
7.679550781249461e-007	4.837998e-003
7.777207031249462e-007	5.065799e-003
7.874863281249462e-007	5.276248e-003
7.972519531249462e-007	5.468525e-003
8.070175781249462e-007	5.641944e-003
8.167832031249463e-007	5.795951e-003
8.265488281249463e-007	5.930133e-003
8.363144531249463e-007	6.044213e-003
8.460800781249463e-007	6.138045e-003
8.558457031249464e-007	6.211615e-003
8.656113281249464e-007	6.265051e-003
8.753769531249464e-007	6.298579e-003
8.851425781249464e-007	6.312506e-003
8.949082031249465e-007	6.307263e-003
9.046738281249465e-007	6.283392e-003
9.144394531249465e-007	6.241484e-003
9.242050781249466e-007	6.182164e-003
9.339707031249466e-007	6.106148e-003
9.437363281249466e-007	6.014188e-003
9.535019531249466e-007	5.907018e-003
9.632675781249465e-007	5.785433e-003
9.730332031249466e-007	5.650231e-003
9.827988281249466e-007	5.502157e-003
9.925644531249466e-007	5.341986e-003
1.002330078124947e-006	5.170479e-003
1.012095703124947e-006	4.988342e-003
1.021861328124947e-006	4.796267e-003
1.031626953124947e-006	4.594911e-003
1.041392578124947e-006	4.384900e-003
1.051158203124947e-006	4.166827e-003
1.060923828124947e-006	3.941285e-003
1.070689453124947e-006	3.708834e-003
1.080455078124947e-006	3.469989e-003
1.090220703124947e-006	3.225277e-003
1.099986328124947e-006	2.975210e-003
1.109751953124947e-006	2.720324e-003
1.119517578124947e-006	2.461165e-003
1.129283203124947e-006	2.198259e-003
1.139048828124947e-006	1.932199e-003
1.148814453124947e-006	1.663619e-003
1.158580078124947e-006	1.393152e-003
1.168345703124947e-006	1.121509e-003
1.178111328124947e-006	8.494611e-004
1.187876953124947e-006	5.777961e-004
1.197642578124947e-006	3.073788e-004
1.207408203124947e-006	3.915723e-005
1.217173828124947e-006	-2.258857e-004
1.226939453124947e-006	-4.867411e-004
1.236705078124947e-006	-7.423278e-004
1.246470703124947e-006	-9.915075e-004
1.256236328124947e-006	-1.233108e-003
1.266001953124947e-006	-1.465949e-003
1.275767578124947e-006	-1.688860e-003
1.285533203124947e-006	-1.900643e-003
1.295298828124947e-006	-2.100097e-003
1.305064453124947e-006	-2.286056e-003
1.314830078124948e-006	-2.457389e-003
1.324595703124948e-006	-2.613023e-003
1.334361328124948e-006	-2.751952e-003
1.344126953124948e-006	-2.873245e-003
1.353892578124948e-006	-2.976062e-003
1.363658203124948e-006	-3.059671e-003
1.373423828124948e-006	-3.123469e-003
1.383189453124948e-006	-3.166962e-003
1.392955078124948e-006	-3.189762e-003
1.402720703124948e-006	-3.191646e-003
1.412486328124948e-006	-3.172555e-003
1.422251953124948e-006	-3.132558e-003
1.432017578124948e-006	-3.071863e-003
1.441783203124948e-006	-2.990837e-003
1.451548828124948e-006	-2.889985e-003
1.461314453124948e-006	-2.769916e-003
1.471080078124948e-006	-2.631389e-003
1.480845703124948e-006	-2.475302e-003
1.490611328124948e-006	-2.302640e-003
1.500376953124948e-006	-2.114486e-003
1.510142578124948e-006	-1.912027e-003
1.519908203124948e-006	-1.696494e-003
1.529673828124948e-006	-1.469151e-003
1.539439453124948e-006	-1.231338e-003
1.549205078124948e-006	-9.844224e-004
1.558970703124948e-006	-7.297692e-004
1.568736328124948e-006	-4.687431e-004
1.578501953124948e-006	-2.026875e-004
1.588267578124948e-006	6.707634e-005
1.598033203124948e-006	3.392634e-004
1.607798828124948e-006	6.126455e-004
1.617564453124948e-006	8.860517e-004
1.627330078124948e-006	1.158372e-003
1.637095703124948e-006	1.428570e-003
1.646861328124948e-006	1.695679e-003
1.656626953124948e-006	1.958804e-003
1.666392578124948e-006	2.217118e-003
1.676158203124948e-006	2.469880e-003
1.685923828124948e-006	2.716411e-003
1.695689453124949e-006	2.956064e-003
1.705455078124949e-006	3.188270e-003
1.715220703124949e-006	3.412541e-003
1.724986328124949e-006	3.628400e-003
1.734751953124949e-006	3.835388e-003
1.744517578124949e-006	4.033110e-003
1.754283203124949e-006	4.221176e-003
1.764048828124949e-006	4.399178e-003
1.773814453124949e-006	4.566750e-003
1.783580078124949e-006	4.723521e-003
1.793345703124949e-006	4.869086e-003
1.803111328124949e-006	5.003038e-003
1.812876953124949e-006	5.124955e-003
1.822642578124949e-006	5.234405e-003
1.832408203124949e-006	5.330916e-003
1.842173828124949e-006	5.413993e-003
1.851939453124949e-006	5.483168e-003
1.861705078124949e-006	5.537933e-003
1.871470703124949e-006	5.577762e-003
1.881236328124949e-006	5.602171e-003
1.891001953124949e-006	5.610658e-003
1.900767578124949e-006	5.602732e-003
1.910533203124949e-006	5.577969e-003
1.920298828124949e-006	5.535963e-003
1.930064453124949e-006	5.476349e-003
1.939830078124949e-006	5.398822e-003
1.949595703124949e-006	5.303162e-003
1.959361328124949e-006	5.189260e-003
1.969126953124949e-006	5.057068e-003
1.978892578124949e-006	4.906636e-003
1.988658203124949e-006	4.738136e-003
1.998423828124949e-006	4.551855e-003
2.008189453124949e-006	4.348185e-003
2.017955078124949e-006	4.127662e-003
2.027720703124949e-006	3.890968e-003
2.037486328124949e-006	3.638882e-003
2.047251953124949e-006	3.372293e-003
2.057017578124949e-006	3.092234e-003
2.066783203124949e-006	2.799828e-003
2.076548828124949e-006	2.496312e-003
2.086314453124949e-006	2.183043e-003
2.096080078124949e-006	1.861438e-003
2.105845703124949e-006	1.532970e-003
2.115611328124949e-006	1.199173e-003
2.125376953124949e-006	8.616311e-004
2.135142578124949e-006	5.219779e-004
2.144908203124949e-006	1.818223e-004
2.154673828124950e-006	-1.572267e-004
2.164439453124950e-006	-4.935502e-004
2.174205078124950e-006	-8.256065e-004
2.183970703124950e-006	-1.151898e-003
2.193736328124950e-006	-1.470964e-003
2.203501953124950e-006	-1.781434e-003
2.213267578124950e-006	-2.082026e-003
