time	V(receiver)
0.000000000000000e+000	0.000000e+000
1.953124988129940e-011	1.194817e-004
3.906249976259879e-011	1.582912e-004
7.812499952519758e-011	1.599060e-004
1.562499990503952e-010	1.315567e-004
3.124999981007903e-010	3.041183e-005
6.249999962015806e-010	-2.981669e-005
1.249999992403161e-009	-1.370387e-005
1.406249991453556e-009	-1.993701e-005
1.718749989554347e-009	-2.604866e-005
2.343749985755927e-009	-1.219451e-005
2.499999984806323e-009	3.280015e-005
2.539062484568921e-009	6.768397e-005
2.617187484094119e-009	9.106581e-005
2.773437483144514e-009	1.941625e-005
3.085937481245304e-009	-2.719631e-005
3.164062480770502e-009	-2.715931e-005
3.320312479820897e-009	2.936222e-005
3.359374979583496e-009	6.709943e-005
3.437499979108694e-009	9.002408e-005
3.593749978159089e-009	1.795116e-005
3.906249976259879e-009	-2.378877e-005
4.531249972461460e-009	-1.219687e-005
4.687499971511855e-009	-1.755876e-005
4.999999969612645e-009	-2.793042e-005
5.078124969137843e-009	-2.783639e-005
5.234374968188238e-009	-2.826816e-005
5.546874966289028e-009	-2.824872e-005
5.624999965814226e-009	-2.782138e-005
5.781249964864621e-009	-2.768634e-005
6.093749962965411e-009	-1.644766e-004
6.103515587906061e-009	-2.197548e-004
6.123046837787360e-009	-2.037234e-004
6.127929650257685e-009	-6.353004e-004
6.129150949421711e-009	-1.570536e-003
7.129150949421710e-009	3.815169e-005
7.144775949421711e-009	6.912606e-005
7.176025949421711e-009	9.997888e-005
7.238525949421710e-009	6.959317e-005
7.363525949421711e-009	6.650935e-006
7.613525949421711e-009	-2.473949e-005
8.113525949421711e-009	-1.341779e-005
8.238525949421710e-009	-1.892747e-005
8.488525949421711e-009	-2.487248e-005
8.988525949421710e-009	-8.950623e-006
9.988525949421711e-009	3.651787e-005
1.001977594942171e-008	5.027400e-005
1.008227594942171e-008	5.803556e-005
1.020727594942171e-008	4.573255e-006
1.045727594942171e-008	-2.643606e-005
1.095727594942171e-008	-9.859953e-006
1.195727594942171e-008	3.947627e-007
1.220727594942171e-008	1.469650e-007
1.270727594942171e-008	4.373712e-005
1.272290094942171e-008	6.026227e-005
1.275415094942171e-008	8.779797e-005
1.281665094942171e-008	6.159085e-005
1.294165094942171e-008	2.222672e-006
1.319165094942171e-008	-2.841064e-005
1.369165094942171e-008	-1.742613e-005
1.381665094942171e-008	-2.299546e-005
1.406665094942171e-008	-2.863620e-005
1.456665094942171e-008	-1.244477e-005
1.556665094942171e-008	-3.254903e-006
1.756665094942171e-008	-7.376771e-006
2.156665094942171e-008	-1.384101e-005
2.956665094942171e-008	-2.775357e-005
4.556665094942171e-008	-6.774397e-005
7.756665094942170e-008	-1.859453e-004
1.415666509494217e-007	-5.004518e-004
1.755839753054810e-007	-7.007514e-004
1.995845115338274e-007	-8.575231e-004
2.172643541458723e-007	-9.773833e-004
2.339130120120158e-007	-1.092915e-003
2.517822118083242e-007	-1.219278e-003
2.679019851105871e-007	-1.334988e-003
2.941264303350725e-007	-1.527060e-003
3.364980373231916e-007	-1.847330e-003
4.032100808412701e-007	-2.365627e-003
5.002807800358562e-007	-3.109983e-003
5.901751669430729e-007	-3.743491e-003
6.422509843331149e-007	-4.054669e-003
6.760525093009754e-007	-4.219729e-003
6.999244124425898e-007	-4.317669e-003
7.175182746722699e-007	-4.380055e-003
7.342184221554778e-007	-4.432014e-003
7.523245311401777e-007	-4.481755e-003
7.687850252041894e-007	-4.520427e-003
7.955606191076473e-007	-4.570535e-003
8.387978168577050e-007	-4.623117e-003
9.067412073920947e-007	-4.638806e-003
9.807696754986593e-007	-4.539711e-003
1.070040399794661e-006	-4.237736e-003
1.138720335474491e-006	-3.867043e-003
1.173641962056271e-006	-3.621728e-003
1.198178124288232e-006	-3.425115e-003
1.216214655748429e-006	-3.271047e-003
1.232649397779397e-006	-3.124261e-003
1.249538066999739e-006	-2.968243e-003
1.264828307656255e-006	-2.822612e-003
1.289131734815910e-006	-2.582220e-003
1.328471948337682e-006	-2.171690e-003
1.390803763466488e-006	-1.461614e-003
1.483176015333333e-006	-2.776486e-004
1.579948396413661e-006	1.108634e-003
1.636045606375765e-006	1.977622e-003
1.671827003851532e-006	2.552735e-003
1.696867381701980e-006	2.958692e-003
1.715237721141452e-006	3.256581e-003
1.731435426957134e-006	3.518436e-003
1.747381632695343e-006	3.774975e-003
1.764026727181076e-006	4.041193e-003
1.787828574966331e-006	4.419490e-003
1.826373806977710e-006	5.028358e-003
1.887540262562575e-006	5.988791e-003
1.978597286240290e-006	7.397587e-003
2.077110885078205e-006	8.867847e-003
2.134346496812301e-006	9.666669e-003
2.170679128298267e-006	1.013246e-002
2.196040240149567e-006	1.043378e-002
2.214621925440516e-006	1.064118e-002
2.230669952911500e-006	1.081157e-002
2.246021686409201e-006	1.096727e-002
2.263521074260710e-006	1.113585e-002
2.287006400142322e-006	1.134746e-002
2.325049255939661e-006	1.165722e-002
2.385475878982813e-006	1.206935e-002
2.475684384957437e-006	1.249988e-002
2.575278537461892e-006	1.271774e-002
2.633254243898871e-006	1.268316e-002
2.669943321695012e-006	1.257493e-002
2.695510788545341e-006	1.246064e-002
2.714228043070387e-006	1.235768e-002
2.730180221782745e-006	1.225787e-002
2.745208887578265e-006	1.215436e-002
2.763218777645002e-006	1.201899e-002
2.786514834790166e-006	1.182580e-002
2.824257033183211e-006	1.147035e-002
2.884239650494945e-006	1.079923e-002
2.973933966401398e-006	9.587723e-003
3.043344285910939e-006	8.447764e-003
3.124729941499840e-006	6.887011e-003
3.164257667341800e-006	6.050155e-003
3.191440132282153e-006	5.438307e-003
3.211207405104232e-006	4.980113e-003
3.226421588766321e-006	4.620214e-003
3.245305008677868e-006	4.167313e-003
3.263254530894557e-006	3.730730e-003
3.286572974820732e-006	3.153226e-003
3.324350744921082e-006	2.195775e-003
3.384385941843282e-006	6.178175e-004
3.474141341063746e-006	-1.853909e-003
3.574298701174399e-006	-4.724976e-003
3.632671730261425e-006	-6.435218e-003
3.669551577486161e-006	-7.518236e-003
3.695229151689510e-006	-8.265633e-003
3.714018613142258e-006	-8.806590e-003
3.729919793191940e-006	-9.259740e-003
3.745150767877718e-006	-9.689658e-003
3.763197158882573e-006	-1.019365e-002
3.786479679306721e-006	-1.083496e-002
3.824200367112720e-006	-1.185373e-002
3.884151182761850e-006	-1.342272e-002
3.973808528727797e-006	-1.564180e-002
4.074086499377430e-006	-1.792337e-002
4.132545717593804e-006	-1.911102e-002
4.169466894724786e-006	-1.977548e-002
4.195168293016378e-006	-2.019492e-002
4.213973366049518e-006	-2.047909e-002
4.229863524667400e-006	-2.070461e-002
4.245138212255139e-006	-2.090890e-002
4.263192488519328e-006	-2.113469e-002
4.286472084546732e-006	-2.140076e-002
4.324188125200985e-006	-2.177325e-002
4.384132069797207e-006	-2.221787e-002
4.473781425581350e-006	-2.255228e-002
4.574069204647398e-006	-2.248992e-002
4.632535449601534e-006	-2.219745e-002
4.669459995416488e-006	-2.188227e-002
4.695163335064350e-006	-2.160665e-002
4.713969680053053e-006	-2.137798e-002
4.729858940773445e-006	-2.116792e-002
4.745137189443605e-006	-2.095152e-002
4.763192108059349e-006	-2.067821e-002
4.786471465857449e-006	-2.029807e-002
4.824187127940122e-006	-1.961660e-002
4.884130512789166e-006	-1.837068e-002
4.973779217618107e-006	-1.618100e-002
5.058881041014280e-006	-1.375569e-002
5.126473536795232e-006	-1.157415e-002
5.178931392773540e-006	-9.744631e-003
5.202017883852012e-006	-8.904106e-003
5.219084080267790e-006	-8.267508e-003
5.236104912351084e-006	-7.623507e-003
5.257273824537434e-006	-6.812837e-003
5.276842512425334e-006	-6.052991e-003
5.308628316786493e-006	-4.795680e-003
5.359638083217278e-006	-2.724872e-003
5.438205103579049e-006	5.741738e-004
5.545761689708655e-006	5.223862e-003
5.616106197359370e-006	8.308221e-003
5.658609348672135e-006	1.016842e-002
5.687433355850076e-006	1.141542e-002
5.708248063741231e-006	1.230517e-002
5.723762204837656e-006	1.296129e-002
5.741771702137505e-006	1.371552e-002
5.761939391339001e-006	1.455134e-002
5.784434097995156e-006	1.547019e-002
5.820901281451065e-006	1.692886e-002
5.878990921336318e-006	1.917258e-002
5.966452303330312e-006	2.233283e-002
6.079238971384658e-006	2.603654e-002
6.135619911909591e-006	2.767485e-002
6.171539044401819e-006	2.859552e-002
6.196659747549536e-006	2.918295e-002
6.215083089205367e-006	2.958353e-002
6.231243228960377e-006	2.991411e-002
6.247040185891130e-006	3.021985e-002
6.263899784748307e-006	3.052631e-002
6.287622179021658e-006	3.092114e-002
6.326041354776751e-006	3.147263e-002
6.387022416600297e-006	3.212502e-002
6.477867788301993e-006	3.261286e-002
6.576654066325466e-006	3.253946e-002
6.634073829869753e-006	3.215627e-002
6.670495289964727e-006	3.174429e-002
6.695907902958208e-006	3.138406e-002
6.714523452853962e-006	3.108441e-002
6.730547525726680e-006	3.080348e-002
6.745804168678687e-006	3.051709e-002
6.763440181878963e-006	3.016300e-002
6.786874863791029e-006	2.965332e-002
6.824837289086634e-006	2.873409e-002
6.885145223938986e-006	2.704388e-002
6.975216642318887e-006	2.404852e-002
7.074982209612297e-006	2.018323e-002
7.133077962945638e-006	1.765667e-002
7.169824722243890e-006	1.593823e-002
7.195425505861160e-006	1.469612e-002
7.214164618648443e-006	1.376705e-002
7.230101355356026e-006	1.296498e-002
7.245191285541126e-006	1.219608e-002
7.263212230264683e-006	1.126656e-002
7.286504187743552e-006	1.004633e-002
7.324239871644857e-006	8.025643e-003
7.384212858302008e-006	4.716071e-003
7.473895980406463e-006	-3.974467e-004
7.574142288872431e-006	-6.245382e-003
7.632578842442393e-006	-9.678161e-003
7.669489153090734e-006	-1.183405e-002
7.695184288590144e-006	-1.331976e-002
7.713985258117590e-006	-1.439637e-002
7.729878313554914e-006	-1.529876e-002
7.745141512151240e-006	-1.615844e-002
7.763193715996218e-006	-1.716586e-002
7.786474080621793e-006	-1.844938e-002
7.824191342657864e-006	-2.048964e-002
7.884137093151097e-006	-2.362185e-002
7.973788549054453e-006	-2.802159e-002
8.074073750391942e-006	-3.251998e-002
8.132538148407043e-006	-3.486657e-002
8.169461808794020e-006	-3.619465e-002
8.195164638180998e-006	-3.704614e-002
8.213970648855038e-006	-3.763111e-002
8.229860145573376e-006	-3.810026e-002
8.245137458272127e-006	-3.852981e-002
8.263192208056761e-006	-3.901074e-002
8.286471628469372e-006	-3.958586e-002
8.324187390053158e-006	-4.040765e-002
8.384130922022387e-006	-4.143519e-002
8.473779797944582e-006	-4.235767e-002
8.574068165973725e-006	-4.260531e-002
8.632534832944891e-006	-4.230984e-002
8.669459581074851e-006	-4.190649e-002
8.695163037313578e-006	-4.153281e-002
8.713969458690455e-006	-4.121357e-002
8.729858665487352e-006	-4.091475e-002
8.745137128018713e-006	-4.060291e-002
8.763192085210841e-006	-4.020361e-002
8.786471428702089e-006	-3.963742e-002
8.824187068049650e-006	-3.859774e-002
8.884130419283037e-006	-3.664794e-002
8.973779085018633e-006	-3.312635e-002
9.074067711018875e-006	-2.848193e-002
9.132534562840289e-006	-2.542062e-002
9.169459399587338e-006	-2.333214e-002
9.195162906894581e-006	-2.181939e-002
9.213969361730569e-006	-2.068544e-002
9.229858544908217e-006	-1.971127e-002
9.245137101113762e-006	-1.876130e-002
9.263192075202880e-006	-1.762157e-002
9.286471412427527e-006	-1.612454e-002
9.324187041816794e-006	-1.363702e-002
9.384130378326056e-006	-9.545582e-003
9.473779026938214e-006	-3.198445e-003
9.574067673954699e-006	4.090554e-003
9.632534540835469e-006	8.384390e-003
9.669459384801959e-006	1.109014e-002
9.695162896269639e-006	1.296005e-002
9.713969353831465e-006	1.431887e-002
9.729858535084907e-006	1.546004e-002
9.745137098921877e-006	1.655080e-002
9.763192074387553e-006	1.783071e-002
9.786471411101675e-006	1.946508e-002
9.824187039679663e-006	2.207207e-002
9.884130374989383e-006	2.609267e-002
9.973779022206534e-006	3.177644e-002
1.007406767093516e-005	3.764120e-002
1.013253453904279e-005	4.074002e-002
1.016945938359743e-005	4.251909e-002
1.019516289540405e-005	4.367321e-002
1.021396935318794e-005	4.447418e-002
1.022985853428462e-005	4.512187e-002
1.024513709874331e-005	4.571977e-002
1.026319207432113e-005	4.639536e-002
1.028647141099366e-005	4.721291e-002
1.032418703950556e-005	4.840546e-002
1.038413037471756e-005	4.996269e-002
1.047377902182106e-005	5.154697e-002
1.057406767068917e-005	5.237532e-002
1.063253453889674e-005	5.233193e-002
1.066945938349930e-005	5.204545e-002
1.069516289533353e-005	5.173444e-002
1.071396935313552e-005	5.145180e-002
1.072985853421943e-005	5.117768e-002
1.074513709872876e-005	5.088397e-002
1.076319207431572e-005	5.049908e-002
1.078647141098486e-005	4.993880e-002
1.082418703949137e-005	4.887760e-002
1.088413037469541e-005	4.681854e-002
1.097377902178965e-005	4.298523e-002
1.107406767066913e-005	3.782585e-002
1.113253453888484e-005	3.438101e-002
1.116945938349130e-005	3.201145e-002
1.119516289532779e-005	3.028635e-002
1.121396935313125e-005	2.898878e-002
1.122985853421412e-005	2.787036e-002
1.124513709872758e-005	2.677630e-002
1.126319207431528e-005	2.546083e-002
1.128647141098415e-005	2.372753e-002
