time	V(receiver)
0.000000000000000e+000	0.000000e+000
9.765624452758720e-014	4.098627e-002
1.953124890551744e-013	8.911739e-002
3.906249781103488e-013	1.604151e-001
7.812499562206976e-013	1.174063e-001
1.562499912441395e-012	-2.641923e-002
3.124999824882790e-012	-4.627250e-002
6.249999649765581e-012	-1.160797e-002
1.249999929953116e-011	2.693295e-003
2.499999859906232e-011	-1.662958e-003
4.999999719812465e-011	-9.069778e-004
9.999999439624929e-011	1.590872e-003
1.999999887924986e-010	-1.596287e-005
3.999999775849972e-010	-5.335907e-004
7.999999551699943e-010	-6.026253e-004
1.599999910339989e-009	-1.370897e-003
3.199999820679977e-009	-3.044927e-003
6.399999641359955e-009	-6.218503e-003
1.279999928271991e-008	-1.258188e-002
2.256562428271991e-008	-2.214908e-002
3.233124928271991e-008	-3.154006e-002
4.209687428271991e-008	-4.070443e-002
5.186249928271991e-008	-4.960819e-002
6.162812428271991e-008	-5.821761e-002
7.139374928271990e-008	-6.650127e-002
8.115937428271990e-008	-7.442790e-002
9.092499928271990e-008	-8.196858e-002
1.006906242827199e-007	-8.909552e-002
1.104562492827199e-007	-9.578297e-002
1.202218742827199e-007	-1.020062e-001
1.299874992827199e-007	-1.077429e-001
1.397531242827199e-007	-1.129725e-001
1.495187492827199e-007	-1.176762e-001
1.690499992827199e-007	-1.254411e-001
1.885812492827199e-007	-1.309293e-001
2.081124992827199e-007	-1.340666e-001
2.276437492827199e-007	-1.348142e-001
2.471749992827199e-007	-1.331697e-001
2.667062492827199e-007	-1.291661e-001
2.862374992827200e-007	-1.228719e-001
3.057687492827200e-007	-1.143904e-001
3.252999992827201e-007	-1.038566e-001
3.448312492827201e-007	-9.143753e-002
3.643624992827202e-007	-7.732739e-002
3.838937492827203e-007	-6.174618e-002
4.034249992827203e-007	-4.493553e-002
4.131906242827203e-007	-3.614993e-002
4.229562492827204e-007	-2.715570e-002
4.327218742827204e-007	-1.798757e-002
4.424874992827204e-007	-8.681068e-003
4.522531242827204e-007	7.279795e-004
4.717843742827205e-007	1.970865e-002
4.913156242827205e-007	3.866215e-002
5.108468742827206e-007	5.729685e-002
5.303781242827206e-007	7.532615e-002
5.499093742827207e-007	9.247272e-002
5.694406242827207e-007	1.084724e-001
5.889718742827208e-007	1.230788e-001
