V(out)	I(R_load)	power
9.999333e-020	9.999333e+000	9.99866641e-19	
1.047059e-019	9.999333e+000	1.0469898e-18	
1.096405e-019	9.999333e+000	1.09633191e-18	
1.148077e-019	9.999333e+000	1.14800082e-18	
1.202184e-019	9.999333e+000	1.20210336e-18	
1.258842e-019	9.999333e+000	1.25875851e-18	
1.318169e-019	9.999333e+000	1.31808073e-18	
1.380292e-019	9.999333e+000	1.3801997e-18	
1.445343e-019	9.999333e+000	1.44524663e-18	
1.513460e-019	9.999333e+000	1.51335886e-18	
1.584788e-019	9.999333e+000	1.58468283e-18	
1.659476e-019	9.999333e+000	1.65936505e-18	
1.737685e-019	9.999333e+000	1.73756876e-18	
1.819580e-019	9.999333e+000	1.81945874e-18	
1.905334e-019	9.999333e+000	1.90520741e-18	
1.995129e-019	9.999333e+000	1.99499635e-18	
2.089157e-019	9.999333e+000	2.08901779e-18	
2.187616e-019	9.999333e+000	2.1874701e-18	
2.290715e-019	9.999333e+000	2.29056227e-18	
2.398673e-019	9.999333e+000	2.39851253e-18	
2.511719e-019	9.999333e+000	2.51155125e-18	
2.630093e-019	9.999333e+000	2.629918e-18	
2.754045e-019	9.999333e+000	2.75386145e-18	
2.883839e-019	9.999333e+000	2.88364711e-18	
3.019751e-019	9.999333e+000	3.0195496e-18	
3.162067e-019	9.999333e+000	3.16185579e-18	
3.311091e-019	9.999333e+000	3.31087082e-18	
3.467137e-019	9.999333e+000	3.46690594e-18	
3.630539e-019	9.999333e+000	3.63029684e-18	
3.801641e-019	9.999333e+000	3.80138681e-18	
3.980806e-019	9.999333e+000	3.98054051e-18	
4.168416e-019	9.999333e+000	4.16813788e-18	
4.364868e-019	9.999333e+000	4.3645771e-18	
4.570577e-019	9.999333e+000	4.5702717e-18	
4.785982e-019	9.999333e+000	4.78566261e-18	
5.011538e-019	9.999333e+000	5.01120451e-18	
5.247725e-019	9.999333e+000	5.24737498e-18	
5.495042e-019	9.999333e+000	5.494676e-18	
5.754016e-019	9.999333e+000	5.75363242e-18	
6.025194e-019	9.999333e+000	6.024792e-18	
6.309153e-019	9.999333e+000	6.30873303e-18	
6.606494e-019	9.999333e+000	6.6060536e-18	
6.917849e-019	9.999333e+000	6.91738843e-18	
7.243877e-019	9.999333e+000	7.24339362e-18	
7.585271e-019	9.999333e+000	7.5847649e-18	
7.942753e-019	9.999333e+000	7.94222397e-18	
8.317083e-019	9.999333e+000	8.31652914e-18	
8.709056e-019	9.999333e+000	8.70847536e-18	
9.119501e-019	9.999333e+000	9.11889262e-18	
9.549289e-019	9.999333e+000	9.54865218e-18	
9.999334e-019	9.999333e+000	9.99866794e-18	
1.047059e-018	9.999333e+000	1.0469898e-17	
1.096405e-018	9.999333e+000	1.09633191e-17	
1.148077e-018	9.999333e+000	1.14800082e-17	
1.202184e-018	9.999333e+000	1.20210336e-17	
1.258842e-018	9.999333e+000	1.25875851e-17	
1.318169e-018	9.999333e+000	1.31808073e-17	
1.380292e-018	9.999333e+000	1.3801997e-17	
1.445343e-018	9.999333e+000	1.44524663e-17	
1.513460e-018	9.999333e+000	1.51335886e-17	
1.584788e-018	9.999333e+000	1.58468283e-17	
1.659476e-018	9.999333e+000	1.65936505e-17	
