V(out)	I(R_load)	power
8.631294e-020	8.631293e+000	7.44992271e-19	
9.038074e-020	8.631293e+000	7.801026e-19	
9.464025e-020	8.631293e+000	8.16867645e-19	
9.910051e-020	8.631293e+000	8.55365508e-19	
1.037710e-019	8.631293e+000	8.9567836e-19	
1.086615e-019	8.631293e+000	9.378892e-19	
1.137826e-019	8.631293e+000	9.8209138e-19	
1.191450e-019	8.631293e+000	1.0283758e-18	
1.247601e-019	8.631293e+000	1.07684122e-18	
1.306399e-019	8.631293e+000	1.12759167e-18	
1.367968e-019	8.631293e+000	1.18073387e-18	
1.432438e-019	8.631293e+000	1.23637973e-18	
1.499947e-019	8.631293e+000	1.29464781e-18	
1.570637e-019	8.631293e+000	1.35566321e-18	
1.644659e-019	8.631293e+000	1.41955368e-18	
1.722169e-019	8.631293e+000	1.4864549e-18	
1.803333e-019	8.631293e+000	1.55650908e-18	
1.888321e-019	8.631293e+000	1.62986505e-18	
1.977315e-019	8.631293e+000	1.70667824e-18	
2.070503e-019	8.631293e+000	1.78711194e-18	
2.168083e-019	8.631293e+000	1.87133606e-18	
2.270262e-019	8.631293e+000	1.95952971e-18	
2.377256e-019	8.631293e+000	2.05187859e-18	
2.489292e-019	8.631293e+000	2.14858025e-18	
2.606609e-019	8.631293e+000	2.24984016e-18	
2.729455e-019	8.631293e+000	2.35587299e-18	
2.858090e-019	8.631293e+000	2.46690132e-18	
2.992788e-019	8.631293e+000	2.58316353e-18	
3.133833e-019	8.631293e+000	2.70490326e-18	
3.281526e-019	8.631293e+000	2.8323813e-18	
3.436180e-019	8.631293e+000	2.96586763e-18	
3.598122e-019	8.631293e+000	3.1056441e-18	
3.767696e-019	8.631293e+000	3.25200838e-18	
3.945262e-019	8.631293e+000	3.40527124e-18	
4.131197e-019	8.631293e+000	3.5657567e-18	
4.325894e-019	8.631293e+000	3.73380588e-18	
4.529767e-019	8.631293e+000	3.90977435e-18	
4.743249e-019	8.631293e+000	4.09403749e-18	
4.966791e-019	8.631293e+000	4.2869825e-18	
5.200869e-019	8.631293e+000	4.48902292e-18	
5.445978e-019	8.631293e+000	4.70058284e-18	
5.702639e-019	8.631293e+000	4.922114e-18	
5.971396e-019	8.631293e+000	5.15408656e-18	
6.252820e-019	8.631293e+000	5.39699182e-18	
6.547506e-019	8.631293e+000	5.6513447e-18	
6.856080e-019	8.631293e+000	5.91768388e-18	
7.179197e-019	8.631293e+000	6.19657567e-18	
7.517543e-019	8.631293e+000	6.48861143e-18	
7.871833e-019	8.631293e+000	6.79440886e-18	
8.242821e-019	8.631293e+000	7.11461986e-18	
8.631294e-019	8.631293e+000	7.44992271e-18	
9.038074e-019	8.631293e+000	7.801026e-18	
9.464025e-019	8.631293e+000	8.16867645e-18	
9.910051e-019	8.631293e+000	8.55365508e-18	
1.037710e-018	8.631293e+000	8.9567836e-18	
1.086615e-018	8.631293e+000	9.378892e-18	
1.137826e-018	8.631293e+000	9.8209138e-18	
1.191450e-018	8.631293e+000	1.0283758e-17	
1.247601e-018	8.631293e+000	1.07684122e-17	
1.306399e-018	8.631293e+000	1.12759167e-17	
1.367968e-018	8.631293e+000	1.18073387e-17	
1.432438e-018	8.631293e+000	1.23637973e-17	
1.499947e-018	8.631293e+000	1.29464781e-17	
1.570637e-018	8.631293e+000	1.35566321e-17	
1.644659e-018	8.631293e+000	1.41955368e-17	
1.722169e-018	8.631293e+000	1.4864549e-17	
1.803333e-018	8.631293e+000	1.55650908e-17	
1.888321e-018	8.631293e+000	1.62986505e-17	
1.977315e-018	8.631293e+000	1.70667824e-17	
2.070503e-018	8.631293e+000	1.78711194e-17	
2.168083e-018	8.631293e+000	1.87133606e-17	
2.270262e-018	8.631293e+000	1.95952971e-17	
2.377256e-018	8.631293e+000	2.05187859e-17	
2.489292e-018	8.631293e+000	2.14858025e-17	
2.606609e-018	8.631293e+000	2.24984016e-17	
2.729455e-018	8.631293e+000	2.35587299e-17	
2.858090e-018	8.631293e+000	2.46690132e-17	
2.992787e-018	8.631293e+000	2.5831622e-17	
3.133833e-018	8.631293e+000	2.70490326e-17	
3.281526e-018	8.631293e+000	2.8323813e-17	
3.436180e-018	8.631293e+000	2.96586763e-17	
3.598122e-018	8.631293e+000	3.1056441e-17	
3.767696e-018	8.631293e+000	3.25200838e-17	
3.945262e-018	8.631293e+000	3.40527124e-17	
4.131197e-018	8.631293e+000	3.5657567e-17	
4.325894e-018	8.631293e+000	3.73380588e-17	
4.529767e-018	8.631293e+000	3.90977435e-17	
4.743248e-018	8.631293e+000	4.09403618e-17	
4.966791e-018	8.631293e+000	4.2869825e-17	
5.200869e-018	8.631293e+000	4.48902292e-17	
5.445978e-018	8.631293e+000	4.70058284e-17	
5.702639e-018	8.631293e+000	4.922114e-17	
5.971396e-018	8.631293e+000	5.15408656e-17	
6.252820e-018	8.631293e+000	5.39699182e-17	
6.547506e-018	8.631293e+000	5.6513447e-17	
6.856080e-018	8.631293e+000	5.91768388e-17	
7.179197e-018	8.631293e+000	6.19657567e-17	
7.517542e-018	8.631293e+000	6.48861012e-17	
7.871833e-018	8.631293e+000	6.79440886e-17	
8.242821e-018	8.631293e+000	7.11461986e-17	
8.631294e-018	8.631293e+000	7.44992271e-17	
9.038074e-018	8.631293e+000	7.801026e-17	
9.464025e-018	8.631293e+000	8.16867645e-17	
9.910051e-018	8.631293e+000	8.55365508e-17	
1.037710e-017	8.631293e+000	8.9567836e-17	
1.086615e-017	8.631293e+000	9.378892e-17	
1.137826e-017	8.631293e+000	9.8209138e-17	
1.191450e-017	8.631293e+000	1.0283758e-16	
1.247602e-017	8.631293e+000	1.07684122e-16	
1.306399e-017	8.631293e+000	1.12759167e-16	
1.367968e-017	8.631293e+000	1.18073387e-16	
1.432438e-017	8.631293e+000	1.23637973e-16	
1.499947e-017	8.631293e+000	1.29464781e-16	
1.570637e-017	8.631293e+000	1.35566321e-16	
1.644659e-017	8.631293e+000	1.41955368e-16	
1.722170e-017	8.631293e+000	1.4864549e-16	
1.803333e-017	8.631293e+000	1.55650908e-16	
1.888321e-017	8.631293e+000	1.62986505e-16	
1.977315e-017	8.631293e+000	1.70667824e-16	
2.070503e-017	8.631293e+000	1.78711194e-16	
2.168083e-017	8.631293e+000	1.87133606e-16	
2.270262e-017	8.631293e+000	1.95952971e-16	
2.377256e-017	8.631293e+000	2.05187859e-16	
2.489292e-017	8.631293e+000	2.14858025e-16	
2.606609e-017	8.631293e+000	2.24984016e-16	
2.729455e-017	8.631293e+000	2.35587299e-16	
2.858090e-017	8.631293e+000	2.46690132e-16	
