rload	V(OUT)*I(R3)	V(out)	I(R3)
Step Information: Ifail=1  (Run: 1/4)
1.000000000000000e-020	8.049304e-019	8.971791e-020	8.971791e+000
1.047128548050900e-020	8.428656e-019	9.394619e-020	8.971791e+000
1.096478196143185e-020	8.825886e-019	9.837373e-020	8.971791e+000
1.148153621496883e-020	9.241837e-019	1.030099e-019	8.971791e+000
1.202264434617413e-020	9.677391e-019	1.078646e-019	8.971791e+000
1.258925411794168e-020	1.013347e-018	1.129482e-019	8.971791e+000
1.318256738556408e-020	1.061105e-018	1.182712e-019	8.971791e+000
1.380384264602885e-020	1.111113e-018	1.238452e-019	8.971791e+000
1.445439770745928e-020	1.163478e-018	1.296818e-019	8.971791e+000
1.513561248436209e-020	1.218311e-018	1.357935e-019	8.971791e+000
1.584893192461114e-020	1.275729e-018	1.421933e-019	8.971791e+000
1.659586907437562e-020	1.335852e-018	1.488947e-019	8.971791e+000
1.737800828749377e-020	1.398809e-018	1.559119e-019	8.971791e+000
1.819700858609985e-020	1.464732e-018	1.632598e-019	8.971791e+000
1.905460717963249e-020	1.533763e-018	1.709539e-019	8.971791e+000
1.995262314968881e-020	1.606047e-018	1.790108e-019	8.971791e+000
2.089296130854041e-020	1.681738e-018	1.874473e-019	8.971791e+000
2.187761623949555e-020	1.760996e-018	1.962814e-019	8.971791e+000
2.290867652767775e-020	1.843989e-018	2.055319e-019	8.971791e+000
2.398832919019493e-020	1.930893e-018	2.152183e-019	8.971791e+000
2.511886431509583e-020	2.021894e-018	2.253612e-019	8.971791e+000
2.630267991895385e-020	2.117183e-018	2.359821e-019	8.971791e+000
2.754228703338170e-020	2.216962e-018	2.471036e-019	8.971791e+000
2.884031503126610e-020	2.321445e-018	2.587493e-019	8.971791e+000
3.019951720402020e-020	2.430851e-018	2.709438e-019	8.971791e+000
3.162277660168383e-020	2.545413e-018	2.837129e-019	8.971791e+000
3.311311214825915e-020	2.665375e-018	2.970839e-019	8.971791e+000
3.467368504525321e-020	2.790990e-018	3.110851e-019	8.971791e+000
3.630780547701019e-020	2.922526e-018	3.257461e-019	8.971791e+000
3.801893963205618e-020	3.060260e-018	3.410980e-019	8.971791e+000
3.981071705534978e-020	3.204486e-018	3.571734e-019	8.971791e+000
4.168693834703361e-020	3.355508e-018	3.740065e-019	8.971791e+000
4.365158322401667e-020	3.513648e-018	3.916329e-019	8.971791e+000
4.570881896148758e-020	3.679242e-018	4.100900e-019	8.971791e+000
4.786300923226392e-020	3.852639e-018	4.294169e-019	8.971791e+000
5.011872336272732e-020	4.034208e-018	4.496547e-019	8.971791e+000
5.248074602497736e-020	4.224335e-018	4.708463e-019	8.971791e+000
5.495408738576257e-020	4.423421e-018	4.930366e-019	8.971791e+000
5.754399373371582e-020	4.631891e-018	5.162727e-019	8.971791e+000
6.025595860743591e-020	4.850185e-018	5.406038e-019	8.971791e+000
6.309573444801947e-020	5.078767e-018	5.660817e-019	8.971791e+000
