V(out)	I(R3)	power
5.888831e-040	5.888829e+000	3.467832e-039	
6.237768e-040	5.888829e+000	3.673315e-039	
6.607374e-040	5.888829e+000	3.890970e-039	
6.998883e-040	5.888829e+000	4.121523e-039	
7.413598e-040	5.888829e+000	4.365741e-039	
7.852877e-040	5.888829e+000	4.624425e-039	
8.318192e-040	5.888829e+000	4.898441e-039	
8.811070e-040	5.888829e+000	5.188689e-039	
9.333166e-040	5.888829e+000	5.496142e-039	
9.886189e-040	5.888829e+000	5.821807e-039	
1.047199e-039	5.888829e+000	6.166774e-039	
1.109248e-039	5.888829e+000	6.532173e-039	
1.174976e-039	5.888829e+000	6.919233e-039	
1.244597e-039	5.888829e+000	7.329218e-039	
1.318344e-039	5.888829e+000	7.763504e-039	
1.396461e-039	5.888829e+000	8.223521e-039	
1.479206e-039	5.888829e+000	8.710794e-039	
1.566855e-039	5.888829e+000	9.226940e-039	
1.659698e-039	5.888829e+000	9.773677e-039	
1.758041e-039	5.888829e+000	1.035280e-038	
1.862211e-039	5.888829e+000	1.096624e-038	
1.972555e-039	5.888829e+000	1.161604e-038	
2.089436e-039	5.888829e+000	1.230433e-038	
2.213242e-039	5.888829e+000	1.303340e-038	
2.344385e-039	5.888829e+000	1.380568e-038	
2.483298e-039	5.888829e+000	1.462372e-038	
2.630443e-039	5.888829e+000	1.549023e-038	
2.786307e-039	5.888829e+000	1.640808e-038	
2.951406e-039	5.888829e+000	1.738033e-038	
3.126287e-039	5.888829e+000	1.841017e-038	
3.311532e-039	5.888829e+000	1.950104e-038	
3.507753e-039	5.888829e+000	2.065656e-038	
3.715600e-039	5.888829e+000	2.188053e-038	
3.935763e-039	5.888829e+000	2.317703e-038	
4.168972e-039	5.888829e+000	2.455036e-038	
4.415999e-039	5.888829e+000	2.600506e-038	
4.677663e-039	5.888829e+000	2.754596e-038	
4.954832e-039	5.888829e+000	2.917815e-038	
5.248425e-039	5.888829e+000	3.090707e-038	
5.559413e-039	5.888829e+000	3.273843e-038	
5.888829e-039	5.888829e+000	3.467831e-038	
6.237764e-039	5.888829e+000	3.673312e-038	
6.607374e-039	5.888829e+000	3.890970e-038	
6.998886e-039	5.888829e+000	4.121524e-038	
7.413596e-039	5.888829e+000	4.365740e-038	
7.852879e-039	5.888829e+000	4.624426e-038	
8.318192e-039	5.888829e+000	4.898441e-038	
8.811076e-039	5.888829e+000	5.188692e-038	
9.333165e-039	5.888829e+000	5.496141e-038	
9.886190e-039	5.888829e+000	5.821808e-038	
1.047198e-038	5.888829e+000	6.166772e-038	
1.109249e-038	5.888829e+000	6.532175e-038	
1.174976e-038	5.888829e+000	6.919232e-038	
1.244598e-038	5.888829e+000	7.329222e-038	
1.318345e-038	5.888829e+000	7.763505e-038	
1.396461e-038	5.888829e+000	8.223522e-038	
1.479207e-038	5.888829e+000	8.710796e-038	
1.566855e-038	5.888829e+000	9.226943e-038	
1.659697e-038	5.888829e+000	9.773674e-038	
1.758041e-038	5.888829e+000	1.035280e-037	
1.862211e-038	5.888829e+000	1.096624e-037	
