V(out)	I(R_load)
9.999333e-020	9.999333e+000
1.047059e-019	9.999333e+000
1.096405e-019	9.999333e+000
1.148077e-019	9.999333e+000
1.202184e-019	9.999333e+000
1.258842e-019	9.999333e+000
1.318169e-019	9.999333e+000
1.380292e-019	9.999333e+000
1.445343e-019	9.999333e+000
1.513460e-019	9.999333e+000
1.584788e-019	9.999333e+000
1.659476e-019	9.999333e+000
1.737685e-019	9.999333e+000
1.819580e-019	9.999333e+000
1.905334e-019	9.999333e+000
1.995129e-019	9.999333e+000
2.089157e-019	9.999333e+000
2.187616e-019	9.999333e+000
2.290715e-019	9.999333e+000
2.398673e-019	9.999333e+000
2.511719e-019	9.999333e+000
2.630093e-019	9.999333e+000
2.754045e-019	9.999333e+000
2.883839e-019	9.999333e+000
3.019751e-019	9.999333e+000
3.162067e-019	9.999333e+000
3.311091e-019	9.999333e+000
3.467137e-019	9.999333e+000
3.630539e-019	9.999333e+000
3.801641e-019	9.999333e+000
3.980806e-019	9.999333e+000
4.168416e-019	9.999333e+000
4.364868e-019	9.999333e+000
4.570577e-019	9.999333e+000
4.785982e-019	9.999333e+000
5.011538e-019	9.999333e+000
5.247725e-019	9.999333e+000
5.495042e-019	9.999333e+000
5.754016e-019	9.999333e+000
6.025194e-019	9.999333e+000
6.309153e-019	9.999333e+000
6.606494e-019	9.999333e+000
6.917849e-019	9.999333e+000
7.243877e-019	9.999333e+000
7.585271e-019	9.999333e+000
7.942753e-019	9.999333e+000
8.317083e-019	9.999333e+000
8.709056e-019	9.999333e+000
9.119501e-019	9.999333e+000
9.549289e-019	9.999333e+000
9.999334e-019	9.999333e+000
1.047059e-018	9.999333e+000
1.096405e-018	9.999333e+000
1.148077e-018	9.999333e+000
1.202184e-018	9.999333e+000
1.258842e-018	9.999333e+000
1.318169e-018	9.999333e+000
1.380292e-018	9.999333e+000
1.445343e-018	9.999333e+000
1.513460e-018	9.999333e+000
1.584788e-018	9.999333e+000
1.659476e-018	9.999333e+000
1.737685e-018	9.999333e+000
1.819580e-018	9.999333e+000
1.905334e-018	9.999333e+000
1.995129e-018	9.999333e+000
2.089157e-018	9.999333e+000
2.187616e-018	9.999333e+000
2.290715e-018	9.999333e+000
2.398673e-018	9.999333e+000
2.511719e-018	9.999333e+000
2.630093e-018	9.999333e+000
2.754045e-018	9.999333e+000
2.883839e-018	9.999333e+000
3.019750e-018	9.999333e+000
3.162067e-018	9.999333e+000
3.311091e-018	9.999333e+000
3.467137e-018	9.999333e+000
3.630539e-018	9.999333e+000
3.801641e-018	9.999333e+000
3.980806e-018	9.999333e+000
4.168416e-018	9.999333e+000
4.364867e-018	9.999333e+000
4.570577e-018	9.999333e+000
4.785982e-018	9.999333e+000
5.011538e-018	9.999333e+000
5.247725e-018	9.999333e+000
5.495043e-018	9.999333e+000
5.754016e-018	9.999333e+000
6.025194e-018	9.999333e+000
6.309153e-018	9.999333e+000
6.606494e-018	9.999333e+000
6.917849e-018	9.999333e+000
7.243877e-018	9.999333e+000
7.585270e-018	9.999333e+000
7.942753e-018	9.999333e+000
8.317084e-018	9.999333e+000
8.709055e-018	9.999333e+000
9.119501e-018	9.999333e+000
9.549290e-018	9.999333e+000
9.999334e-018	9.999333e+000
1.047059e-017	9.999333e+000
1.096405e-017	9.999333e+000
1.148077e-017	9.999333e+000
1.202184e-017	9.999333e+000
1.258842e-017	9.999333e+000
1.318169e-017	9.999333e+000
1.380292e-017	9.999333e+000
1.445343e-017	9.999333e+000
1.513460e-017	9.999333e+000
1.584788e-017	9.999333e+000
1.659476e-017	9.999333e+000
1.737685e-017	9.999333e+000
1.819580e-017	9.999333e+000
1.905334e-017	9.999333e+000
1.995129e-017	9.999333e+000
2.089157e-017	9.999333e+000
2.187616e-017	9.999333e+000
2.290715e-017	9.999333e+000
2.398673e-017	9.999333e+000
2.511719e-017	9.999333e+000
2.630093e-017	9.999333e+000
2.754045e-017	9.999333e+000
2.883839e-017	9.999333e+000
3.019751e-017	9.999333e+000
3.162067e-017	9.999333e+000
3.311091e-017	9.999333e+000
3.467137e-017	9.999333e+000
3.630539e-017	9.999333e+000
3.801641e-017	9.999333e+000
3.980806e-017	9.999333e+000
4.168416e-017	9.999333e+000
4.364867e-017	9.999333e+000
4.570577e-017	9.999333e+000
4.785982e-017	9.999333e+000
5.011538e-017	9.999333e+000
5.247725e-017	9.999333e+000
5.495043e-017	9.999333e+000
5.754016e-017	9.999333e+000
6.025194e-017	9.999333e+000
6.309153e-017	9.999333e+000
6.606494e-017	9.999333e+000
6.917848e-017	9.999333e+000
7.243877e-017	9.999333e+000
7.585270e-017	9.999333e+000
7.942753e-017	9.999333e+000
8.317083e-017	9.999333e+000
8.709056e-017	9.999333e+000
9.119501e-017	9.999333e+000
9.549289e-017	9.999333e+000
9.999334e-017	9.999333e+000
1.047059e-016	9.999333e+000
1.096405e-016	9.999333e+000
1.148077e-016	9.999333e+000
1.202184e-016	9.999333e+000
1.258842e-016	9.999333e+000
1.318169e-016	9.999333e+000
1.380292e-016	9.999333e+000
1.445343e-016	9.999333e+000
1.513460e-016	9.999333e+000
1.584788e-016	9.999333e+000
1.659476e-016	9.999333e+000
1.737685e-016	9.999333e+000
1.819580e-016	9.999333e+000
1.905334e-016	9.999333e+000
1.995129e-016	9.999333e+000
2.089157e-016	9.999333e+000
2.187616e-016	9.999333e+000
2.290715e-016	9.999333e+000
2.398673e-016	9.999333e+000
2.511719e-016	9.999333e+000
2.630093e-016	9.999333e+000
2.754045e-016	9.999333e+000
2.883839e-016	9.999333e+000
3.019751e-016	9.999333e+000
3.162067e-016	9.999333e+000
3.311091e-016	9.999333e+000
3.467137e-016	9.999333e+000
3.630539e-016	9.999333e+000
3.801641e-016	9.999333e+000
3.980807e-016	9.999333e+000
4.168416e-016	9.999333e+000
4.364867e-016	9.999333e+000
4.570578e-016	9.999333e+000
4.785982e-016	9.999333e+000
5.011538e-016	9.999333e+000
5.247725e-016	9.999333e+000
5.495043e-016	9.999333e+000
5.754016e-016	9.999333e+000
6.025194e-016	9.999333e+000
6.309153e-016	9.999333e+000
6.606494e-016	9.999333e+000
6.917849e-016	9.999333e+000
7.243877e-016	9.999333e+000
7.585271e-016	9.999333e+000
7.942753e-016	9.999333e+000
8.317084e-016	9.999333e+000
8.709056e-016	9.999333e+000
9.119501e-016	9.999333e+000
9.549290e-016	9.999333e+000
9.999334e-016	9.999333e+000
1.047059e-015	9.999333e+000
1.096405e-015	9.999333e+000
1.148077e-015	9.999333e+000
1.202184e-015	9.999333e+000
1.258842e-015	9.999333e+000
1.318169e-015	9.999333e+000
1.380292e-015	9.999333e+000
1.445343e-015	9.999333e+000
1.513460e-015	9.999333e+000
1.584788e-015	9.999333e+000
1.659476e-015	9.999333e+000
1.737685e-015	9.999333e+000
1.819580e-015	9.999333e+000
1.905334e-015	9.999333e+000
1.995129e-015	9.999333e+000
2.089157e-015	9.999333e+000
2.187616e-015	9.999333e+000
2.290715e-015	9.999333e+000
2.398673e-015	9.999333e+000
2.511719e-015	9.999333e+000
2.630093e-015	9.999333e+000
2.754045e-015	9.999333e+000
2.883839e-015	9.999333e+000
3.019751e-015	9.999333e+000
3.162067e-015	9.999333e+000
3.311091e-015	9.999333e+000
3.467138e-015	9.999333e+000
3.630539e-015	9.999333e+000
3.801641e-015	9.999333e+000
3.980806e-015	9.999333e+000
4.168416e-015	9.999333e+000
4.364868e-015	9.999333e+000
4.570578e-015	9.999333e+000
4.785982e-015	9.999333e+000
5.011538e-015	9.999333e+000
5.247725e-015	9.999333e+000
5.495042e-015	9.999333e+000
5.754016e-015	9.999333e+000
6.025194e-015	9.999333e+000
6.309153e-015	9.999333e+000
6.606494e-015	9.999333e+000
6.917849e-015	9.999333e+000
7.243877e-015	9.999333e+000
7.585271e-015	9.999333e+000
7.942753e-015	9.999333e+000
8.317083e-015	9.999333e+000
8.709056e-015	9.999333e+000
9.119501e-015	9.999333e+000
9.549289e-015	9.999333e+000
9.999334e-015	9.999333e+000
1.047059e-014	9.999333e+000
1.096405e-014	9.999333e+000
1.148077e-014	9.999333e+000
1.202184e-014	9.999333e+000
1.258842e-014	9.999333e+000
1.318169e-014	9.999333e+000
1.380292e-014	9.999333e+000
1.445343e-014	9.999333e+000
1.513460e-014	9.999333e+000
1.584788e-014	9.999333e+000
1.659476e-014	9.999333e+000
1.737685e-014	9.999333e+000
1.819580e-014	9.999333e+000
1.905334e-014	9.999333e+000
1.995129e-014	9.999333e+000
2.089157e-014	9.999333e+000
2.187616e-014	9.999333e+000
2.290715e-014	9.999333e+000
2.398673e-014	9.999333e+000
2.511719e-014	9.999333e+000
2.630093e-014	9.999333e+000
2.754045e-014	9.999333e+000
2.883839e-014	9.999333e+000
3.019750e-014	9.999333e+000
3.162067e-014	9.999333e+000
3.311091e-014	9.999333e+000
3.467138e-014	9.999333e+000
3.630539e-014	9.999333e+000
3.801641e-014	9.999333e+000
3.980807e-014	9.999333e+000
4.168416e-014	9.999333e+000
4.364868e-014	9.999333e+000
4.570577e-014	9.999333e+000
4.785982e-014	9.999333e+000
5.011539e-014	9.999333e+000
5.247725e-014	9.999333e+000
5.495043e-014	9.999333e+000
5.754016e-014	9.999333e+000
6.025195e-014	9.999333e+000
6.309153e-014	9.999333e+000
6.606494e-014	9.999333e+000
6.917849e-014	9.999333e+000
7.243877e-014	9.999333e+000
7.585270e-014	9.999333e+000
7.942753e-014	9.999333e+000
8.317084e-014	9.999333e+000
8.709056e-014	9.999333e+000
9.119501e-014	9.999333e+000
9.549290e-014	9.999333e+000
9.999334e-014	9.999333e+000
1.047059e-013	9.999333e+000
1.096405e-013	9.999333e+000
1.148077e-013	9.999333e+000
1.202184e-013	9.999333e+000
1.258842e-013	9.999333e+000
1.318169e-013	9.999333e+000
1.380292e-013	9.999333e+000
1.445343e-013	9.999333e+000
1.513460e-013	9.999333e+000
1.584788e-013	9.999333e+000
1.659476e-013	9.999333e+000
1.737685e-013	9.999333e+000
1.819580e-013	9.999333e+000
1.905334e-013	9.999333e+000
1.995129e-013	9.999333e+000
2.089157e-013	9.999333e+000
2.187616e-013	9.999333e+000
2.290715e-013	9.999333e+000
2.398673e-013	9.999333e+000
2.511719e-013	9.999333e+000
2.630093e-013	9.999333e+000
2.754045e-013	9.999333e+000
2.883839e-013	9.999333e+000
3.019751e-013	9.999333e+000
3.162067e-013	9.999333e+000
3.311091e-013	9.999333e+000
3.467138e-013	9.999333e+000
3.630539e-013	9.999333e+000
3.801641e-013	9.999333e+000
3.980807e-013	9.999333e+000
4.168416e-013	9.999333e+000
4.364868e-013	9.999333e+000
4.570577e-013	9.999333e+000
4.785982e-013	9.999333e+000
5.011539e-013	9.999333e+000
5.247725e-013	9.999333e+000
5.495042e-013	9.999333e+000
5.754016e-013	9.999333e+000
6.025194e-013	9.999333e+000
6.309153e-013	9.999333e+000
6.606494e-013	9.999333e+000
6.917849e-013	9.999333e+000
7.243877e-013	9.999333e+000
7.585270e-013	9.999333e+000
7.942753e-013	9.999333e+000
8.317083e-013	9.999333e+000
8.709056e-013	9.999333e+000
9.119501e-013	9.999333e+000
9.549290e-013	9.999333e+000
9.999334e-013	9.999333e+000
1.047059e-012	9.999333e+000
1.096405e-012	9.999333e+000
1.148077e-012	9.999333e+000
1.202184e-012	9.999333e+000
1.258842e-012	9.999333e+000
1.318169e-012	9.999333e+000
1.380292e-012	9.999333e+000
1.445343e-012	9.999333e+000
1.513460e-012	9.999333e+000
1.584788e-012	9.999333e+000
1.659476e-012	9.999333e+000
1.737685e-012	9.999333e+000
1.819580e-012	9.999333e+000
1.905334e-012	9.999333e+000
1.995129e-012	9.999333e+000
2.089157e-012	9.999333e+000
2.187616e-012	9.999333e+000
2.290715e-012	9.999333e+000
2.398673e-012	9.999333e+000
2.511719e-012	9.999333e+000
2.630093e-012	9.999333e+000
2.754045e-012	9.999333e+000
2.883839e-012	9.999333e+000
3.019750e-012	9.999333e+000
3.162067e-012	9.999333e+000
3.311091e-012	9.999333e+000
3.467137e-012	9.999333e+000
3.630539e-012	9.999333e+000
3.801641e-012	9.999333e+000
3.980807e-012	9.999333e+000
4.168416e-012	9.999333e+000
4.364867e-012	9.999333e+000
4.570577e-012	9.999333e+000
4.785982e-012	9.999333e+000
5.011538e-012	9.999333e+000
5.247725e-012	9.999333e+000
5.495043e-012	9.999333e+000
5.754016e-012	9.999333e+000
6.025194e-012	9.999333e+000
6.309153e-012	9.999333e+000
6.606494e-012	9.999333e+000
6.917849e-012	9.999333e+000
7.243877e-012	9.999333e+000
7.585270e-012	9.999333e+000
7.942753e-012	9.999333e+000
8.317083e-012	9.999333e+000
8.709055e-012	9.999333e+000
9.119501e-012	9.999333e+000
9.549289e-012	9.999333e+000
9.999334e-012	9.999333e+000
1.047059e-011	9.999333e+000
1.096405e-011	9.999333e+000
1.148077e-011	9.999333e+000
1.202184e-011	9.999333e+000
1.258842e-011	9.999333e+000
1.318169e-011	9.999333e+000
1.380292e-011	9.999333e+000
