V(out)	power output	
9.915682e-020	9.83207387e-19	
1.038299e-019	1.02954477e-18	
1.087233e-019	1.07806557e-18	
1.138473e-019	1.12887405e-18	
1.192127e-019	1.18207462e-18	
1.248310e-019	1.23778375e-18	
1.307141e-019	1.29611948e-18	
1.368745e-019	1.35720435e-18	
1.433252e-019	1.42116698e-18	
1.500799e-019	1.48814503e-18	
1.571530e-019	1.55827924e-18	
1.645593e-019	1.63171785e-18	
1.723148e-019	1.70861824e-18	
1.804357e-019	1.7891423e-18	
1.889394e-019	1.87346251e-18	
1.978439e-019	1.96175742e-18	
2.071680e-019	2.05421158e-18	
2.169315e-019	2.15102322e-18	
2.271551e-019	2.25239812e-18	
2.378606e-019	2.35854959e-18	
2.490706e-019	2.46970459e-18	
2.608090e-019	2.58609917e-18	
2.731006e-019	2.70797841e-18	
2.859714e-019	2.83560104e-18	
2.994488e-019	2.96923943e-18	
3.135614e-019	3.10917497e-18	
3.283391e-019	3.25570573e-18	
3.438132e-019	3.40914188e-18	
3.600166e-019	3.56981024e-18	
3.769837e-019	3.73804971e-18	
3.947504e-019	3.91421887e-18	
4.133544e-019	4.09868996e-18	
4.328352e-019	4.29185631e-18	
4.532341e-019	4.49412495e-18	
4.745944e-019	4.7059271e-18	
4.969613e-019	4.92771059e-18	
5.203824e-019	5.15994595e-18	
5.449072e-019	5.40312648e-18	
5.705879e-019	5.65776807e-18	
5.974789e-019	5.92441087e-18	
6.256372e-019	6.20361925e-18	
6.551226e-019	6.4959863e-18	
6.859976e-019	6.80213387e-18	
7.183276e-019	7.12270802e-18	
7.521814e-019	7.45839111e-18	
7.876306e-019	7.80989427e-18	
8.247505e-019	8.17796342e-18	
8.636198e-019	8.56337926e-18	
9.043209e-019	8.96695729e-18	
9.469402e-019	9.38955693e-18	
9.915682e-019	9.83207387e-18	
1.038299e-018	1.02954477e-17	
1.087233e-018	1.07806557e-17	
1.138473e-018	1.12887405e-17	
1.192127e-018	1.18207462e-17	
1.248310e-018	1.23778375e-17	
1.307141e-018	1.29611948e-17	
1.368745e-018	1.35720435e-17	
1.433252e-018	1.42116698e-17	
1.500799e-018	1.48814503e-17	
1.571530e-018	1.55827924e-17	
1.645594e-018	1.63171785e-17	
1.723148e-018	1.70861824e-17	
1.804357e-018	1.7891423e-17	
1.889394e-018	1.87346251e-17	
1.978439e-018	1.96175742e-17	
2.071679e-018	2.05421158e-17	
2.169315e-018	2.15102322e-17	
2.271551e-018	2.25239812e-17	
2.378606e-018	2.35854959e-17	
2.490707e-018	2.4697061e-17	
2.608090e-018	2.58609917e-17	
2.731005e-018	2.7079769e-17	
2.859714e-018	2.83560104e-17	
2.994488e-018	2.96923943e-17	
3.135614e-018	3.10917497e-17	
3.283391e-018	3.25570573e-17	
3.438132e-018	3.40914188e-17	
3.600166e-018	3.56981024e-17	
3.769837e-018	3.73804971e-17	
3.947504e-018	3.91421887e-17	
4.133544e-018	4.09868996e-17	
4.328352e-018	4.29185631e-17	
4.532341e-018	4.49412495e-17	
4.745943e-018	4.70592558e-17	
4.969613e-018	4.92771059e-17	
5.203824e-018	5.15994595e-17	
5.449072e-018	5.40312648e-17	
5.705879e-018	5.65776807e-17	
5.974789e-018	5.92441087e-17	
6.256372e-018	6.20361925e-17	
6.551226e-018	6.4959863e-17	
6.859975e-018	6.80213235e-17	
7.183276e-018	7.12270802e-17	
7.521814e-018	7.45839111e-17	
7.876306e-018	7.80989427e-17	
8.247504e-018	8.1779619e-17	
8.636197e-018	8.56337773e-17	
9.043209e-018	8.96695729e-17	
9.469402e-018	9.38955693e-17	
9.915681e-018	9.83207387e-17	
1.038299e-017	1.02954477e-16	
1.087233e-017	1.07806557e-16	
1.138473e-017	1.12887405e-16	
1.192127e-017	1.18207462e-16	
1.248310e-017	1.23778375e-16	
1.307141e-017	1.29611948e-16	
1.368745e-017	1.35720435e-16	
1.433252e-017	1.42116698e-16	
1.500799e-017	1.48814503e-16	
1.571530e-017	1.55827924e-16	
1.645594e-017	1.63171785e-16	
1.723148e-017	1.70861824e-16	
1.804357e-017	1.7891423e-16	
1.889394e-017	1.87346251e-16	
1.978439e-017	1.96175742e-16	
2.071679e-017	2.05421158e-16	
2.169315e-017	2.15102322e-16	
2.271551e-017	2.25239812e-16	
2.378606e-017	2.35854959e-16	
2.490707e-017	2.4697061e-16	
2.608090e-017	2.58609917e-16	
2.731005e-017	2.7079769e-16	
2.859714e-017	2.83560104e-16	
2.994488e-017	2.96923943e-16	
3.135614e-017	3.10917497e-16	
3.283391e-017	3.25570573e-16	
3.438132e-017	3.40914188e-16	
3.600166e-017	3.56981024e-16	
3.769837e-017	3.73804971e-16	
3.947504e-017	3.91421887e-16	
4.133544e-017	4.09868996e-16	
4.328352e-017	4.29185631e-16	
4.532341e-017	4.49412495e-16	
4.745943e-017	4.70592558e-16	
4.969613e-017	4.92771059e-16	
5.203824e-017	5.15994595e-16	
5.449072e-017	5.40312648e-16	
5.705879e-017	5.65776807e-16	
5.974789e-017	5.92441087e-16	
6.256372e-017	6.20361925e-16	
6.551226e-017	6.4959863e-16	
6.859976e-017	6.80213387e-16	
7.183276e-017	7.12270802e-16	
7.521813e-017	7.4583896e-16	
7.876306e-017	7.80989427e-16	
8.247505e-017	8.17796342e-16	
8.636198e-017	8.56337926e-16	
9.043209e-017	8.96695729e-16	
9.469402e-017	9.38955693e-16	
9.915681e-017	9.83207387e-16	
1.038299e-016	1.02954477e-15	
1.087233e-016	1.07806557e-15	
1.138473e-016	1.12887405e-15	
1.192127e-016	1.18207462e-15	
1.248310e-016	1.23778375e-15	
1.307141e-016	1.29611948e-15	
1.368745e-016	1.35720435e-15	
1.433252e-016	1.42116698e-15	
1.500799e-016	1.48814503e-15	
1.571530e-016	1.55827924e-15	
1.645594e-016	1.63171785e-15	
1.723148e-016	1.70861824e-15	
1.804357e-016	1.7891423e-15	
1.889394e-016	1.87346251e-15	
1.978439e-016	1.96175742e-15	
2.071680e-016	2.05421158e-15	
2.169315e-016	2.15102322e-15	
2.271552e-016	2.25239812e-15	
2.378606e-016	2.35854959e-15	
2.490707e-016	2.4697061e-15	
2.608090e-016	2.58609917e-15	
2.731005e-016	2.7079769e-15	
2.859714e-016	2.83560104e-15	
2.994488e-016	2.96923943e-15	
3.135614e-016	3.10917497e-15	
3.283391e-016	3.25570573e-15	
3.438132e-016	3.40914188e-15	
3.600166e-016	3.56981024e-15	
3.769837e-016	3.73804971e-15	
3.947504e-016	3.91421887e-15	
4.133544e-016	4.09868996e-15	
4.328352e-016	4.29185631e-15	
4.532341e-016	4.49412495e-15	
4.745944e-016	4.7059271e-15	
4.969613e-016	4.92771059e-15	
5.203824e-016	5.15994595e-15	
5.449073e-016	5.40312648e-15	
5.705879e-016	5.65776807e-15	
5.974789e-016	5.92441087e-15	
6.256372e-016	6.20361925e-15	
6.551226e-016	6.4959863e-15	
6.859976e-016	6.80213387e-15	
7.183276e-016	7.12270802e-15	
7.521814e-016	7.45839111e-15	
7.876306e-016	7.80989427e-15	
8.247505e-016	8.17796342e-15	
8.636198e-016	8.56337926e-15	
9.043209e-016	8.96695729e-15	
9.469403e-016	9.38955844e-15	
9.915681e-016	9.83207387e-15	
1.038299e-015	1.02954477e-14	
1.087233e-015	1.07806557e-14	
1.138473e-015	1.12887405e-14	
1.192127e-015	1.18207462e-14	
1.248310e-015	1.23778375e-14	
1.307141e-015	1.29611948e-14	
1.368745e-015	1.35720435e-14	
1.433252e-015	1.42116698e-14	
1.500799e-015	1.48814503e-14	
1.571530e-015	1.55827924e-14	
1.645594e-015	1.63171785e-14	
1.723148e-015	1.70861824e-14	
1.804357e-015	1.7891423e-14	
1.889394e-015	1.87346251e-14	
1.978439e-015	1.96175742e-14	
2.071680e-015	2.05421158e-14	
2.169315e-015	2.15102322e-14	
2.271551e-015	2.25239812e-14	
2.378606e-015	2.35854959e-14	
2.490707e-015	2.4697061e-14	
2.608090e-015	2.58609917e-14	
2.731006e-015	2.70797841e-14	
2.859714e-015	2.83560104e-14	
2.994488e-015	2.96923943e-14	
3.135614e-015	3.10917497e-14	
3.283391e-015	3.25570573e-14	
3.438132e-015	3.40914188e-14	
3.600167e-015	3.56981024e-14	
3.769837e-015	3.73804971e-14	
3.947504e-015	3.91421887e-14	
4.133544e-015	4.09868996e-14	
4.328352e-015	4.29185631e-14	
4.532341e-015	4.49412495e-14	
4.745943e-015	4.70592558e-14	
4.969613e-015	4.92771059e-14	
5.203824e-015	5.15994595e-14	
5.449072e-015	5.40312648e-14	
5.705879e-015	5.65776807e-14	
5.974789e-015	5.92441087e-14	
6.256372e-015	6.20361925e-14	
6.551226e-015	6.4959863e-14	
6.859975e-015	6.80213235e-14	
7.183276e-015	7.12270802e-14	
7.521814e-015	7.45839111e-14	
7.876306e-015	7.80989427e-14	
8.247505e-015	8.17796342e-14	
8.636198e-015	8.56337926e-14	
9.043209e-015	8.96695729e-14	
9.469402e-015	9.38955693e-14	
9.915682e-015	9.83207387e-14	
1.038299e-014	1.02954477e-13	
1.087233e-014	1.07806557e-13	
1.138473e-014	1.12887405e-13	
1.192127e-014	1.18207462e-13	
1.248310e-014	1.23778375e-13	
1.307141e-014	1.29611948e-13	
1.368745e-014	1.35720435e-13	
1.433252e-014	1.42116698e-13	
1.500799e-014	1.48814503e-13	
1.571530e-014	1.55827924e-13	
1.645594e-014	1.63171785e-13	
1.723148e-014	1.70861824e-13	
1.804357e-014	1.7891423e-13	
1.889394e-014	1.87346251e-13	
1.978439e-014	1.96175742e-13	
2.071679e-014	2.05421158e-13	
2.169315e-014	2.15102322e-13	
2.271551e-014	2.25239812e-13	
2.378606e-014	2.35854959e-13	
2.490707e-014	2.4697061e-13	
2.608090e-014	2.58609917e-13	
2.731005e-014	2.7079769e-13	
2.859714e-014	2.83560104e-13	
2.994488e-014	2.96923943e-13	
3.135614e-014	3.10917497e-13	
3.283391e-014	3.25570573e-13	
3.438132e-014	3.40914188e-13	
3.600166e-014	3.56981024e-13	
3.769837e-014	3.73804971e-13	
3.947504e-014	3.91421887e-13	
4.133544e-014	4.09868996e-13	
4.328352e-014	4.29185631e-13	
4.532341e-014	4.49412495e-13	
4.745944e-014	4.7059271e-13	
4.969613e-014	4.92771059e-13	
5.203824e-014	5.15994595e-13	
5.449072e-014	5.40312648e-13	
5.705879e-014	5.65776807e-13	
5.974789e-014	5.92441087e-13	
6.256372e-014	6.20361925e-13	
6.551226e-014	6.4959863e-13	
6.859976e-014	6.80213387e-13	
7.183276e-014	7.12270802e-13	
7.521814e-014	7.45839111e-13	
7.876306e-014	7.80989427e-13	
8.247505e-014	8.17796342e-13	
8.636197e-014	8.56337773e-13	
9.043209e-014	8.96695729e-13	
9.469402e-014	9.38955693e-13	
9.915681e-014	9.83207387e-13	
1.038299e-013	1.02954477e-12	
1.087233e-013	1.07806557e-12	
1.138473e-013	1.12887405e-12	
1.192127e-013	1.18207462e-12	
1.248310e-013	1.23778375e-12	
1.307141e-013	1.29611948e-12	
1.368745e-013	1.35720435e-12	
1.433252e-013	1.42116698e-12	
1.500799e-013	1.48814503e-12	
1.571530e-013	1.55827924e-12	
1.645594e-013	1.63171785e-12	
1.723148e-013	1.70861824e-12	
1.804357e-013	1.7891423e-12	
1.889394e-013	1.87346251e-12	
1.978439e-013	1.96175742e-12	
2.071680e-013	2.05421158e-12	
2.169315e-013	2.15102322e-12	
2.271551e-013	2.25239812e-12	
2.378606e-013	2.35854959e-12	
2.490706e-013	2.46970459e-12	
2.608090e-013	2.58609917e-12	
2.731006e-013	2.70797841e-12	
2.859714e-013	2.83560104e-12	
2.994488e-013	2.96923943e-12	
3.135614e-013	3.10917497e-12	
3.283391e-013	3.25570573e-12	
3.438132e-013	3.40914188e-12	
3.600166e-013	3.56981024e-12	
3.769837e-013	3.73804971e-12	
3.947504e-013	3.91421887e-12	
4.133544e-013	4.09868996e-12	
