V(out)	I(R_load)
9.915682e-020	9.915682e+000
1.038299e-019	9.915682e+000
1.087233e-019	9.915682e+000
1.138473e-019	9.915682e+000
1.192127e-019	9.915682e+000
1.248310e-019	9.915682e+000
1.307141e-019	9.915682e+000
1.368745e-019	9.915682e+000
1.433252e-019	9.915682e+000
1.500799e-019	9.915682e+000
1.571530e-019	9.915682e+000
1.645593e-019	9.915682e+000
1.723148e-019	9.915682e+000
1.804357e-019	9.915682e+000
1.889394e-019	9.915682e+000
1.978439e-019	9.915682e+000
2.071680e-019	9.915682e+000
2.169315e-019	9.915682e+000
2.271551e-019	9.915682e+000
2.378606e-019	9.915682e+000
2.490706e-019	9.915682e+000
2.608090e-019	9.915682e+000
2.731006e-019	9.915682e+000
2.859714e-019	9.915682e+000
2.994488e-019	9.915682e+000
3.135614e-019	9.915682e+000
3.283391e-019	9.915682e+000
3.438132e-019	9.915682e+000
3.600166e-019	9.915682e+000
3.769837e-019	9.915682e+000
3.947504e-019	9.915682e+000
4.133544e-019	9.915682e+000
4.328352e-019	9.915682e+000
4.532341e-019	9.915682e+000
4.745944e-019	9.915682e+000
4.969613e-019	9.915682e+000
5.203824e-019	9.915682e+000
5.449072e-019	9.915682e+000
5.705879e-019	9.915682e+000
5.974789e-019	9.915682e+000
6.256372e-019	9.915682e+000
6.551226e-019	9.915682e+000
6.859976e-019	9.915682e+000
7.183276e-019	9.915682e+000
7.521814e-019	9.915682e+000
7.876306e-019	9.915682e+000
8.247505e-019	9.915682e+000
8.636198e-019	9.915682e+000
9.043209e-019	9.915682e+000
9.469402e-019	9.915682e+000
9.915682e-019	9.915682e+000
1.038299e-018	9.915682e+000
1.087233e-018	9.915682e+000
1.138473e-018	9.915682e+000
1.192127e-018	9.915682e+000
1.248310e-018	9.915682e+000
1.307141e-018	9.915682e+000
1.368745e-018	9.915682e+000
1.433252e-018	9.915682e+000
1.500799e-018	9.915682e+000
1.571530e-018	9.915682e+000
1.645594e-018	9.915682e+000
1.723148e-018	9.915682e+000
1.804357e-018	9.915682e+000
1.889394e-018	9.915682e+000
1.978439e-018	9.915682e+000
2.071679e-018	9.915682e+000
2.169315e-018	9.915682e+000
2.271551e-018	9.915682e+000
2.378606e-018	9.915682e+000
2.490707e-018	9.915682e+000
2.608090e-018	9.915682e+000
2.731005e-018	9.915682e+000
2.859714e-018	9.915682e+000
2.994488e-018	9.915682e+000
3.135614e-018	9.915682e+000
3.283391e-018	9.915682e+000
3.438132e-018	9.915682e+000
3.600166e-018	9.915682e+000
3.769837e-018	9.915682e+000
3.947504e-018	9.915682e+000
4.133544e-018	9.915682e+000
4.328352e-018	9.915682e+000
4.532341e-018	9.915682e+000
4.745943e-018	9.915682e+000
4.969613e-018	9.915682e+000
5.203824e-018	9.915682e+000
5.449072e-018	9.915682e+000
5.705879e-018	9.915682e+000
5.974789e-018	9.915682e+000
6.256372e-018	9.915682e+000
6.551226e-018	9.915682e+000
6.859975e-018	9.915682e+000
7.183276e-018	9.915682e+000
7.521814e-018	9.915682e+000
7.876306e-018	9.915682e+000
8.247504e-018	9.915682e+000
8.636197e-018	9.915682e+000
9.043209e-018	9.915682e+000
9.469402e-018	9.915682e+000
9.915681e-018	9.915682e+000
1.038299e-017	9.915682e+000
1.087233e-017	9.915682e+000
1.138473e-017	9.915682e+000
1.192127e-017	9.915682e+000
1.248310e-017	9.915682e+000
1.307141e-017	9.915682e+000
1.368745e-017	9.915682e+000
1.433252e-017	9.915682e+000
1.500799e-017	9.915682e+000
1.571530e-017	9.915682e+000
1.645594e-017	9.915682e+000
1.723148e-017	9.915682e+000
1.804357e-017	9.915682e+000
1.889394e-017	9.915682e+000
1.978439e-017	9.915682e+000
2.071679e-017	9.915682e+000
2.169315e-017	9.915682e+000
2.271551e-017	9.915682e+000
2.378606e-017	9.915682e+000
2.490707e-017	9.915682e+000
2.608090e-017	9.915682e+000
2.731005e-017	9.915682e+000
2.859714e-017	9.915682e+000
2.994488e-017	9.915682e+000
3.135614e-017	9.915682e+000
3.283391e-017	9.915682e+000
3.438132e-017	9.915682e+000
3.600166e-017	9.915682e+000
3.769837e-017	9.915682e+000
3.947504e-017	9.915682e+000
4.133544e-017	9.915682e+000
4.328352e-017	9.915682e+000
