time	V(N141)*Id(M1)+V(N144)*Ig(M1)
0.000000000000000e+000	2.183859e-009
9.765624940649698e-012	-1.081496e-005
1.953124988129940e-011	-2.091732e-005
2.197265611646182e-011	-2.321951e-005
2.685546858678667e-011	-2.695104e-005
3.662109352743637e-011	-3.481407e-005
5.615234340873576e-011	-5.271211e-005
9.521484317133455e-011	-8.580351e-005
1.733398426965321e-010	-1.502246e-004
3.295898417469273e-010	-2.776756e-004
6.420898398477176e-010	-5.221825e-004
1.221512257274973e-009	-9.438822e-004
2.037628602913189e-009	-1.459171e-003
3.238230584271410e-009	-2.011190e-003
4.820297388414612e-009	-2.231805e-003
6.982926918135331e-009	-1.256873e-003
9.783275751471353e-009	2.946034e-003
1.353769408518237e-008	1.512765e-002
1.849002358862797e-008	4.469730e-002
2.533686546803010e-008	1.133360e-001
3.504869836660486e-008	2.687123e-001
5.009230143063499e-008	6.486710e-001
7.614293458159348e-008	1.723664e+000
1.282442008835104e-007	5.404369e+000
2.324467334873443e-007	1.836741e+001
4.408517986950122e-007	6.314125e+001
8.576619291103478e-007	1.839629e+002
1.124158958725293e-006	2.615273e+002
1.365485218465933e-006	3.019958e+002
1.592685558260156e-006	2.751438e+002
1.746531743857545e-006	1.995995e+002
1.842973964192907e-006	1.202310e+002
1.896719388480647e-006	6.526380e+001
1.929789465375834e-006	3.109497e+001
1.945670893755580e-006	1.802228e+001
1.961298152612753e-006	1.013396e+001
1.977933015908338e-006	5.966177e+000
1.991357424959363e-006	4.365748e+000
2.006350622429911e-006	3.502021e+000
2.022115800704910e-006	3.050581e+000
2.041417801679999e-006	2.790723e+000
2.063542490005488e-006	2.658700e+000
2.092865197985155e-006	2.586921e+000
2.130905340276894e-006	2.545178e+000
2.189207661866897e-006	2.506310e+000
2.282195309581962e-006	2.455515e+000
2.468170605012092e-006	2.370164e+000
2.840121195872351e-006	2.240525e+000
3.584022377592869e-006	2.056127e+000
4.128005888620687e-006	1.963709e+000
5.000000000000000e-006	1.857810e+000
5.087199411137932e-006	1.849430e+000
5.261598233413795e-006	1.844148e+000
5.610395877965520e-006	1.843909e+000
6.094157853657930e-006	1.843994e+000
7.061681805042749e-006	1.843951e+000
8.038244305042749e-006	1.843953e+000
9.014806805042749e-006	1.843951e+000
9.991369305042750e-006	1.843953e+000
1.096793180504275e-005	1.843951e+000
1.194449430504275e-005	1.843953e+000
1.292105680504275e-005	1.843951e+000
1.389761930504275e-005	1.843953e+000
1.487418180504276e-005	1.843951e+000
1.585074430504276e-005	1.843953e+000
1.682730680504276e-005	1.843952e+000
1.780386930504276e-005	1.843953e+000
1.878043180504276e-005	1.843952e+000
1.975699430504276e-005	1.843953e+000
2.073355680504276e-005	1.843952e+000
2.171011930504276e-005	1.843953e+000
2.268668180504276e-005	1.843952e+000
2.366324430504276e-005	1.843953e+000
2.463980680504276e-005	1.843952e+000
2.561636930504276e-005	1.843953e+000
2.659293180504277e-005	1.843952e+000
2.756949430504277e-005	1.843953e+000
2.854605680504277e-005	1.843952e+000
2.952261930504277e-005	1.843953e+000
3.049918180504277e-005	1.843952e+000
3.147574430504277e-005	1.843952e+000
3.245230680504277e-005	1.843952e+000
3.342886930504277e-005	1.843952e+000
3.440543180504277e-005	1.843952e+000
3.538199430504277e-005	1.843952e+000
3.635855680504277e-005	1.843952e+000
3.733511930504278e-005	1.843952e+000
3.831168180504278e-005	1.843952e+000
3.928824430504278e-005	1.843952e+000
4.026480680504278e-005	1.843952e+000
4.124136930504278e-005	1.843952e+000
4.221793180504278e-005	1.843952e+000
4.319449430504278e-005	1.843952e+000
4.417105680504278e-005	1.843952e+000
4.514761930504278e-005	1.843952e+000
4.612418180504278e-005	1.843952e+000
4.710074430504278e-005	1.843952e+000
4.807730680504278e-005	1.843952e+000
4.905386930504279e-005	1.843952e+000
5.003043180504279e-005	1.843952e+000
5.100699430504279e-005	1.843952e+000
5.198355680504279e-005	1.843952e+000
5.296011930504279e-005	1.843952e+000
5.393668180504279e-005	1.843962e+000
5.402343750000000e-005	1.843958e+000
5.419694888991443e-005	1.843951e+000
5.454397166974327e-005	1.843952e+000
5.500000000000000e-005	1.843960e+000
5.504560283302568e-005	1.840692e+000
5.513680849907702e-005	1.844048e+000
5.531921983117971e-005	1.862287e+000
5.561424946256770e-005	1.897485e+000
5.617357998214253e-005	1.986192e+000
5.715014248214253e-005	2.246517e+000
5.812670498214253e-005	2.733829e+000
5.857419370231349e-005	3.196798e+000
5.884653671688482e-005	3.740371e+000
5.900766903231616e-005	4.296474e+000
5.910801692907877e-005	4.852139e+000
5.917822834030482e-005	5.405223e+000
5.922815548959296e-005	5.933890e+000
5.927479288706830e-005	6.629613e+000
5.934425543992212e-005	7.824723e+000
5.941871111114392e-005	8.943669e+000
5.951383513453575e-005	9.822415e+000
5.966454948583565e-005	8.909911e+000
5.981951558399538e-005	5.593786e+000
6.000000000000000e-005	3.271134e-001
6.000130224163065e-005	3.178732e-001
6.000390672489193e-005	3.021581e-001
6.000911569141449e-005	2.822164e-001
6.001560512194811e-005	2.705860e-001
6.002361499380534e-005	2.663648e-001
6.003301724720940e-005	2.666303e-001
6.004669621948644e-005	2.697482e-001
6.006702386516114e-005	2.754029e-001
6.010500019670408e-005	2.862795e-001
6.018095285978995e-005	3.077634e-001
6.033285818596169e-005	3.459762e-001
6.052181333167622e-005	3.716064e-001
6.064961224579620e-005	3.484981e-001
6.076758456996958e-005	2.701618e-001
6.090753300314807e-005	1.312567e-001
6.096521500788269e-005	7.989945e-002
6.101686989095594e-005	4.982160e-002
6.107778162721559e-005	2.801565e-002
6.114303732617819e-005	1.395639e-002
6.117565665158617e-005	9.780143e-003
6.121778235966564e-005	6.454962e-003
6.125403486492958e-005	4.489187e-003
6.129590860314726e-005	2.967270e-003
6.133351068556288e-005	2.039425e-003
6.137480723958007e-005	1.359479e-003
6.141590540886051e-005	9.027607e-004
6.145484431980595e-005	6.135492e-004
6.149562870850417e-005	4.097660e-004
6.153363036808769e-005	2.813589e-004
6.157487263669595e-005	1.883606e-004
6.161963121580371e-005	1.223144e-004
6.167304967422383e-005	7.341624e-005
6.173554951514200e-005	4.061423e-005
6.181599817367467e-005	1.912847e-005
6.191669539414576e-005	7.575331e-006
6.206546104371301e-005	2.022014e-006
6.228296422111784e-005	2.782505e-007
6.271253112237196e-005	-4.054057e-009
6.357166492488022e-005	2.816364e-009
6.454822742488022e-005	2.020489e-009
6.552478992488022e-005	2.297571e-009
6.650135242488022e-005	2.121023e-009
6.747791492488022e-005	2.233818e-009
6.845447742488022e-005	2.155352e-009
7.138416492488022e-005	2.199489e-009
9.940895484976049e-005	3.263254e-009
1.000000000000000e-004	9.202152e-005
1.000013003003866e-004	-8.098340e-004
1.000039009011599e-004	-1.375594e-003
1.000091021027064e-004	2.802090e-003
1.000132588447677e-004	1.381082e-002
1.000175789139842e-004	3.716204e-002
1.000235120731421e-004	9.144246e-002
1.000326641083691e-004	2.248853e-001
1.000465019192423e-004	5.434547e-001
1.000698921653076e-004	1.423110e+000
1.001166726574382e-004	4.430126e+000
1.002102336416993e-004	1.503659e+001
1.003973556102217e-004	5.207018e+001
1.007715995472664e-004	1.561271e+002
1.010358021879021e-004	2.370592e+002
1.012906653089542e-004	2.948127e+002
1.015355604395927e-004	2.899489e+002
1.017090246621322e-004	2.229662e+002
1.018313927338326e-004	1.307854e+002
1.018929325433782e-004	6.938513e+001
1.019277402459964e-004	3.307735e+001
1.019453073045120e-004	1.825332e+001
1.019605994874699e-004	1.035113e+001
1.019773103530338e-004	6.052437e+000
1.019904165667997e-004	4.433627e+000
1.020051359585927e-004	3.549512e+000
1.020208952398295e-004	3.075181e+000
1.020399779620684e-004	2.803541e+000
1.020618571397618e-004	2.665182e+000
1.020905402483073e-004	2.590589e+000
1.021278114413705e-004	2.547721e+000
1.021842594828912e-004	2.509262e+000
1.022742020823724e-004	2.459654e+000
1.024540872813349e-004	2.376104e+000
1.028138576792599e-004	2.248422e+000
1.035333984751099e-004	2.066933e+000
1.041297125171866e-004	1.964370e+000
1.050000000000000e-004	1.857802e+000
1.050870287482814e-004	1.849430e+000
1.052610862448440e-004	1.844149e+000
1.056092012379694e-004	1.843909e+000
1.060921804078430e-004	1.843994e+000
1.070581387475901e-004	1.843951e+000
1.080347012475901e-004	1.843953e+000
1.090112637475901e-004	1.843951e+000
1.099878262475901e-004	1.843953e+000
1.109643887475901e-004	1.843951e+000
1.119409512475901e-004	1.843953e+000
1.129175137475901e-004	1.843951e+000
1.138940762475901e-004	1.843953e+000
1.148706387475901e-004	1.843952e+000
1.158472012475901e-004	1.843953e+000
1.168237637475901e-004	1.843952e+000
1.178003262475902e-004	1.843953e+000
1.187768887475902e-004	1.843952e+000
1.197534512475902e-004	1.843953e+000
1.207300137475902e-004	1.843952e+000
1.217065762475902e-004	1.843953e+000
1.226831387475901e-004	1.843952e+000
1.236597012475901e-004	1.843953e+000
1.246362637475901e-004	1.843952e+000
1.256128262475901e-004	1.843953e+000
1.265893887475901e-004	1.843952e+000
1.275659512475901e-004	1.843953e+000
1.285425137475901e-004	1.843952e+000
1.295190762475901e-004	1.843953e+000
1.304956387475901e-004	1.843952e+000
1.314722012475901e-004	1.843952e+000
1.324487637475901e-004	1.843952e+000
1.334253262475902e-004	1.843952e+000
1.344018887475902e-004	1.843952e+000
1.353784512475902e-004	1.843952e+000
1.363550137475902e-004	1.843952e+000
1.373315762475902e-004	1.843952e+000
1.383081387475902e-004	1.843952e+000
1.392847012475902e-004	1.843952e+000
1.402612637475902e-004	1.843952e+000
1.412378262475902e-004	1.843952e+000
1.422143887475902e-004	1.843952e+000
1.431909512475902e-004	1.843952e+000
1.441675137475902e-004	1.843952e+000
1.451440762475902e-004	1.843952e+000
1.461206387475902e-004	1.843952e+000
1.470972012475902e-004	1.843952e+000
1.480737637475902e-004	1.843952e+000
1.490503262475902e-004	1.843952e+000
1.500268887475902e-004	1.843952e+000
1.510034512475902e-004	1.843952e+000
1.519800137475902e-004	1.843952e+000
1.529565762475902e-004	1.843952e+000
1.539331387475902e-004	1.843961e+000
1.540234375000000e-004	1.843958e+000
1.542040350048197e-004	1.843951e+000
1.545652300144591e-004	1.843952e+000
1.550000000000000e-004	1.843960e+000
1.550434769985541e-004	1.840557e+000
1.551304309956623e-004	1.843455e+000
1.553043389898786e-004	1.860666e+000
1.555904766148043e-004	1.894383e+000
1.561193121814935e-004	1.976390e+000
1.570958746814935e-004	2.226522e+000
1.580724371814935e-004	2.696994e+000
1.585638934652034e-004	3.187040e+000
1.588419274569477e-004	3.731830e+000
1.590092521072098e-004	4.310953e+000
1.591127871081392e-004	4.892884e+000
1.591835917645081e-004	5.467527e+000
1.592348376393496e-004	6.032015e+000
1.592829157441823e-004	6.766672e+000
1.593529232411164e-004	7.969367e+000
1.594282041703493e-004	9.068042e+000
1.595278898005291e-004	9.892105e+000
1.596916190426044e-004	8.328632e+000
1.598169905111804e-004	5.457273e+000
1.600000000000000e-004	3.256746e-001
1.600012826426465e-004	3.168543e-001
1.600038479279394e-004	3.016491e-001
1.600089784985252e-004	2.822080e-001
1.600155262175719e-004	2.705584e-001
1.600235219693215e-004	2.663578e-001
1.600329929607035e-004	2.666463e-001
1.600466163855273e-004	2.697575e-001
1.600670942871188e-004	2.754575e-001
1.601050437127481e-004	2.863253e-001
1.601809425640068e-004	3.077932e-001
1.603327402665241e-004	3.459758e-001
1.605217606034145e-004	3.715993e-001
