time	V(n141)
0.000000000000000e+000	2.156848e+001
6.835937523506919e-013	2.156848e+001
1.367187504701384e-012	2.156848e+001
2.734375009402768e-012	2.156848e+001
5.468750018805535e-012	2.156848e+001
1.093750003761107e-011	2.156848e+001
2.187500007522214e-011	2.156848e+001
4.375000015044428e-011	2.156848e+001
8.750000030088856e-011	2.156848e+001
1.750000006017771e-010	2.156848e+001
3.500000012035542e-010	2.156848e+001
7.000000024071085e-010	2.156848e+001
1.296088552011700e-009	2.156848e+001
2.159287766555046e-009	2.156848e+001
3.389852816634077e-009	2.156848e+001
5.039763903305985e-009	2.156848e+001
7.257167105226884e-009	2.156848e+001
1.016138732358097e-008	2.156848e+001
1.402120296741638e-008	2.156847e+001
1.916159674040563e-008	2.156845e+001
2.625245426497341e-008	2.156838e+001
3.642691558427103e-008	2.156817e+001
5.229294958455907e-008	2.156746e+001
8.039422296801665e-008	2.156445e+001
1.365967697349318e-007	2.155173e+001
2.049561447349318e-007	2.152360e+001
2.733155197349318e-007	2.147877e+001
3.416748947349318e-007	2.141494e+001
4.100342697349317e-007	2.133087e+001
4.783936447349317e-007	2.122513e+001
5.467530197349317e-007	2.109584e+001
6.151123947349316e-007	2.094043e+001
6.834717697349316e-007	2.075547e+001
7.518311447349316e-007	2.053644e+001
8.201905197349315e-007	2.027754e+001
8.885498947349315e-007	1.997139e+001
9.569092697349315e-007	1.960881e+001
1.025268644734931e-006	1.917864e+001
1.093628019734931e-006	1.866769e+001
1.161987394734931e-006	1.806105e+001
1.230346769734931e-006	1.734270e+001
1.298706144734931e-006	1.649647e+001
1.367065519734931e-006	1.550722e+001
1.435424894734931e-006	1.436182e+001
1.503784269734931e-006	1.304977e+001
1.572143644734931e-006	1.156341e+001
1.640503019734931e-006	9.897956e+000
1.708862394734931e-006	8.052179e+000
1.777221769734931e-006	6.032158e+000
1.845581144734931e-006	3.873956e+000
1.888613168480989e-006	2.474554e+000
1.918260663845395e-006	1.552160e+000
1.942639797971826e-006	9.076038e-001
1.955744345692012e-006	6.625056e-001
1.971952964055437e-006	4.765190e-001
1.985693783589806e-006	3.814875e-001
1.999405932225522e-006	3.285547e-001
2.015185471264341e-006	2.948353e-001
2.031844795121846e-006	2.760617e-001
2.052002034054891e-006	2.649522e-001
2.075792901942970e-006	2.587635e-001
2.107768060418149e-006	2.547597e-001
2.150699128571597e-006	2.515413e-001
2.218358271523887e-006	2.475343e-001
2.286717646523887e-006	2.438444e-001
2.355077021523887e-006	2.404113e-001
2.423436396523887e-006	2.372064e-001
2.491795771523887e-006	2.342072e-001
2.560155146523888e-006	2.313939e-001
2.628514521523888e-006	2.287490e-001
2.696873896523888e-006	2.262575e-001
2.833592646523888e-006	2.216829e-001
2.970311396523889e-006	2.175805e-001
3.107030146523889e-006	2.138792e-001
3.243748896523889e-006	2.105218e-001
3.380467646523890e-006	2.074618e-001
3.517186396523890e-006	2.046606e-001
3.653905146523890e-006	2.020862e-001
3.858983271523891e-006	1.985924e-001
4.064061396523890e-006	1.954756e-001
4.269139521523889e-006	1.926771e-001
4.474217646523888e-006	1.901502e-001
4.679295771523888e-006	1.878568e-001
4.931640625000001e-006	1.853081e-001
5.000000000000000e-006	1.846645e-001
5.006835937500001e-006	1.846084e-001
5.020507812500001e-006	1.845253e-001
5.047851562500001e-006	1.844431e-001
5.102539062500001e-006	1.843992e-001
5.170898437500000e-006	1.843950e-001
5.239257812500000e-006	1.843957e-001
5.307617187500000e-006	1.843955e-001
5.375976562500000e-006	1.843956e-001
5.444335937499999e-006	1.843955e-001
5.512695312499999e-006	1.843956e-001
5.581054687499999e-006	1.843956e-001
5.649414062499999e-006	1.843956e-001
5.717773437499998e-006	1.843956e-001
5.786132812499998e-006	1.843956e-001
5.854492187499998e-006	1.843956e-001
1.815917968750009e-005	1.843956e-001
3.866699218750026e-005	1.843956e-001
5.493652343750041e-005	1.843956e-001
5.500000000000000e-005	1.843956e-001
5.500634765624996e-005	1.844032e-001
5.501904296874988e-005	1.844415e-001
5.504443359374971e-005	1.845941e-001
5.509521484374939e-005	1.850229e-001
5.516357421874939e-005	1.856723e-001
5.523193359374939e-005	1.863468e-001
5.533935546874939e-005	1.874348e-001
5.544677734374940e-005	1.885884e-001
5.555419921874940e-005	1.898074e-001
5.566162109374940e-005	1.910920e-001
5.576904296874940e-005	1.924421e-001
5.587646484374940e-005	1.938577e-001
5.598388671874940e-005	1.953388e-001
5.618896484374940e-005	1.984375e-001
5.639404296874940e-005	2.019082e-001
5.653076171874941e-005	2.044636e-001
5.666748046874941e-005	2.072423e-001
5.680419921874941e-005	2.102753e-001
5.694091796874941e-005	2.135997e-001
5.707763671874941e-005	2.172607e-001
5.721435546874941e-005	2.213132e-001
5.735107421874941e-005	2.258250e-001
5.741943359374941e-005	2.282789e-001
5.748779296874941e-005	2.308811e-001
5.755615234374941e-005	2.336459e-001
5.762451171874942e-005	2.365894e-001
5.769287109374942e-005	2.397303e-001
5.776123046874942e-005	2.430895e-001
5.782958984374942e-005	2.466916e-001
5.789794921874942e-005	2.505650e-001
5.796630859374942e-005	2.547428e-001
5.803466796874942e-005	2.592640e-001
5.810302734374942e-005	2.641748e-001
5.817138671874942e-005	2.695305e-001
5.823974609374942e-005	2.753982e-001
5.830810546874942e-005	2.818596e-001
5.837646484374942e-005	2.890160e-001
5.844482421874942e-005	2.969947e-001
5.851318359374942e-005	3.059586e-001
5.858154296874942e-005	3.161202e-001
5.864990234374942e-005	3.277638e-001
5.871826171874942e-005	3.412810e-001
5.878662109374943e-005	3.572321e-001
5.885498046874943e-005	3.764583e-001
5.892333984374943e-005	4.003084e-001
5.899169921874943e-005	4.311579e-001
5.906005859374943e-005	4.738770e-001
5.912841796874943e-005	5.363721e-001
5.917663549531794e-005	6.055257e-001
5.921856241984856e-005	6.990567e-001
5.925809556604677e-005	8.312598e-001
5.932645494104677e-005	1.149184e+000
5.939481431604677e-005	1.566435e+000
5.946317369104677e-005	2.090541e+000
5.953153306604677e-005	2.713723e+000
5.959989244104677e-005	3.426273e+000
5.966825181604677e-005	4.217721e+000
5.973661119104677e-005	5.077187e+000
5.980497056604677e-005	5.993381e+000
5.987332994104678e-005	6.953498e+000
5.993164062500000e-005	7.799747e+000
6.000000000000000e-005	8.809730e+000
6.000192806975699e-005	8.838551e+000
6.000578420927096e-005	8.896195e+000
6.001349648829890e-005	9.011495e+000
6.001992485355778e-005	9.107603e+000
6.002926017662030e-005	9.247177e+000
6.003933883863637e-005	9.397861e+000
6.005851492131951e-005	9.684551e+000
6.008434743654472e-005	1.007071e+001
6.013601246699516e-005	1.084283e+001
6.020437184199516e-005	1.186380e+001
6.027273121699516e-005	1.288339e+001
6.034109059199516e-005	1.390019e+001
6.040944996699516e-005	1.491158e+001
6.047780934199516e-005	1.591261e+001
6.054616871699516e-005	1.689426e+001
6.061452809199516e-005	1.784087e+001
6.068288746699516e-005	1.872774e+001
6.075124684199516e-005	1.952134e+001
6.081960621699516e-005	2.018608e+001
6.088796559199516e-005	2.069771e+001
6.095632496699516e-005	2.105569e+001
