time	V(N143)*Id(M1)+V(N145)*Ig(M1)
0.000000000000000e+000	5.660889e-009
9.765625114122045e-011	-1.602494e-004
9.996968650957740e-011	-1.650240e-004
1.045965572462913e-010	-1.700881e-004
1.138502987197191e-010	-1.780514e-004
1.323577816665746e-010	-2.158115e-004
1.693727475602857e-010	-2.824260e-004
2.434026793477079e-010	-4.004293e-004
3.914625429225523e-010	-6.426896e-004
6.875822700722410e-010	-1.105982e-003
1.279821724371619e-009	-1.965132e-003
2.123015724748701e-009	-3.015505e-003
3.356186785937805e-009	-4.091280e-003
4.975831617871365e-009	-4.366002e-003
7.183016553450348e-009	-1.880536e-003
1.004082228018252e-008	7.893629e-003
1.387138638910282e-008	3.548925e-002
1.893397798161039e-008	1.016895e-001
2.595276370321879e-008	2.544178e-001
3.596895498116541e-008	6.003793e-001
5.164517559043380e-008	1.455041e+000
7.938551328715729e-008	3.931354e+000
1.348661886806043e-007	1.242926e+001
2.458275394674982e-007	4.233507e+001
4.677502410412861e-007	1.435693e+002
9.115956441888618e-007	3.928178e+002
1.151237657878740e-006	4.933132e+002
1.344713904319989e-006	4.926966e+002
1.511305724119081e-006	3.850350e+002
1.631315905943047e-006	2.265445e+002
1.693506390547036e-006	1.147402e+002
1.726858023145305e-006	5.133669e+001
1.744176942390890e-006	2.286473e+001
1.752572546627988e-006	1.286104e+001
1.758719442575372e-006	8.362710e+000
1.765732028664858e-006	5.586100e+000
1.772111632601307e-006	4.305344e+000
1.780013637698026e-006	3.527202e+000
1.787399173521324e-006	3.170337e+000
1.797266842651548e-006	2.950848e+000
1.808077825766724e-006	2.842023e+000
1.824255675152596e-006	2.775301e+000
1.843806414798154e-006	2.739516e+000
1.877766309001885e-006	2.705224e+000
1.923338499467347e-006	2.668299e+000
2.014482880398272e-006	2.603500e+000
2.196771642260121e-006	2.495518e+000
2.561349165983820e-006	2.333484e+000
3.181941007249776e-006	2.143160e+000
3.893086777552588e-006	1.990656e+000
4.093334718522740e-006	1.959057e+000
4.493830600463043e-006	1.909994e+000
5.000000000000000e-006	1.855832e+000
5.050616939953696e-006	1.848969e+000
5.151850819861087e-006	1.844271e+000
5.354318579675870e-006	1.843881e+000
5.675255639447828e-006	1.844003e+000
6.317129758991745e-006	1.843942e+000
7.293692258991745e-006	1.843957e+000
8.270254758991745e-006	1.843955e+000
9.246817258991746e-006	1.843957e+000
1.022337975899175e-005	1.843955e+000
1.119994225899175e-005	1.843956e+000
1.217650475899175e-005	1.843956e+000
1.315306725899175e-005	1.843956e+000
1.412962975899175e-005	1.843956e+000
1.510619225899175e-005	1.843956e+000
1.608275475899175e-005	1.843956e+000
1.705931725899175e-005	1.843956e+000
1.803587975899175e-005	1.843956e+000
1.901244225899176e-005	1.843956e+000
1.998900475899176e-005	1.843956e+000
2.096556725899176e-005	1.843956e+000
2.194212975899176e-005	1.843956e+000
2.291869225899176e-005	1.843956e+000
2.389525475899176e-005	1.843956e+000
2.487181725899176e-005	1.843956e+000
2.584837975899176e-005	1.843956e+000
2.682494225899176e-005	1.843956e+000
2.780150475899176e-005	1.843956e+000
2.877806725899176e-005	1.843956e+000
2.975462975899176e-005	1.843956e+000
3.073119225899176e-005	1.843956e+000
3.170775475899176e-005	1.843956e+000
3.268431725899176e-005	1.843956e+000
3.366087975899176e-005	1.843956e+000
3.463744225899177e-005	1.843956e+000
3.561400475899177e-005	1.843956e+000
3.659056725899177e-005	1.843956e+000
3.756712975899177e-005	1.843956e+000
3.854369225899177e-005	1.843956e+000
3.952025475899177e-005	1.843956e+000
4.049681725899177e-005	1.843956e+000
4.147337975899177e-005	1.843956e+000
4.244994225899177e-005	1.843956e+000
4.342650475899177e-005	1.843956e+000
4.440306725899177e-005	1.843956e+000
4.537962975899178e-005	1.843956e+000
4.635619225899178e-005	1.843956e+000
4.733275475899178e-005	1.843956e+000
4.830931725899178e-005	1.843956e+000
4.928587975899178e-005	1.843956e+000
5.026244225899178e-005	1.843956e+000
5.123900475899178e-005	1.843956e+000
5.221556725899178e-005	1.843956e+000
5.319212975899178e-005	1.843956e+000
5.402343750000000e-005	1.843956e+000
5.500000000000000e-005	1.843997e+000
5.509765625000001e-005	1.845961e+000
5.529296875000000e-005	1.861955e+000
5.568359375000000e-005	1.908855e+000
5.619659413171165e-005	1.992587e+000
5.717315663171165e-005	2.263605e+000
5.814971913171165e-005	2.764773e+000
5.853887669636606e-005	3.174592e+000
5.878528518539325e-005	3.657860e+000
5.892879626377189e-005	4.127636e+000
5.901593656557810e-005	4.579190e+000
5.907562700963122e-005	5.050856e+000
5.911814659403785e-005	5.555701e+000
5.914820940266158e-005	6.089240e+000
5.917083771967555e-005	6.685512e+000
5.919214477274177e-005	7.530699e+000
5.922988668796423e-005	9.699049e+000
5.928638292282314e-005	1.382533e+001
5.933877242466182e-005	1.842080e+001
5.941321512442283e-005	2.548857e+001
5.951816079130270e-005	3.334924e+001
5.964179482794716e-005	3.678724e+001
