time	V(n143)
0.000000000000000e+000	4.526701e+001
2.929687403590252e-014	4.526701e+001
5.859374807180504e-014	4.526701e+001
1.171874961436101e-013	4.526701e+001
2.343749922872201e-013	4.526701e+001
4.687499845744403e-013	4.526701e+001
9.374999691488806e-013	4.526701e+001
1.874999938297761e-012	4.526701e+001
3.749999876595522e-012	4.526701e+001
7.499999753191045e-012	4.526701e+001
1.499999950638209e-011	4.526701e+001
2.999999901276418e-011	4.526701e+001
5.999999802552836e-011	4.526701e+001
1.199999960510567e-010	4.526701e+001
2.399999921021134e-010	4.526701e+001
4.799999842042269e-010	4.526701e+001
9.599999684084537e-010	4.526701e+001
1.658213545237689e-009	4.526701e+001
2.701302889715968e-009	4.526701e+001
4.096446650815651e-009	4.526701e+001
6.011092800586506e-009	4.526701e+001
8.502436470361542e-009	4.526701e+001
1.143212397036154e-008	4.526700e+001
1.436181147036154e-008	4.526698e+001
1.729149897036154e-008	4.526694e+001
2.022118647036154e-008	4.526688e+001
2.315087397036154e-008	4.526680e+001
2.608056147036154e-008	4.526670e+001
2.901024897036154e-008	4.526656e+001
3.193993647036154e-008	4.526640e+001
3.486962397036154e-008	4.526619e+001
3.779931147036154e-008	4.526595e+001
4.072899897036153e-008	4.526566e+001
4.365868647036153e-008	4.526533e+001
4.658837397036153e-008	4.526496e+001
4.951806147036153e-008	4.526453e+001
5.244774897036153e-008	4.526406e+001
5.537743647036153e-008	4.526354e+001
5.830712397036152e-008	4.526296e+001
6.123681147036152e-008	4.526233e+001
6.416649897036153e-008	4.526165e+001
7.002587397036154e-008	4.526010e+001
7.588524897036155e-008	4.525832e+001
8.174462397036156e-008	4.525629e+001
8.760399897036157e-008	4.525400e+001
9.639306147036158e-008	4.525008e+001
1.051821239703616e-007	4.524554e+001
1.139711864703616e-007	4.524039e+001
1.227602489703616e-007	4.523459e+001
1.470348025417902e-007	4.521539e+001
1.713093561132188e-007	4.519092e+001
1.955839096846473e-007	4.516118e+001
2.198584632560759e-007	4.512618e+001
2.441330168275045e-007	4.508590e+001
2.684075703989331e-007	4.504036e+001
2.926821239703616e-007	4.498955e+001
3.223975257560760e-007	4.492048e+001
3.521129275417904e-007	4.484212e+001
3.818283293275048e-007	4.475446e+001
4.115437311132193e-007	4.465751e+001
4.412591328989337e-007	4.455125e+001
4.709745346846481e-007	4.443571e+001
5.006899364703624e-007	4.431086e+001
5.295682846846479e-007	4.418029e+001
5.584466328989332e-007	4.403658e+001
5.873249811132186e-007	4.387974e+001
6.162033293275039e-007	4.370975e+001
6.450816775417894e-007	4.352663e+001
6.739600257560747e-007	4.333037e+001
7.028383739703600e-007	4.312097e+001
7.195794453989313e-007	4.299125e+001
7.363205168275025e-007	4.285458e+001
7.530615882560738e-007	4.271098e+001
7.698026596846450e-007	4.256043e+001
7.865437311132163e-007	4.240294e+001
8.032848025417874e-007	4.223851e+001
8.200258739703586e-007	4.206715e+001
8.229555614703586e-007	4.203614e+001
8.480671686132155e-007	4.176486e+001
8.731787757560724e-007	4.146766e+001
8.982903828989292e-007	4.114454e+001
9.234019900417861e-007	4.079550e+001
9.485135971846430e-007	4.042054e+001
9.736252043274998e-007	4.001966e+001
9.987368114703566e-007	3.959286e+001
1.030963373970356e-006	3.900320e+001
1.063189936470356e-006	3.833362e+001
1.095416498970356e-006	3.758414e+001
1.127643061470355e-006	3.675475e+001
1.159869623970355e-006	3.584544e+001
