Freq.	Is(M1)
1.00000000000000e+003	-4.90749242525070e+001
1.00695555005672e+003	-4.90288451720287e+001
1.01395947979003e+003	-4.89826167557392e+001
1.02101212570719e+003	-4.89362401084465e+001
1.02811382665607e+003	-4.88897163369482e+001
1.03526492384138e+003	-4.88430465495011e+001
1.04246576084112e+003	-4.87962318559372e+001
1.04971668362307e+003	-4.87492733671178e+001
1.05701804056138e+003	-4.87021721948430e+001
1.06437018245336e+003	-4.86549294517435e+001
1.07177346253629e+003	-4.86075462507501e+001
1.07922823650443e+003	-4.85600237052332e+001
1.08673486252606e+003	-4.85123629284870e+001
1.09429370126074e+003	-4.84645650336516e+001
1.10190511587661e+003	-4.84166311335455e+001
1.10956947206785e+003	-4.83685623403249e+001
1.11728713807222e+003	-4.83203597654925e+001
1.12505848468881e+003	-4.82720245194821e+001
1.13288388529580e+003	-4.82235577115706e+001
1.14076371586843e+003	-4.81749604495442e+001
1.14869835499704e+003	-4.81262338398660e+001
1.15668818390529e+003	-4.80773789870555e+001
1.16473358646846e+003	-4.80283969937776e+001
1.17283494923188e+003	-4.79792889605580e+001
1.18099266142953e+003	-4.79300559857690e+001
1.18920711500272e+003	-4.78806991653169e+001
1.19747870461893e+003	-4.78312195922813e+001
1.20580782769076e+003	-4.77816183572237e+001
1.21419488439505e+003	-4.77318965476075e+001
1.22264027769207e+003	-4.76820552479040e+001
1.23114441334492e+003	-4.76320955393726e+001
1.23970769993899e+003	-4.75820184998273e+001
1.24833054890162e+003	-4.75318252035250e+001
1.25701337452183e+003	-4.74815167211004e+001
1.26575659397028e+003	-4.74310941193454e+001
1.27456062731927e+003	-4.73805584612012e+001
1.28342589756291e+003	-4.73299108054706e+001
1.29235283063750e+003	-4.72791522066566e+001
1.30134185544194e+003	-4.72282837152694e+001
1.31039340385837e+003	-4.71773063770172e+001
1.31950791077290e+003	-4.71262212332880e+001
1.32868581409652e+003	-4.70750293206808e+001
1.33792755478612e+003	-4.70237316711487e+001
1.34723357686570e+003	-4.69723293116715e+001
1.35660432744768e+003	-4.69208232642769e+001
1.36604025675440e+003	-4.68692145459784e+001
1.37554181813975e+003	-4.68175041685265e+001
1.38510946811093e+003	-4.67656931384599e+001
1.39474366635041e+003	-4.67137824570403e+001
1.40444487573800e+003	-4.66617731199007e+001
1.41421356237310e+003	-4.66096661174285e+001
1.42405019559708e+003	-4.65574624342318e+001
1.43395524801583e+003	-4.65051630492264e+001
1.44392919552250e+003	-4.64527689358211e+001
1.45397251732032e+003	-4.64002810613097e+001
1.46408569594563e+003	-4.63477003873749e+001
1.47426921729111e+003	-4.62950278695711e+001
1.48452357062906e+003	-4.62422644575944e+001
1.49484924863495e+003	-4.61894110949874e+001
1.50524674741107e+003	-4.61364687193057e+001
1.51571656651041e+003	-4.60834382617721e+001
1.52625920896057e+003	-4.60303206475608e+001
1.53687518128802e+003	-4.59771167954702e+001
1.54756499354240e+003	-4.59238276181512e+001
1.55832915932101e+003	-4.58704540217441e+001
1.56916819579351e+003	-4.58169969061444e+001
1.58008262372676e+003	-4.57634571647087e+001
1.59107296750985e+003	-4.57098356844856e+001
1.60213975517925e+003	-4.56561333459068e+001
1.61328351844426e+003	-4.56023510230399e+001
1.62450479271248e+003	-4.55484895833441e+001
1.63580411711557e+003	-4.54945498876830e+001
1.64718203453516e+003	-4.54405327903669e+001
1.65863909162889e+003	-4.53864391392153e+001
1.67017583885675e+003	-4.53322697752664e+001
1.68179283050744e+003	-4.52780255330024e+001
1.69349062472506e+003	-4.52237072403468e+001
1.70526978353592e+003	-4.51693157183903e+001
1.71713087287552e+003	-4.51148517816794e+001
1.72907446261574e+003	-4.50603162381094e+001
1.74110112659226e+003	-4.50057098888209e+001
1.75321144263208e+003	-4.49510335283228e+001
1.76540599258132e+003	-4.48962879443954e+001
1.77768536233315e+003	-4.48414739181712e+001
1.79005014185596e+003	-4.47865922241086e+001
1.80250092522167e+003	-4.47316436299460e+001
1.81503831063433e+003	-4.46766288968129e+001
1.82766290045881e+003	-4.46215487791130e+001
1.84037530124976e+003	-4.45664040246386e+001
1.85317612378075e+003	-4.45111953744665e+001
1.86606598307363e+003	-4.44559235630915e+001
1.87904549842804e+003	-4.44005893183924e+001
1.89211529345121e+003	-4.43451933615917e+001
1.90527599608789e+003	-4.42897364072993e+001
1.91852823865054e+003	-4.42342191636227e+001
1.93187265784971e+003	-4.41786423320141e+001
1.94530989482459e+003	-4.41230066074585e+001
1.95884059517387e+003	-4.40673126783517e+001
1.97246540898673e+003	-4.40115612266179e+001
1.98618499087409e+003	-4.39557529276892e+001
2.00000000000002e+003	-4.38998884505464e+001
2.01391110011345e+003	-4.38439684577085e+001
2.02791895958007e+003	-4.37879936053052e+001
2.04202425141440e+003	-4.37319645431143e+001
2.05622765331215e+003	-4.36758819144736e+001
2.07052984768277e+003	-4.36197463564642e+001
2.08493152168226e+003	-4.35635584998390e+001
2.09943336724615e+003	-4.35073189690430e+001
2.11403608112278e+003	-4.34510283823543e+001
2.12874036490674e+003	-4.33946873517810e+001
2.14354692507261e+003	-4.33382964831743e+001
2.15845647300887e+003	-4.32818563762455e+001
2.17346972505214e+003	-4.32253676245676e+001
2.18858740252150e+003	-4.31688308156657e+001
2.20381023175324e+003	-4.31122465310148e+001
2.21913894413571e+003	-4.30556153460477e+001
2.23457427614446e+003	-4.29989378302665e+001
2.25011696937764e+003	-4.29422145472051e+001
2.26576777059162e+003	-4.28854460544974e+001
2.28152743173687e+003	-4.28286329039253e+001
2.29739670999409e+003	-4.27717756414402e+001
2.31337636781060e+003	-4.27148748072202e+001
2.32946717293693e+003	-4.26579309356628e+001
2.34566989846378e+003	-4.26009445554604e+001
2.36198532285908e+003	-4.25439161896303e+001
2.37841423000547e+003	-4.24868463555778e+001
2.39495740923788e+003	-4.24297355651096e+001
2.41161565538155e+003	-4.23725843244660e+001
2.42838976879012e+003	-4.23153931343815e+001
2.44528055538416e+003	-4.22581624901053e+001
2.46228882668986e+003	-4.22008928814635e+001
2.47941539987800e+003	-4.21435847929017e+001
2.49666109780325e+003	-4.20862387034978e+001
2.51402674904368e+003	-4.20288550870683e+001
2.53151318794059e+003	-4.19714344120805e+001
2.54912125463855e+003	-4.19139771418417e+001
2.56685179512584e+003	-4.18564837344627e+001
2.58470566127501e+003	-4.17989546429115e+001
2.60268371088390e+003	-4.17413903150285e+001
2.62078680771676e+003	-4.16837911936703e+001
2.63901582154582e+003	-4.16261577165980e+001
2.65737162819305e+003	-4.15684903166626e+001
2.67585510957225e+003	-4.15107894217302e+001
2.69446715373141e+003	-4.14530554548330e+001
2.71320865489537e+003	-4.13952888341095e+001
2.73208051350882e+003	-4.13374899729670e+001
2.75108363627952e+003	-4.12796592799541e+001
2.77021893622188e+003	-4.12217971589912e+001
2.78948733270084e+003	-4.11639040092844e+001
2.80888975147603e+003	-4.11059802253850e+001
2.82842712474622e+003	-4.10480261973090e+001
2.84810039119418e+003	-4.09900423104661e+001
2.86791049603169e+003	-4.09320289458175e+001
2.88785839104503e+003	-4.08739864797980e+001
2.90794503464066e+003	-4.08159152844590e+001
2.92817139189129e+003	-4.07578157274718e+001
2.94853843458224e+003	-4.06996881721638e+001
2.96904714125813e+003	-4.06415329775359e+001
2.98969849726991e+003	-4.05833504983784e+001
3.01049349482217e+003	-4.05251410852341e+001
3.03143313302083e+003	-4.04669050844865e+001
3.05251841792116e+003	-4.04086428383860e+001
3.07375036257606e+003	-4.03503546850913e+001
3.09512998708482e+003	-4.02920409586956e+001
3.11665831864204e+003	-4.02337019892878e+001
3.13833639158704e+003	-4.01753381029940e+001
3.16016524745355e+003	-4.01169496220100e+001
3.18214593501972e+003	-4.00585368646395e+001
3.20427951035853e+003	-4.00001001453050e+001
3.22656703688855e+003	-3.99416397746719e+001
3.24900958542499e+003	-3.98831560595833e+001
3.27160823423117e+003	-3.98246493031833e+001
3.29436406907034e+003	-3.97661198049004e+001
3.31727818325781e+003	-3.97075678605232e+001
3.34035167771352e+003	-3.96489937622048e+001
3.36358566101490e+003	-3.95903977985267e+001
3.38698124945015e+003	-3.95317802545368e+001
3.41053956707187e+003	-3.94731414117690e+001
3.43426174575106e+003	-3.94144815482915e+001
3.45814892523151e+003	-3.93558009387534e+001
3.48220225318455e+003	-3.92970998543954e+001
3.50642288526419e+003	-3.92383785631225e+001
3.53081198516267e+003	-3.91796373294962e+001
3.55537072466633e+003	-3.91208764148125e+001
3.58010028371194e+003	-3.90620960771150e+001
3.60500185044337e+003	-3.90032965712442e+001
3.63007662126870e+003	-3.89444781488392e+001
3.65532580091766e+003	-3.88856410584298e+001
3.68075060249955e+003	-3.88267855454157e+001
3.70635224756154e+003	-3.87679118521311e+001
3.73213196614728e+003	-3.87090202178929e+001
