Freq.	Is(M1)
1.00000000000000e+003	-1.19071789551371e+002
1.00695555005672e+003	-1.18903590599831e+002
1.01395947979003e+003	-1.18736013207462e+002
1.02101212570719e+003	-1.18569060812407e+002
1.02811382665607e+003	-1.18402736753535e+002
1.03526492384138e+003	-1.18237044274412e+002
1.04246576084112e+003	-1.18071986519488e+002
1.04971668362307e+003	-1.17907566538403e+002
1.05701804056138e+003	-1.17743787284819e+002
1.06437018245336e+003	-1.17580651615462e+002
1.07177346253629e+003	-1.17418162294540e+002
1.07922823650443e+003	-1.17256321989811e+002
1.08673486252606e+003	-1.17095133276970e+002
1.09429370126074e+003	-1.16934598638582e+002
1.10190511587661e+003	-1.16774720464178e+002
1.10956947206785e+003	-1.16615501052674e+002
1.11728713807222e+003	-1.16456942610298e+002
1.12505848468881e+003	-1.16299047254127e+002
1.13288388529580e+003	-1.16141817011408e+002
1.14076371586843e+003	-1.15985253822224e+002
1.14869835499704e+003	-1.15829359535456e+002
1.15668818390529e+003	-1.15674135915435e+002
1.16473358646846e+003	-1.15519584639100e+002
1.17283494923188e+003	-1.15365707298272e+002
1.18099266142953e+003	-1.15212505398259e+002
1.18920711500272e+003	-1.15059980360646e+002
1.19747870461893e+003	-1.14908133526925e+002
1.20580782769076e+003	-1.14756966152713e+002
1.21419488439505e+003	-1.14606479414574e+002
1.22264027769207e+003	-1.14456674407194e+002
1.23114441334492e+003	-1.14307552145229e+002
1.23970769993899e+003	-1.14159113565451e+002
1.24833054890162e+003	-1.14011359527225e+002
1.25701337452183e+003	-1.13864290812297e+002
1.26575659397028e+003	-1.13717908126983e+002
1.27456062731927e+003	-1.13572212101207e+002
1.28342589756291e+003	-1.13427203291823e+002
1.29235283063750e+003	-1.13282882184132e+002
1.30134185544194e+003	-1.13139249186266e+002
1.31039340385837e+003	-1.12996304640709e+002
1.31950791077290e+003	-1.12854048816105e+002
1.32868581409652e+003	-1.12712481913734e+002
1.33792755478612e+003	-1.12571604064556e+002
1.34723357686570e+003	-1.12431415333671e+002
1.35660432744768e+003	-1.12291915719379e+002
1.36604025675440e+003	-1.12153105153561e+002
1.37554181813975e+003	-1.12014983505129e+002
1.38510946811093e+003	-1.11877550578731e+002
1.39474366635041e+003	-1.11740806115306e+002
1.40444487573800e+003	-1.11604749797487e+002
1.41421356237310e+003	-1.11469381242877e+002
1.42405019559708e+003	-1.11334700012580e+002
1.43395524801583e+003	-1.11200705609512e+002
1.44392919552250e+003	-1.11067397474983e+002
1.45397251732032e+003	-1.10934774998832e+002
1.46408569594563e+003	-1.10802837510667e+002
1.47426921729111e+003	-1.10671584288626e+002
1.48452357062906e+003	-1.10541014554629e+002
1.49484924863495e+003	-1.10411127479483e+002
1.50524674741107e+003	-1.10281922179938e+002
1.51571656651041e+003	-1.10153397724873e+002
1.52625920896057e+003	-1.10025553130290e+002
1.53687518128802e+003	-1.09898387365303e+002
1.54756499354240e+003	-1.09771899348141e+002
1.55832915932101e+003	-1.09646087952955e+002
1.56916819579351e+003	-1.09520952005180e+002
1.58008262372676e+003	-1.09396490287210e+002
1.59107296750985e+003	-1.09272701534412e+002
1.60213975517925e+003	-1.09149584441219e+002
1.61328351844426e+003	-1.09027137656738e+002
1.62450479271248e+003	-1.08905359789765e+002
1.63580411711557e+003	-1.08784249408984e+002
1.64718203453516e+003	-1.08663805042650e+002
1.65863909162889e+003	-1.08544025177816e+002
1.67017583885675e+003	-1.08424908266547e+002
1.68179283050744e+003	-1.08306452722080e+002
1.69349062472506e+003	-1.08188656919428e+002
1.70526978353592e+003	-1.08071519201470e+002
1.71713087287552e+003	-1.07955037873852e+002
1.72907446261574e+003	-1.07839211207769e+002
1.74110112659226e+003	-1.07724037442795e+002
1.75321144263208e+003	-1.07609514785118e+002
1.76540599258132e+003	-1.07495641410298e+002
1.77768536233315e+003	-1.07382415462385e+002
1.79005014185596e+003	-1.07269835055276e+002
1.80250092522167e+003	-1.07157898274532e+002
1.81503831063433e+003	-1.07046603175896e+002
1.82766290045881e+003	-1.06935947788665e+002
1.84037530124976e+003	-1.06825930114182e+002
1.85317612378075e+003	-1.06716548129019e+002
1.86606598307363e+003	-1.06607799783052e+002
1.87904549842804e+003	-1.06499683001171e+002
1.89211529345121e+003	-1.06392195685201e+002
1.90527599608789e+003	-1.06285335713989e+002
