time	V(OUT)*Id(M1)+V(N144)*Ig(M1)
0.000000000000000e+000	5.806863e-009
9.765624940649698e-012	-4.928119e-006
1.953124988129940e-011	-1.179831e-005
3.906249976259879e-011	-3.104534e-005
7.812499952519758e-011	-7.980199e-005
1.562499990503952e-010	-1.943148e-004
3.124999981007903e-010	-4.474251e-004
5.723630526765819e-010	-8.709447e-004
1.049312737112842e-009	-1.607675e-003
1.813782268498963e-009	-2.690602e-003
2.898805361534509e-009	-4.044156e-003
4.394904151097213e-009	-5.608377e-003
6.385920425667593e-009	-7.251375e-003
9.029053881539522e-009	-8.848011e-003
1.250664595622858e-008	-1.024527e-002
1.714895353864279e-008	-1.133817e-002
2.345340079129613e-008	-1.206959e-002
3.239000450757726e-008	-1.246654e-002
4.587549123365485e-008	-1.261936e-002
6.865259251000852e-008	-1.264137e-002
1.142067950627159e-007	-1.260401e-002
2.053152001681305e-007	-1.251306e-002
3.875320103789599e-007	-1.232333e-002
7.519656308006185e-007	-1.194225e-002
1.480832871643936e-006	-1.118031e-002
2.457395371643936e-006	2.861678e+001
2.958850456888925e-006	1.185768e+002
3.257562440997630e-006	2.351689e+002
3.449717256987360e-006	3.100122e+002
3.623150465865423e-006	3.261148e+002
3.788614160052823e-006	2.600761e+002
3.903896849514228e-006	1.517934e+002
3.964650011401403e-006	7.385408e+001
3.998318746114507e-006	3.442927e+001
4.026472732445747e-006	1.252216e+001
4.041381001163427e-006	5.424755e+000
4.048369929042503e-006	3.500921e+000
4.055849865440872e-006	2.431289e+000
4.061517526260108e-006	1.961168e+000
4.068212676902389e-006	1.627463e+000
4.075404407663676e-006	1.406734e+000
4.083803039379449e-006	1.253957e+000
4.093269229744455e-006	1.155795e+000
4.104380193681329e-006	1.094756e+000
4.119960803399240e-006	1.052194e+000
4.135011700365892e-006	1.032734e+000
4.165113494299196e-006	1.014091e+000
4.195287086308552e-006	1.001585e+000
4.255634270327265e-006	9.812683e-001
4.350888012344334e-006	9.529994e-001
4.541395496378470e-006	9.037822e-001
4.618985031931728e-006	8.865509e-001
4.774164103038246e-006	8.577391e-001
5.000000000000000e-006	8.214996e-001
5.022583589696176e-006	8.146514e-001
5.067750769088527e-006	8.089662e-001
5.158085127873229e-006	8.076581e-001
5.262225678172686e-006	8.078095e-001
5.470506778771601e-006	8.077222e-001
5.887068979969430e-006	8.077502e-001
6.720193382365089e-006	8.077412e-001
7.696755882365089e-006	8.077425e-001
8.673318382365089e-006	8.077421e-001
9.649880882365089e-006	8.077425e-001
1.062644338236509e-005	8.077422e-001
1.160300588236509e-005	8.077424e-001
1.257956838236509e-005	8.077422e-001
1.355613088236509e-005	8.077424e-001
1.453269338236509e-005	8.077422e-001
1.550925588236510e-005	8.077424e-001
1.648581838236510e-005	8.077422e-001
1.746238088236510e-005	8.077424e-001
1.843894338236510e-005	8.077422e-001
1.941550588236510e-005	8.077423e-001
2.039206838236510e-005	8.077422e-001
2.136863088236510e-005	8.077424e-001
2.234519338236510e-005	8.077423e-001
2.332175588236510e-005	8.077423e-001
2.429831838236510e-005	8.077422e-001
2.527488088236510e-005	8.077423e-001
2.625144338236510e-005	8.077422e-001
2.722800588236511e-005	8.077423e-001
2.820456838236511e-005	8.077422e-001
2.918113088236511e-005	8.077423e-001
3.015769338236511e-005	8.077422e-001
3.113425588236511e-005	8.077423e-001
3.211081838236511e-005	8.077423e-001
3.308738088236511e-005	8.077424e-001
3.406394338236511e-005	8.077424e-001
3.504050588236511e-005	8.077423e-001
3.601706838236511e-005	8.077422e-001
3.699363088236511e-005	8.077423e-001
3.797019338236511e-005	8.077422e-001
3.894675588236511e-005	8.077423e-001
3.992331838236511e-005	8.077423e-001
4.089988088236511e-005	8.077424e-001
4.187644338236512e-005	8.077423e-001
4.285300588236512e-005	8.077424e-001
4.382956838236512e-005	8.077423e-001
4.480613088236512e-005	8.077423e-001
4.578269338236512e-005	8.077423e-001
4.675925588236512e-005	8.077423e-001
4.773581838236512e-005	8.077422e-001
4.871238088236512e-005	8.077423e-001
4.968894338236512e-005	8.077423e-001
5.066550588236512e-005	8.077423e-001
5.164206838236512e-005	8.077423e-001
5.261863088236512e-005	8.077423e-001
5.359519338236513e-005	8.077427e-001
5.402343750000000e-005	8.077410e-001
5.414351176473025e-005	8.077414e-001
5.438366029419075e-005	8.077420e-001
5.451970294107901e-005	8.077419e-001
5.472791470622348e-005	8.077425e-001
5.500000000000000e-005	8.077455e-001
5.502720852937765e-005	8.051423e-001
5.508162558813296e-005	8.080125e-001
5.519045970564357e-005	8.249756e-001
5.540812794066478e-005	8.687582e-001
5.571707153001728e-005	9.572160e-001
5.614402904470638e-005	1.152286e+000
5.640230875587360e-005	1.354560e+000
5.654359069619837e-005	1.542566e+000
5.663188205125171e-005	1.729258e+000
5.669569412493580e-005	1.934382e+000
5.674318080222580e-005	2.169768e+000
5.678180333826255e-005	2.497068e+000
5.681742666644802e-005	3.048918e+000
5.686034062749817e-005	4.190633e+000
5.692435587188432e-005	6.650325e+000
5.698447643602949e-005	9.374009e+000
5.702136067606055e-005	1.104669e+001
5.706072660519134e-005	1.255693e+001
5.710129597608520e-005	1.393340e+001
5.717345301902560e-005	1.531393e+001
5.724723703157137e-005	1.489577e+001
5.737784551505680e-005	1.104681e+001
5.756323061769074e-005	4.243847e+000
5.777927878805111e-005	9.507148e-001
5.792269063439453e-005	4.594635e-001
5.809687729486508e-005	2.222858e-002
5.823610910267717e-005	1.993631e-004
5.838897707771629e-005	1.537336e-002
5.859166741000007e-005	1.018292e-002
5.883353745370440e-005	1.213421e-002
5.919631499387967e-005	1.185070e-002
5.952402531808174e-005	1.242050e-002
6.000000000000000e-005	3.321409e-002
6.000118897446831e-005	2.003434e-002
6.000356692340492e-005	1.062670e-002
6.000734973646746e-005	6.643587e-003
6.000998206206675e-005	4.743987e-003
6.001247543826129e-005	3.551796e-003
6.001522393461314e-005	2.640794e-003
6.001816970583635e-005	1.947306e-003
6.002094517115448e-005	1.491736e-003
6.002364330166014e-005	1.177600e-003
6.002648712634566e-005	9.433774e-004
6.002921125255685e-005	7.766827e-004
6.003212538937892e-005	6.476692e-004
6.003482536712275e-005	5.550174e-004
6.003782301326528e-005	4.781160e-004
6.004047161878337e-005	4.224196e-004
6.004360759927573e-005	3.710825e-004
6.004612722953051e-005	3.354187e-004
6.004948006635841e-005	2.985248e-004
6.005216526861394e-005	2.714089e-004
6.005565271007661e-005	2.435124e-004
6.005869295183940e-005	2.204443e-004
6.006231861181748e-005	1.982631e-004
6.006586028275025e-005	1.775073e-004
6.006968015347637e-005	1.590335e-004
6.007363010097542e-005	1.409848e-004
6.007772502115346e-005	1.253808e-004
6.008196860582717e-005	1.103726e-004
6.008628391345596e-005	9.770147e-005
6.009096912429542e-005	8.505374e-005
6.009530221530254e-005	7.507465e-005
6.009999589785402e-005	6.527720e-005
6.010449369174625e-005	5.745927e-005
6.010941910616739e-005	4.954723e-005
6.011429872730827e-005	4.322343e-005
6.011970645571973e-005	3.669606e-005
6.012520613206089e-005	3.151669e-005
6.013141269636590e-005	2.610260e-005
6.013782286423188e-005	2.189523e-005
6.014523047765384e-005	1.748067e-005
6.015292803212717e-005	1.417950e-005
6.016206374054599e-005	1.074018e-005
6.017154678183916e-005	8.322787e-006
6.018311944167975e-005	5.849190e-006
6.019505832331435e-005	4.268884e-006
6.021001424253994e-005	2.677516e-006
6.022647511905622e-005	1.785573e-006
6.024793950483879e-005	8.855576e-007
6.027408401066518e-005	5.262351e-007
6.031222555478982e-005	1.284984e-007
6.036424508140875e-005	9.244933e-008
6.045485917917021e-005	-1.498628e-008
6.060467392181112e-005	2.413774e-008
6.090430340709293e-005	-3.412817e-009
9.949012426593958e-005	-1.065635e-009
1.000000000000000e-004	-4.299577e-005
1.000011217277498e-004	-1.583689e-003
1.000033651832494e-004	-4.349301e-003
1.000058532986782e-004	-6.766443e-003
1.000081844118323e-004	-8.371249e-003
1.000113450977108e-004	-9.830714e-003
1.000154153878588e-004	-1.099190e-002
1.000212268576285e-004	-1.186496e-002
1.000290428440614e-004	-1.236338e-002
1.000408593428250e-004	-1.258685e-002
1.000594669135746e-004	-1.264173e-002
1.000955327824769e-004	-1.262070e-002
1.001676645202816e-004	-1.255134e-002
1.003119279958909e-004	-1.240235e-002
1.006004549471096e-004	-1.210065e-002
1.011775088495469e-004	-1.149741e-002
1.021540713495469e-004	4.400675e+001
1.031306338495469e-004	2.150080e+002
1.035075628880354e-004	3.079342e+002
1.037270755301652e-004	2.849021e+002
1.038674243248983e-004	1.832829e+002
1.039433794902746e-004	9.322586e+001
1.039839947307951e-004	4.289222e+001
1.040106637346079e-004	1.924297e+001
