time	V(out)
0.000000000000000e+000	4.617194e+001
9.765624940649698e-012	4.617194e+001
1.953124988129940e-011	4.617194e+001
3.906249976259879e-011	4.617194e+001
7.812499952519758e-011	4.617194e+001
1.562499990503952e-010	4.617194e+001
3.124999981007903e-010	4.617194e+001
5.723630526765819e-010	4.617194e+001
1.049312737112842e-009	4.617194e+001
1.813782268498963e-009	4.617195e+001
2.898805361534509e-009	4.617195e+001
4.394904151097213e-009	4.617196e+001
6.385920425667593e-009	4.617196e+001
9.029053881539522e-009	4.617197e+001
1.250664595622858e-008	4.617198e+001
1.714895353864279e-008	4.617199e+001
2.345340079129613e-008	4.617200e+001
3.239000450757726e-008	4.617202e+001
4.587549123365485e-008	4.617203e+001
6.865259251000852e-008	4.617205e+001
1.142067950627159e-007	4.617206e+001
2.053152001681305e-007	4.617207e+001
3.875320103789599e-007	4.617207e+001
7.519656308006185e-007	4.617207e+001
1.480832871643936e-006	4.617207e+001
2.457395371643936e-006	4.587059e+001
2.958850456888925e-006	4.460472e+001
3.257562440997630e-006	4.186716e+001
3.449717256987360e-006	3.754592e+001
3.623150465865423e-006	3.024962e+001
3.788614160052823e-006	1.977471e+001
3.903896849514228e-006	1.048544e+001
3.964650011401403e-006	5.221811e+000
3.998318746114507e-006	2.702288e+000
4.026472732445747e-006	1.132608e+000
4.041381001163427e-006	5.313371e-001
4.048369929042503e-006	3.674506e-001
4.055849865440872e-006	2.858345e-001
4.061517526260108e-006	2.495217e-001
4.068212676902389e-006	2.233858e-001
4.075404407663676e-006	2.055893e-001
4.083803039379449e-006	1.929317e-001
4.093269229744455e-006	1.845560e-001
4.104380193681329e-006	1.791320e-001
4.119960803399240e-006	1.750748e-001
4.135011700365892e-006	1.729543e-001
4.165113494299196e-006	1.704236e-001
4.195287086308552e-006	1.684401e-001
4.255634270327265e-006	1.649982e-001
4.350888012344334e-006	1.601943e-001
4.541395496378470e-006	1.518162e-001
4.618985031931728e-006	1.488778e-001
4.774164103038246e-006	1.439549e-001
5.000000000000000e-006	1.378259e-001
5.022583589696176e-006	1.374673e-001
5.067750769088527e-006	1.372107e-001
5.158085127873229e-006	1.371632e-001
5.262225678172686e-006	1.371679e-001
5.470506778771601e-006	1.371654e-001
5.887068979969430e-006	1.371662e-001
6.720193382365089e-006	1.371659e-001
7.696755882365089e-006	1.371659e-001
8.673318382365089e-006	1.371659e-001
9.649880882365089e-006	1.371659e-001
1.062644338236509e-005	1.371659e-001
1.160300588236509e-005	1.371659e-001
1.257956838236509e-005	1.371659e-001
1.355613088236509e-005	1.371659e-001
1.453269338236509e-005	1.371659e-001
1.550925588236510e-005	1.371659e-001
1.648581838236510e-005	1.371659e-001
1.746238088236510e-005	1.371659e-001
1.843894338236510e-005	1.371659e-001
1.941550588236510e-005	1.371659e-001
2.039206838236510e-005	1.371659e-001
2.136863088236510e-005	1.371659e-001
2.234519338236510e-005	1.371659e-001
2.332175588236510e-005	1.371659e-001
2.429831838236510e-005	1.371659e-001
2.527488088236510e-005	1.371659e-001
2.625144338236510e-005	1.371659e-001
2.722800588236511e-005	1.371659e-001
2.820456838236511e-005	1.371659e-001
2.918113088236511e-005	1.371659e-001
3.015769338236511e-005	1.371659e-001
