time	V(receiver)
0.000000000000000e+000	1.648115e+000
4.882812470324849e-012	1.648115e+000
9.765624940649698e-012	1.648115e+000
1.098632805823091e-011	1.648115e+000
1.010986328058231e-009	1.648115e+000
2.010986328058231e-009	1.648115e+000
4.010986328058231e-009	1.648115e+000
8.010986328058231e-009	1.648115e+000
1.601098632805823e-008	1.648115e+000
3.201098632805823e-008	1.648106e+000
6.401098632805824e-008	1.647997e+000
1.280109863280582e-007	1.647077e+000
2.560109863280583e-007	1.642827e+000
5.120109863280583e-007	1.632562e+000
8.411500156847340e-007	1.626103e+000
1.242450545217472e-006	1.630279e+000
1.438683646304396e-006	1.636497e+000
1.602028632422260e-006	1.643265e+000
1.767347176508572e-006	1.650094e+000
1.934026690819526e-006	1.656442e+000
2.131115530068462e-006	1.663073e+000
2.380323437320394e-006	1.669099e+000
2.692296050853284e-006	1.672463e+000
2.935921555437038e-006	1.671865e+000
3.131355013290085e-006	1.668841e+000
3.339992965864483e-006	1.663454e+000
3.528386789794733e-006	1.657461e+000
3.786369301840441e-006	1.648370e+000
4.049127342190809e-006	1.639358e+000
4.384208900792753e-006	1.630094e+000
4.628536460022509e-006	1.626279e+000
5.000000000000000e-006	1.624396e+000
5.037146353997749e-006	1.624885e+000
5.111439061993248e-006	1.626035e+000
5.260024477984245e-006	1.628863e+000
5.441925865333366e-006	1.633192e+000
5.607525089157131e-006	1.638115e+000
5.769047565946657e-006	1.643559e+000
5.931512210043624e-006	1.649083e+000
6.137924408480943e-006	1.655758e+000
6.386968954108423e-006	1.662502e+000
6.717580004467920e-006	1.668342e+000
6.943634837855375e-006	1.669860e+000
7.133736645329713e-006	1.669061e+000
7.329964648466639e-006	1.666243e+000
7.556978581553738e-006	1.661110e+000
7.818806355105494e-006	1.653728e+000
8.116881404246188e-006	1.644681e+000
8.462258533843818e-006	1.635899e+000
8.921830649615992e-006	1.628823e+000
9.172235055562404e-006	1.627969e+000
9.346815897162247e-006	1.629432e+000
9.505874676956540e-006	1.632013e+000
9.666798783064302e-006	1.635433e+000
9.829554225660173e-006	1.639651e+000
1.000150529824347e-005	1.644671e+000
1.023618495279144e-005	1.651503e+000
1.051337285475997e-005	1.658787e+000
1.075989670819504e-005	1.663924e+000
1.096266143605486e-005	1.666442e+000
1.117704388202020e-005	1.667192e+000
1.138778590523014e-005	1.666028e+000
1.165192866158051e-005	1.662076e+000
1.193047108670641e-005	1.655834e+000
1.226894731097275e-005	1.647045e+000
1.266154653238244e-005	1.637506e+000
1.297877005069534e-005	1.631899e+000
1.318578859452984e-005	1.630031e+000
1.335903070041162e-005	1.629853e+000
1.351941023712337e-005	1.630897e+000
1.368004349344680e-005	1.632984e+000
1.384171882374523e-005	1.635876e+000
1.402746767792373e-005	1.640052e+000
1.426830142894464e-005	1.646224e+000
1.458002305827061e-005	1.654183e+000
1.480430349247577e-005	1.659262e+000
1.500776239143790e-005	1.662786e+000
1.522151552087419e-005	1.664843e+000
1.547155345022390e-005	1.665036e+000
1.574867421752437e-005	1.662632e+000
1.606712648171214e-005	1.657009e+000
1.643574325407069e-005	1.648592e+000
1.685456007913625e-005	1.638932e+000
1.708959730079845e-005	1.634479e+000
1.726938281322023e-005	1.632274e+000
1.743302238180590e-005	1.631304e+000
