time	V(receiver)

%Step Information: Cload=100n  (Run: 3/5)
0.000000000000000e+000	1.648116e+000
2.929687570081712e-011	1.648116e+000
1.029296875700817e-009	1.648116e+000
1.029297354400620e-009	1.648116e+000
1.029297831237779e-009	1.648116e+000
1.029297950447068e-009	1.648116e+000
1.029297980249391e-009	1.648116e+000
1.029298457086549e-009	1.648116e+000
1.029298576295838e-009	1.648116e+000
1.029298606098161e-009	1.648116e+000
1.029299082935319e-009	1.648116e+000
1.029299202144608e-009	1.648116e+000
1.029299231946931e-009	1.648116e+000
1.154299232946931e-009	1.648116e+000
2.154299232946931e-009	1.648116e+000
2.154299711646734e-009	1.648116e+000
2.279299711646734e-009	1.648116e+000
2.279300203385054e-009	1.648116e+000
3.279300203385054e-009	1.648116e+000
3.279300680222212e-009	1.648116e+000
3.279300695123373e-009	1.648116e+000
3.279300696123373e-009	1.648116e+000
4.279300696123373e-009	1.648116e+000
4.310550725925695e-009	1.648116e+000
5.310550725925695e-009	1.648116e+000
5.435550725925696e-009	1.648116e+000
5.435550848860276e-009	1.648116e+000
6.435550848860275e-009	1.648116e+000
6.435551327560079e-009	1.648116e+000
6.435551804397237e-009	1.648116e+000
6.435551923606526e-009	1.648116e+000
6.435551953408849e-009	1.648116e+000
6.451176954408849e-009	1.648116e+000
7.451176954408849e-009	1.648116e+000
7.576176954408848e-009	1.648116e+000
7.826176954408849e-009	1.648116e+000
8.326176954408848e-009	1.648116e+000
9.326176954408849e-009	1.648116e+000
1.132617695440885e-008	1.648116e+000
1.532617695440885e-008	1.648115e+000
2.332617695440885e-008	1.648114e+000
3.932617695440885e-008	1.648101e+000
7.132617695440884e-008	1.647968e+000
1.353261769544089e-007	1.646959e+000
2.633261769544088e-007	1.642571e+000
5.193261769544089e-007	1.630856e+000
8.122949269544088e-007	1.616549e+000
1.105263676954409e-006	1.600548e+000
1.398232426954409e-006	1.582903e+000
1.691201176954409e-006	1.563977e+000
1.984169926954409e-006	1.542467e+000
2.277138676954409e-006	1.518616e+000
2.570107426954409e-006	1.492259e+000
2.863076176954409e-006	1.462403e+000
3.156044926954408e-006	1.429720e+000
3.449013676954408e-006	1.393694e+000
3.741982426954408e-006	1.353995e+000
4.034951176954408e-006	1.311329e+000
4.327919926954408e-006	1.264777e+000
4.620888676954408e-006	1.214862e+000
4.707031250000001e-006	1.199594e+000
4.827714853908816e-006	1.176585e+000
5.000000000000000e-006	1.141179e+000
5.017228514609119e-006	1.139301e+000
5.051685543827356e-006	1.143033e+000
5.120599602263830e-006	1.176018e+000
5.241863548950025e-006	1.245729e+000
5.356216011899251e-006	1.252728e+000
5.459739157859696e-006	1.190168e+000
5.538757201215471e-006	1.144413e+000
5.636882357699192e-006	1.146199e+000
5.736971041610981e-006	1.177287e+000
5.826683540425058e-006	1.169492e+000
5.928503068249394e-006	1.106373e+000
6.004369268009868e-006	1.066315e+000
6.104101617973322e-006	1.067536e+000
6.205327842347158e-006	1.094932e+000
6.296977022995497e-006	1.087658e+000
6.400365232695568e-006	1.031535e+000
6.478164101249416e-006	9.983489e-001
6.594055149522675e-006	1.003512e+000
6.699994361965560e-006	1.022778e+000
6.801280050810752e-006	1.005085e+000
6.909102778200656e-006	9.523458e-001
6.991961195205689e-006	9.312801e-001
7.102749752947280e-006	9.480528e-001
7.192602867538687e-006	9.579929e-001
7.313431307551372e-006	9.277221e-001
7.425202146677468e-006	8.865241e-001
7.527431538540212e-006	8.792376e-001
7.637858695276922e-006	8.977743e-001
7.728926838339329e-006	8.937522e-001
7.844881721546049e-006	8.529268e-001
