time	V(receiver)

%Step Information: Cload=10µ  (Run: 5/5)
0.000000000000000e+000	1.648116e+000
2.929687395458736e-011	1.648116e+000
1.029296873954587e-009	1.648116e+000
2.085414053464471e-009	1.648116e+000
4.197648412484238e-009	1.648116e+000
8.422117130523772e-009	1.648116e+000
1.687105456660284e-008	1.648115e+000
3.376892943876097e-008	1.648104e+000
6.756467918307724e-008	1.647973e+000
1.351561786717098e-007	1.646913e+000
2.703391776489748e-007	1.642286e+000
5.407051756035050e-007	1.630130e+000
8.336739256035050e-007	1.616543e+000
1.126642675603505e-006	1.602141e+000
1.419611425603505e-006	1.587444e+000
1.712580175603505e-006	1.573136e+000
2.005548925603505e-006	1.558264e+000
2.298517675603505e-006	1.543449e+000
2.591486425603505e-006	1.528721e+000
2.884455175603504e-006	1.513305e+000
3.177423925603504e-006	1.497994e+000
3.470392675603504e-006	1.482179e+000
3.763361425603504e-006	1.465403e+000
4.056330175603505e-006	1.448026e+000
4.349298925603504e-006	1.428471e+000
4.642267675603504e-006	1.406504e+000
4.707031250000001e-006	1.401300e+000
4.836558398792993e-006	1.389178e+000
5.000000000000000e-006	1.371160e+000
5.016344160120701e-006	1.370761e+000
5.049032480362103e-006	1.377393e+000
5.114409120844906e-006	1.419576e+000
5.235558256888800e-006	1.525846e+000
5.339959948502255e-006	1.568511e+000
5.455745925716792e-006	1.529007e+000
5.556283366223948e-006	1.487806e+000
5.667322880391554e-006	1.506399e+000
5.780476633008541e-006	1.551212e+000
5.886839670463719e-006	1.539474e+000
6.002555200222476e-006	1.477154e+000
6.093998080759665e-006	1.461006e+000
6.212411259547427e-006	1.505396e+000
6.304174139822427e-006	1.525410e+000
6.432499255874256e-006	1.486492e+000
6.566307995648691e-006	1.445883e+000
6.690529582337626e-006	1.465670e+000
6.826385237028744e-006	1.492800e+000
6.967760334971511e-006	1.460977e+000
7.108404567469312e-006	1.430920e+000
7.252683532397834e-006	1.457650e+000
7.387657118346945e-006	1.473776e+000
7.530032148410789e-006	1.435753e+000
7.651933638460102e-006	1.417429e+000
7.793293539120656e-006	1.451116e+000
7.913093952739759e-006	1.464614e+000
8.053507347572483e-006	1.427944e+000
8.171642165311917e-006	1.412127e+000
8.313013159764534e-006	1.444866e+000
8.435277180208066e-006	1.458954e+000
8.578397643559944e-006	1.426457e+000
8.700659639775336e-006	1.413818e+000
8.846096985794761e-006	1.446539e+000
8.970701213875382e-006	1.458489e+000
9.118398452847050e-006	1.427820e+000
9.241000870436512e-006	1.420667e+000
9.390423065187758e-006	1.455050e+000
9.513781921886863e-006	1.463568e+000
9.665686239626564e-006	1.434470e+000
9.788854041986139e-006	1.433316e+000
9.941424694250950e-006	1.468144e+000
1.006896838618155e-005	1.472628e+000
1.022387257022883e-005	1.447771e+000
1.035849626878843e-005	1.454617e+000
1.051367026983085e-005	1.485063e+000
1.066086195093412e-005	1.481833e+000
1.082190700746626e-005	1.467992e+000
1.099631157024923e-005	1.489136e+000
1.117233000735196e-005	1.505020e+000
1.136499483455737e-005	1.491921e+000
1.153195486847775e-005	1.501375e+000
1.171838279060802e-005	1.526079e+000
1.190834465876284e-005	1.521124e+000
1.210303612321015e-005	1.522228e+000
1.231506088908449e-005	1.547021e+000
1.250541573302383e-005	1.546882e+000
1.271077998563059e-005	1.543314e+000
1.299640644988838e-005	1.564301e+000
1.325812924946158e-005	1.563348e+000
