time	V(receiver)

%Step Information: Cload=1n  (Run: 1/5)
0.000000000000000e+000	1.648116e+000
2.929687395458736e-011	1.648116e+000
1.029296873954587e-009	1.648116e+000
2.085414880886196e-009	1.648116e+000
4.197650894749413e-009	1.648116e+000
8.422122922475848e-009	1.648116e+000
1.687106697792871e-008	1.648115e+000
3.376895508883445e-008	1.648104e+000
6.756473131064593e-008	1.647972e+000
1.351562837542689e-007	1.646828e+000
2.703393886415148e-007	1.639977e+000
5.407055984160066e-007	1.610241e+000
8.336743484160065e-007	1.550475e+000
1.126643098416007e-006	1.456576e+000
1.419611848416006e-006	1.337650e+000
1.712580598416006e-006	1.213976e+000
2.005549348416006e-006	1.104514e+000
2.298518098416006e-006	1.018177e+000
2.591486848416006e-006	9.525102e-001
2.884455598416006e-006	9.009683e-001
3.177424348416006e-006	8.577722e-001
3.470393098416006e-006	8.185216e-001
3.763361848416006e-006	7.823864e-001
4.056330598416006e-006	7.513188e-001
4.349299348416006e-006	7.271093e-001
4.642268098416006e-006	7.086816e-001
4.707031250000001e-006	7.053223e-001
4.836557553167990e-006	6.993254e-001
5.000000000000000e-006	6.921592e-001
5.016344244683201e-006	6.920027e-001
5.049032734049603e-006	6.927667e-001
5.114409712782407e-006	6.962833e-001
5.245163670248015e-006	7.004428e-001
5.406767642388735e-006	7.011288e-001
5.611040438997118e-006	7.145953e-001
5.823449641938739e-006	7.412945e-001
6.002605285351816e-006	7.514675e-001
6.201609466531405e-006	7.552570e-001
6.448632408972132e-006	7.579870e-001
6.620491881810083e-006	7.366422e-001
6.801454872461582e-006	7.070901e-001
6.994699426289445e-006	6.919800e-001
7.183697059373682e-006	6.803516e-001
7.383662199746916e-006	6.701407e-001
7.676630949746916e-006	6.627729e-001
7.969599699746916e-006	6.574051e-001
8.262568449746916e-006	6.544535e-001
8.555537199746916e-006	6.534845e-001
8.746885437673620e-006	6.527504e-001
8.907712205242755e-006	6.531287e-001
9.074972396760997e-006	6.541450e-001
9.320624881473894e-006	6.546033e-001
9.613593631473894e-006	6.556832e-001
9.847593592155739e-006	6.564777e-001
1.005375163155493e-005	6.561481e-001
1.026749814057362e-005	6.561660e-001
1.051813710729395e-005	6.561415e-001
1.079614495548295e-005	6.552408e-001
1.108911370548295e-005	6.550065e-001
1.138208245548295e-005	6.547517e-001
1.167505120548295e-005	6.546268e-001
1.196801995548295e-005	6.552600e-001
1.226098870548295e-005	6.553389e-001
1.247725030717307e-005	6.557727e-001
1.264856402335203e-005	6.564535e-001
