time	V(receiver)

%Step Information: Rload=100  (Run: 2/4)
0.000000000000000e+000	1.648116e+000
2.929698376172097e-013	1.648116e+000
1.000292969837617e-009	1.648116e+000
2.000292969837617e-009	1.648116e+000
4.000292969837617e-009	1.648116e+000
8.000292969837616e-009	1.648116e+000
1.600029296983762e-008	1.648115e+000
3.200029296983762e-008	1.648106e+000
6.400029296983763e-008	1.647997e+000
1.280002929698376e-007	1.647077e+000
2.560002929698377e-007	1.642825e+000
5.120002929698376e-007	1.631011e+000
8.049690429698375e-007	1.616139e+000
1.097937792969838e-006	1.598953e+000
1.390906542969837e-006	1.579103e+000
1.683875292969837e-006	1.556702e+000
1.976844042969837e-006	1.530155e+000
2.269812792969837e-006	1.507894e+000
2.562781542969837e-006	1.512951e+000
2.781024600092237e-006	1.548390e+000
2.966585184346866e-006	1.592515e+000
3.161039318923148e-006	1.634683e+000
3.405567043888622e-006	1.679287e+000
3.689807269756050e-006	1.713659e+000
3.982776019756050e-006	1.719801e+000
4.275744769756049e-006	1.702906e+000
4.482502721687684e-006	1.677085e+000
4.650288174840782e-006	1.645713e+000
4.825804668154216e-006	1.611305e+000
5.000000000000000e-006	1.580613e+000
5.017419533184579e-006	1.576952e+000
5.052258599553735e-006	1.569047e+000
5.121936732292049e-006	1.552753e+000
5.261292997768677e-006	1.525746e+000
5.540005528721932e-006	1.488342e+000
5.832974278721932e-006	1.463747e+000
6.125943028721932e-006	1.459515e+000
6.418911778721932e-006	1.475828e+000
6.599664016897053e-006	1.491974e+000
6.761743774581820e-006	1.511561e+000
6.926177591921597e-006	1.536903e+000
7.137901385298405e-006	1.568314e+000
7.385158227906787e-006	1.600299e+000
7.678126977906788e-006	1.631745e+000
7.971095727906788e-006	1.647682e+000
8.264064477906788e-006	1.648331e+000
8.456816384880164e-006	1.641816e+000
8.622294019309652e-006	1.628513e+000
8.791659026911116e-006	1.610369e+000
8.998261229707675e-006	1.588326e+000
9.245451982862930e-006	1.560064e+000
9.536681250652544e-006	1.529005e+000
9.829650000652544e-006	1.507642e+000
1.012261875065254e-005	1.495512e+000
1.037092206418034e-005	1.494574e+000
1.054300961338474e-005	1.500695e+000
1.070534123274342e-005	1.508251e+000
1.086932792131628e-005	1.517958e+000
1.108840695025742e-005	1.536347e+000
1.133718586373461e-005	1.557323e+000
1.163015461373461e-005	1.579090e+000
1.192312336373461e-005	1.597184e+000
1.221609211373461e-005	1.606426e+000
1.240527684055910e-005	1.607609e+000
1.257048895048288e-005	1.606544e+000
1.273843179587051e-005	1.600924e+000
1.295709338973641e-005	1.588797e+000
1.320698728978973e-005	1.574137e+000
1.349995603978973e-005	1.554905e+000
1.379292478978973e-005	1.536783e+000
1.408589353978973e-005	1.524050e+000
1.431781435871758e-005	1.516498e+000
1.448730379567079e-005	1.514079e+000
1.465006712332151e-005	1.515992e+000
1.481384753724234e-005	1.519051e+000
1.503970941544083e-005	1.524917e+000
1.529053553628594e-005	1.536019e+000
1.558350428628594e-005	1.550274e+000
1.587647303628594e-005	1.563687e+000
1.616944178628594e-005	1.576412e+000
1.635608670637599e-005	1.581232e+000
1.652147672967294e-005	1.583167e+000
1.668953697118999e-005	1.584589e+000
1.692035683640078e-005	1.582619e+000
1.717427506243284e-005	1.576010e+000
1.746724381243284e-005	1.566425e+000
1.776021256243284e-005	1.554360e+000
1.805318131243285e-005	1.542147e+000
1.826835346769781e-005	1.535259e+000
1.843522287770137e-005	1.530101e+000
1.860790576091424e-005	1.525833e+000
1.877246702666830e-005	1.524821e+000
1.901094754268997e-005	1.525478e+000
1.926397389257181e-005	1.528343e+000
1.955694264257181e-005	1.536147e+000
1.984991139257181e-005	1.545488e+000
2.010196158953918e-005	1.554083e+000
2.028087669774077e-005	1.560846e+000
2.046931477386754e-005	1.566230e+000
2.063934046492825e-005	1.569367e+000
2.088628031954174e-005	1.573025e+000
2.114000551349158e-005	1.573269e+000
2.143297426349158e-005	1.569220e+000
2.172594301349158e-005	1.562829e+000
2.201891176349158e-005	1.553476e+000
2.221871578755151e-005	1.546653e+000
2.238320794385704e-005	1.542016e+000
2.255259444751283e-005	1.536915e+000
2.272624822246917e-005	1.532150e+000
2.296534824786783e-005	1.528907e+000
2.322747482341349e-005	1.527857e+000
2.352044357341349e-005	1.529804e+000
2.381341232341349e-005	1.535841e+000
2.404201794403274e-005	1.541598e+000
2.421622480052057e-005	1.546553e+000
2.439893946483884e-005	1.552912e+000
2.457806873407038e-005	1.558216e+000
2.482464834776761e-005	1.563415e+000
2.508686385624063e-005	1.567551e+000
2.537983260624064e-005	1.568404e+000
2.567280135624064e-005	1.565385e+000
2.596577010624064e-005	1.560074e+000
2.615813857890072e-005	1.554572e+000
