time	V(receiver)

%Step Information: Rload=10K  (Run: 4/4)
0.000000000000000e+000	1.648116e+000
2.929687248354185e-008	1.648086e+000
5.859374496708369e-008	1.647987e+000
1.171874899341674e-007	1.647264e+000
2.343749798683348e-007	1.643711e+000
4.687499597366696e-007	1.633278e+000
7.617187097366695e-007	1.619096e+000
1.054687459736669e-006	1.603486e+000
1.347656209736669e-006	1.586050e+000
1.640624959736669e-006	1.567435e+000
1.933593709736669e-006	1.546475e+000
2.226562459736669e-006	1.522996e+000
2.519531209736669e-006	1.497258e+000
2.812499959736669e-006	1.468122e+000
3.105468709736669e-006	1.436073e+000
3.398437459736669e-006	1.401049e+000
3.691406209736669e-006	1.362434e+000
3.984374959736669e-006	1.321159e+000
4.277343709736669e-006	1.276891e+000
4.570312459736669e-006	1.229851e+000
4.707031250000001e-006	1.207713e+000
4.726562419473336e-006	1.204555e+000
4.765624758420008e-006	1.198022e+000
4.843749436350214e-006	1.184470e+000
4.845749436350213e-006	1.184104e+000
4.859749436350213e-006	1.181523e+000
4.875749436350213e-006	1.178540e+000
4.907749436350213e-006	1.172531e+000
4.943498872700425e-006	1.165796e+000
4.976984217805947e-006	1.159547e+000
5.000000000000000e-006	1.155317e+000
5.001395941721529e-006	1.155064e+000
5.004187825164588e-006	1.154567e+000
5.009771592050704e-006	1.153650e+000
5.020939125822938e-006	1.152412e+000
5.043274193367405e-006	1.153802e+000
5.087944328456339e-006	1.173151e+000
5.177284598634207e-006	1.242743e+000
5.255906663323921e-006	1.296593e+000
5.336956460033767e-006	1.298827e+000
5.430977998327931e-006	1.239386e+000
5.513344489590381e-006	1.191912e+000
5.605252041462879e-006	1.195710e+000
5.701151294812407e-006	1.235921e+000
5.784629230102101e-006	1.240745e+000
5.888286513243601e-006	1.187370e+000
5.994728611220212e-006	1.136066e+000
6.097319382795763e-006	1.142542e+000
6.200186749090294e-006	1.175978e+000
6.287919270114479e-006	1.168076e+000
6.395949707543128e-006	1.109701e+000
6.486816654188242e-006	1.078137e+000
6.593189318331230e-006	1.094837e+000
6.695883120907551e-006	1.119775e+000
6.790202927344969e-006	1.101718e+000
6.893551447212262e-006	1.049105e+000
6.978291063717426e-006	1.029826e+000
7.086533573941216e-006	1.051718e+000
7.194605077571151e-006	1.067226e+000
7.304043385020395e-006	1.037779e+000
7.403759199510896e-006	9.966539e-001
7.491912405366964e-006	9.912571e-001
7.601002316018710e-006	1.017931e+000
7.698697893441560e-006	1.022934e+000
7.799024430306519e-006	9.909106e-001
7.902012192280458e-006	9.575459e-001
7.995335405895627e-006	9.608274e-001
8.097472956263807e-006	9.856866e-001
8.178871272617572e-006	9.860376e-001
8.276017495877268e-006	9.548522e-001
8.375803318982796e-006	9.262233e-001
8.465021991589772e-006	9.300121e-001
8.563491385118291e-006	9.531774e-001
8.639574447909537e-006	9.557537e-001
8.726393280128100e-006	9.315199e-001
8.818467051030154e-006	9.022418e-001
8.896135768381588e-006	8.989631e-001
8.992270008175836e-006	9.170615e-001
9.100229721187801e-006	9.262271e-001
9.184449575457839e-006	9.092991e-001
9.274211204093251e-006	8.808393e-001
9.338606733777638e-006	8.740538e-001
9.418796342836194e-006	8.871006e-001
9.502772922430365e-006	9.050246e-001
9.563522609256688e-006	9.057711e-001
9.634329475421084e-006	8.884726e-001
9.709519815446028e-006	8.643290e-001
9.762739802226047e-006	8.554128e-001
9.824731277937298e-006	8.605551e-001
9.895020791697075e-006	8.768137e-001
9.948005467616474e-006	8.874090e-001
9.995199576848212e-006	8.878804e-001
1.005398926285678e-005	8.757110e-001
1.011530227259995e-005	8.561825e-001
1.015605172493614e-005	8.448972e-001
1.019744754645251e-005	8.404967e-001
1.025527293464688e-005	8.456333e-001
1.030888000498201e-005	8.574110e-001
1.034998210504391e-005	8.675124e-001
1.038017120384571e-005	8.725812e-001
1.040979027682171e-005	8.737088e-001
1.044014616969016e-005	8.706745e-001
1.046960043706310e-005	8.641150e-001
1.050068794162950e-005	8.546593e-001
1.052183403351975e-005	8.475603e-001
1.054079020555028e-005	8.413941e-001
1.056082801787265e-005	8.358034e-001
1.058444112095439e-005	8.308964e-001
1.060618854753179e-005	8.284231e-001
1.063133415988847e-005	8.282763e-001
1.065847239830012e-005	8.311237e-001
1.069599397443840e-005	8.384575e-001
1.075186177975932e-005	8.505759e-001
1.080349423113538e-005	8.572912e-001
1.086045206274854e-005	8.551238e-001
1.091466452793380e-005	8.447850e-001
1.099027922952985e-005	8.274194e-001
1.104213148549418e-005	8.213642e-001
1.110157890074852e-005	8.248216e-001
1.116681217673894e-005	8.352671e-001
1.124185971268290e-005	8.440596e-001
1.131503002673694e-005	8.408068e-001
1.139760899065975e-005	8.277044e-001
1.150470825300206e-005	8.171349e-001
1.159771314646162e-005	8.224013e-001
1.169413294369600e-005	8.328534e-001
1.178105909376307e-005	8.315291e-001
1.189770040341334e-005	8.178938e-001
1.201852427992544e-005	8.127357e-001
1.214280779767328e-005	8.210548e-001
1.226944996295930e-005	8.241317e-001
1.240169636679121e-005	8.142279e-001
1.254000504055477e-005	8.096359e-001
1.268972494285135e-005	8.174112e-001
1.284251941390138e-005	8.182058e-001
1.302589778265670e-005	8.098258e-001
1.320965018838917e-005	8.122994e-001
1.340928868876173e-005	8.171657e-001
1.361037830889188e-005	8.122055e-001
1.382358584847452e-005	8.136116e-001
1.404537398009838e-005	8.195041e-001
1.428944766894954e-005	8.172053e-001
1.454204688059158e-005	8.205919e-001
1.479449602701040e-005	8.268530e-001
1.508746477701040e-005	8.272932e-001
1.538043352701040e-005	8.345548e-001
