time	V(receiver)
0.000000000000000e+000	1.648115e+000
9.999999717180685e-010	1.648115e+000
1.999999943436137e-009	1.648115e+000
3.999999886872274e-009	1.648115e+000
1.599999954748910e-008	1.648115e+000
3.199999909497819e-008	1.648115e+000
6.399999818995639e-008	1.648115e+000
2.559999927598256e-007	1.648116e+000
9.999599999999904e-001	1.648116e+000
1.000394311142857e+000	6.599410e-001
1.000900209414548e+000	6.487535e-001
1.001426530285714e+000	6.707254e-001
1.001972600000001e+000	8.302621e-001
1.002550000000000e+000	1.333161e+000
1.003103220000000e+000	1.587906e+000
1.003631200995235e+000	7.739757e-001
1.004156500000000e+000	6.588256e-001
1.004633647714286e+000	6.542083e-001
1.005158000000000e+000	6.964723e-001
1.005649851267590e+000	1.590946e+000
1.006246435999926e+000	1.559894e+000
1.006795400000000e+000	8.643104e-001
1.007340765142857e+000	6.747040e-001
1.007850714285715e+000	6.505409e-001
1.008355000000000e+000	6.657881e-001
1.008885400000000e+000	8.181982e-001
1.009410517999995e+000	1.522816e+000
1.009905200000000e+000	7.200506e-001
1.010460178000000e+000	6.646700e-001
1.010985400000000e+000	6.503750e-001
1.011555000000000e+000	6.543719e-001
1.012077257142857e+000	6.907484e-001
1.012582606000002e+000	1.285901e+000
1.013157519440582e+000	1.356099e+000
1.013685399999998e+000	7.307555e-001
1.014192266290450e+000	6.562888e-001
1.014700460000000e+000	6.546170e-001
1.015240768301136e+000	6.806697e-001
1.015769000000000e+000	9.877170e-001
1.016303784681777e+000	1.319805e+000
1.016822457142858e+000	7.305096e-001
1.017382933428572e+000	6.678974e-001
1.017903220000001e+000	6.526790e-001
1.018433647714286e+000	6.632293e-001
1.018921147142856e+000	9.598456e-001
1.019494285714286e+000	1.215938e+000
1.020032215999988e+000	1.076107e+000
1.020573142857143e+000	6.927350e-001
1.021084824006229e+000	6.549523e-001
1.021600500000000e+000	6.582490e-001
1.022103138136409e+000	7.384609e-001
1.022635590749015e+000	1.258624e+000
1.023112400000001e+000	7.321156e-001
1.023640771428572e+000	6.635023e-001
1.024170885714286e+000	6.537778e-001
1.024694314285714e+000	6.697818e-001
1.025217994000001e+000	8.662107e-001
1.025775171428571e+000	1.142514e+000
1.026317994000008e+000	1.019500e+000
1.026747857142857e+000	6.580844e-001
1.027260178000000e+000	6.591960e-001
1.027741436000087e+000	8.146616e-001
1.028300019485546e+000	1.112921e+000
1.028801380000000e+000	8.220748e-001
1.029347882571429e+000	6.806707e-001
1.029856489015628e+000	6.558910e-001
1.030371571428572e+000	6.653854e-001
1.030900000000000e+000	7.387499e-001
1.031434404835284e+000	1.158551e+000
1.031958151649024e+000	8.767262e-001
1.032488628571429e+000	6.780208e-001
1.032995400000000e+000	6.561289e-001
1.033503000000000e+000	6.698664e-001
1.034035400000000e+000	7.737191e-001
1.034565714285714e+000	1.084981e+000
1.035121197999999e+000	9.798726e-001
1.035626530285714e+000	6.794084e-001
1.036110856791574e+000	6.577549e-001
1.036603219999999e+000	6.878211e-001
1.037118859141585e+000	1.010673e+000
1.037650400000002e+000	1.008973e+000
1.038168698571429e+000	6.900507e-001
1.038659090320722e+000	6.579460e-001
1.039171555714286e+000	6.673208e-001
1.039666788326778e+000	8.280104e-001
1.040212200000000e+000	1.086289e+000
1.040640776123023e+000	6.746594e-001
1.041155000000000e+000	6.584270e-001
1.041694314285715e+000	6.661870e-001
1.042182605999990e+000	8.102781e-001
1.042714000000000e+000	1.062500e+000
1.043215790130454e+000	7.100438e-001
1.043667200000000e+000	6.584014e-001
1.044130759897083e+000	7.025208e-001
1.044656858165640e+000	9.581509e-001
1.045181428571428e+000	8.893083e-001
1.045747885714286e+000	7.313029e-001
1.046202603028300e+000	6.598892e-001
1.046700000000000e+000	6.732005e-001
1.047212257142858e+000	8.234164e-001
1.047745400000002e+000	1.027479e+000
1.048303000000000e+000	8.294117e-001
1.048793006570843e+000	6.691211e-001
1.049295400000000e+000	6.607619e-001
1.049788625131152e+000	6.955497e-001
1.050270885714286e+000	9.678346e-001
1.050773142857143e+000	7.162024e-001
1.051258000000000e+000	6.627974e-001
1.051775285714285e+000	6.642727e-001
1.052215867078706e+000	8.952133e-001
1.052755635047649e+000	9.565927e-001
