time	V(receiver)
0.000000000000000e+000	1.648115e+000
2.929687308722562e-012	1.648115e+000
5.859374617445123e-012	1.648115e+000
1.171874923489025e-011	1.648115e+000
1.251980311550162e-011	1.648114e+000
1.343534843819923e-011	1.648112e+000
1.373540088773473e-011	1.648111e+000
1.396352667796642e-011	1.648104e+000
1.403915585021921e-011	1.648098e+000
1.410617770093722e-011	1.648094e+000
1.457573785608861e-011	1.648094e+000
1.465341350139331e-011	1.648101e+000
1.473808503407610e-011	1.648117e+000
1.482127695858595e-011	1.648116e+000
1.488241126779048e-011	1.648102e+000
1.494857478152021e-011	1.648077e+000
1.499894304018635e-011	1.648063e+000
1.508755959625121e-011	1.648094e+000
1.513760859640098e-011	1.648094e+000
1.518877321805754e-011	1.648099e+000
1.527171132966003e-011	1.648116e+000
1.535357052313177e-011	1.648116e+000
1.542717661866810e-011	1.648101e+000
1.550298344285714e-011	1.648077e+000
1.556856321584400e-011	1.648063e+000
1.568481844431295e-011	1.648093e+000
1.575787046937093e-011	1.648093e+000
1.582566654057064e-011	1.648099e+000
1.594104756499476e-011	1.648116e+000
1.605517711672478e-011	1.648115e+000
1.614928543510635e-011	1.648108e+000
1.625814537821361e-011	1.648115e+000
1.639726137118016e-011	1.648124e+000
1.653711694889000e-011	1.648109e+000
1.654176284507905e-011	1.648103e+000
1.655105463745716e-011	1.648093e+000
1.660680539172579e-011	1.648093e+000
1.668113973075064e-011	1.648099e+000
1.679420238778451e-011	1.648108e+000
1.690436824135497e-011	1.648108e+000
1.703374312975211e-011	1.648111e+000
1.725802240246055e-011	1.648116e+000
1.744494756602567e-011	1.648116e+000
1.770544552590146e-011	1.648114e+000
1.814376835216000e-011	1.648112e+000
1.850961997131896e-011	1.648112e+000
1.903091120055213e-011	1.648112e+000
1.991799465240353e-011	1.648111e+000
2.115190191882816e-011	1.648111e+000
2.215490317956212e-011	1.648110e+000
2.228451716259395e-011	1.648109e+000
2.254374512865762e-011	1.648109e+000
2.306220106078495e-011	1.648113e+000
2.353966541667979e-011	1.648115e+000
2.403742629263050e-011	1.648112e+000
2.412496285492510e-011	1.648110e+000
2.430003597951430e-011	1.648109e+000
2.465018222869272e-011	1.648113e+000
2.504205929755950e-011	1.648115e+000
2.604536449354692e-011	1.648112e+000
2.667442999734605e-011	1.648113e+000
2.733305049343089e-011	1.648113e+000
2.807616202952396e-011	1.648111e+000
2.886445819528047e-011	1.648108e+000
2.970324442445962e-011	1.648108e+000
3.052057564028337e-011	1.648110e+000
3.151344528040024e-011	1.648112e+000
3.295371800622598e-011	1.648114e+000
3.434336658743074e-011	1.648114e+000
3.555374460127078e-011	1.648113e+000
3.687767079214024e-011	1.648113e+000
3.859916092344126e-011	1.648113e+000
4.053241274444725e-011	1.648112e+000
4.271113262168260e-011	1.648112e+000
4.896213197156401e-011	1.648113e+000
5.244660911484514e-011	1.648113e+000
5.615624405864646e-011	1.648113e+000
6.357551394624909e-011	1.648113e+000
7.165860754883852e-011	1.648113e+000
7.996366003324475e-011	1.648112e+000
9.057854507262853e-011	1.648112e+000
1.023687653039020e-010	1.648112e+000
1.164414632685200e-010	1.648113e+000
1.351278796235906e-010	1.648113e+000
1.524583842585197e-010	1.648113e+000
1.773634960545048e-010	1.648113e+000
2.129782256136788e-010	1.648113e+000
2.464191614672543e-010	1.648113e+000
2.896754533596731e-010	1.648113e+000
3.576768134785876e-010	1.648113e+000
4.069956471614031e-010	1.648113e+000
4.624243596305160e-010	1.648113e+000
5.352468888998349e-010	1.648113e+000
5.822586188679414e-010	1.648113e+000
6.762820788041542e-010	1.648113e+000
7.400566632664077e-010	1.648113e+000
7.980477964742678e-010	1.648113e+000
8.246959183885899e-010	1.648113e+000
