time	power	V(out)	Id(Mos1)
0.000000000000000e+000	4.259698e-009	4.614779e+001	9.230558e-011
9.143261445199396e-008	2.104636e-006	4.614777e+001	4.560644e-008
1.828652289039879e-007	8.406282e-006	4.614776e+001	1.821601e-007
2.742978433559819e-007	1.890920e-005	4.614775e+001	4.097534e-007
3.657304578079758e-007	3.361338e-005	4.614774e+001	7.283862e-007
4.571630722599698e-007	5.251882e-005	4.614773e+001	1.138059e-006
5.485956867119638e-007	7.562554e-005	4.614773e+001	1.638771e-006
6.400283011639575e-007	1.029335e-004	4.614772e+001	2.230522e-006
1.280028297274376e-006	3.921873e-004	4.614767e+001	8.498529e-006
2.256590797274376e-006	1.119486e-003	4.614759e+001	2.425883e-005
3.233153297274376e-006	2.178876e-003	4.614750e+001	4.721548e-005
4.023437500000000e-006	3.331666e-003	4.614743e+001	7.219613e-005
5.000000000000000e-006	5.025449e-003	4.614734e+001	1.089001e-004
5.500000000000000e-005	5.025491e-003	4.614772e+001	1.089001e-004
5.529296875000000e-005	4.461523e-003	4.614808e+001	9.667842e-005
5.568359375000000e-005	3.775972e-003	4.614806e+001	8.182298e-005
5.646484375000000e-005	2.588910e-003	4.614801e+001	5.610014e-005
5.744140625000000e-005	1.411819e-003	4.614795e+001	3.059332e-005
5.841796875000001e-005	5.625516e-004	4.614789e+001	1.219019e-005
5.902343750000000e-005	2.511412e-004	4.614785e+001	5.442101e-006
6.000000000000000e-005	4.259698e-009	4.614779e+001	9.230558e-011
1.000000000000000e-004	4.259695e-009	4.614777e+001	9.230555e-011
1.000429687500000e-004	7.465504e-007	4.614777e+001	1.617739e-008
1.001289062499999e-004	4.829149e-006	4.614776e+001	1.046454e-007
1.003007812499998e-004	2.412870e-005	4.614775e+001	5.228575e-007
1.006445312499995e-004	1.072652e-004	4.614772e+001	2.324387e-006
1.013320312499989e-004	4.241550e-004	4.614767e+001	9.191255e-006
1.023085937499989e-004	1.167209e-003	4.614758e+001	2.529295e-005
1.032851562499989e-004	2.241912e-003	4.614750e+001	4.858143e-005
1.040234375000000e-004	3.326562e-003	4.614743e+001	7.208552e-005
1.050000000000000e-004	5.025449e-003	4.614734e+001	1.089001e-004
1.550000000000000e-004	5.025491e-003	4.614772e+001	1.089001e-004
1.552929687500000e-004	4.461523e-003	4.614808e+001	9.667842e-005
1.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
1.564648437500000e-004	2.588910e-003	4.614801e+001	5.610014e-005
1.574414062500000e-004	1.411819e-003	4.614795e+001	3.059332e-005
1.584179687500000e-004	5.625516e-004	4.614789e+001	1.219019e-005
1.590234375000000e-004	2.511412e-004	4.614785e+001	5.442101e-006
1.600000000000000e-004	4.259698e-009	4.614779e+001	9.230558e-011
