time	powerLoad	powerMOS	V(measure)	I(Load)	Id(MOS)	I(module)	powerModule
0.000000000000000e+000	2.109116e+001	2.109575e-009	4.592511e+001	4.592511e-001	4.593511e-011	4.592511e-001	-2.109116e+001
9.143467235824725e-009	2.093427e+001	6.247247e-002	4.575399e+001	4.575399e-001	1.365400e-003	4.589053e-001	-2.099675e+001
1.828693447164945e-008	2.062254e+001	2.480456e-001	4.541205e+001	4.541205e-001	5.462109e-003	4.595826e-001	-2.087059e+001
2.743040170747418e-008	2.015947e+001	5.518181e-001	4.489929e+001	4.489929e-001	1.229013e-002	4.612831e-001	-2.071128e+001
3.657386894329890e-008	1.955030e+001	9.660896e-001	4.421572e+001	4.421573e-001	2.184946e-002	4.640067e-001	-2.051639e+001
4.571733617912363e-008	1.880206e+001	1.480360e+000	4.336134e+001	4.336134e-001	3.414010e-002	4.677535e-001	-2.028242e+001
5.486080341494836e-008	1.792349e+001	2.081331e+000	4.233614e+001	4.233615e-001	4.916204e-002	4.725235e-001	-2.000482e+001
6.400427065077305e-008	1.692510e+001	2.752904e+000	4.114013e+001	4.114013e-001	6.691530e-002	4.783166e-001	-1.967801e+001
1.280042688407294e-007	9.935571e+000	7.583181e+000	3.152074e+001	3.152074e-001	2.405775e-001	5.557848e-001	-1.751875e+001
1.912721382725684e-007	3.911079e+000	1.019945e+001	1.977645e+001	1.977645e-001	5.157374e-001	7.135084e-001	-1.411067e+001
2.871869418213351e-007	2.320827e-001	5.039724e+000	4.817496e+000	4.817496e-002	1.046129e+000	1.094413e+000	-5.272329e+000
3.713848482480372e-007	2.281764e-004	2.271269e-001	1.510551e-001	1.510551e-003	1.503603e+000	1.505311e+000	-2.273849e-001
4.713253028726935e-007	1.967202e-004	2.830937e-001	1.402570e-001	1.402570e-003	2.018393e+000	2.019994e+000	-2.833183e-001
5.747038304740701e-007	1.875126e-004	3.485752e-001	1.369352e-001	1.369352e-003	2.545548e+000	2.547118e+000	-3.487911e-001
7.700163304740700e-007	1.784283e-004	4.711561e-001	1.335770e-001	1.335770e-003	3.527224e+000	3.528680e+000	-4.713572e-001
9.653288304740700e-007	1.719210e-004	5.884504e-001	1.311187e-001	1.311186e-003	4.487923e+000	4.489217e+000	-5.886296e-001
1.160641330474070e-006	1.660448e-004	6.978108e-001	1.288584e-001	1.288584e-003	5.415331e+000	5.416594e+000	-6.979777e-001
1.355953830474070e-006	1.593860e-004	7.940357e-001	1.262482e-001	1.262482e-003	6.289483e+000	6.290744e+000	-7.941951e-001
1.551266330474070e-006	1.508160e-004	8.689814e-001	1.228072e-001	1.228072e-003	7.075983e+000	7.077210e+000	-8.691322e-001
1.746578830474070e-006	1.394280e-004	9.124025e-001	1.180796e-001	1.180796e-003	7.727009e+000	7.728190e+000	-9.125419e-001
1.941891330474071e-006	1.249081e-004	9.154684e-001	1.117623e-001	1.117623e-003	8.191211e+000	8.192350e+000	-9.155958e-001
2.137203830474071e-006	1.078424e-004	8.759328e-001	1.038472e-001	1.038472e-003	8.434822e+000	8.435916e+000	-8.760464e-001
2.309513548533878e-006	9.148219e-005	8.074142e-001	9.564632e-002	9.564632e-004	8.441665e+000	8.442672e+000	-8.075105e-001
2.483927232952075e-006	7.469286e-005	7.121126e-001	8.642503e-002	8.642504e-004	8.239657e+000	8.240547e+000	-7.121895e-001
