time	powerLoad	powerMOS	V(measure)	I(load)	Id(MOS)	I(PVModule)
0.000000000000000e+000	2.109116e+001	2.109575e-009	4.592511e+001	4.592511e-001	4.593511e-011	4.592511e-001
9.765624940649698e-012	2.109115e+001	8.796160e-008	4.592510e+001	4.592510e-001	1.915327e-009	4.592511e-001
1.953124988129940e-011	2.109114e+001	2.882830e-007	4.592509e+001	4.592510e-001	6.277243e-009	4.592511e-001
3.906249976259879e-011	2.109115e+001	1.146803e-006	4.592510e+001	4.592510e-001	2.497117e-008	4.592511e-001
7.812499952519758e-011	2.109115e+001	4.580885e-006	4.592510e+001	4.592510e-001	9.974686e-008	4.592511e-001
1.562499990503952e-010	2.109113e+001	1.831720e-005	4.592508e+001	4.592507e-001	3.988496e-007	4.592511e-001
3.124999981007903e-010	2.109101e+001	7.326228e-005	4.592495e+001	4.592495e-001	1.595261e-006	4.592511e-001
6.249999962015806e-010	2.109058e+001	2.930397e-004	4.592448e+001	4.592448e-001	6.380905e-006	4.592512e-001
1.249999992403161e-009	2.108883e+001	1.172104e-003	4.592258e+001	4.592258e-001	2.552348e-005	4.592513e-001
2.499999984806323e-009	2.108193e+001	4.687642e-003	4.591506e+001	4.591506e-001	1.020938e-004	4.592527e-001
4.999999969612645e-009	2.105478e+001	1.873849e-002	4.588549e+001	4.588549e-001	4.083751e-004	4.592633e-001
9.999999939225290e-009	2.095005e+001	7.476730e-002	4.577122e+001	4.577122e-001	1.633500e-003	4.593457e-001
1.999999987845058e-008	2.056025e+001	2.962738e-001	4.534341e+001	4.534341e-001	6.534000e-003	4.599681e-001
3.999999975690116e-008	1.921102e+001	1.145551e+000	4.383038e+001	4.383038e-001	2.613600e-002	4.644398e-001
7.999999951380232e-008	1.524641e+001	3.941979e+000	3.904665e+001	3.904665e-001	1.009556e-001	4.914221e-001
1.462704390301252e-007	7.991868e+000	8.752585e+000	2.826989e+001	2.826989e-001	3.096080e-001	5.923067e-001
2.155934256859145e-007	2.620256e+000	1.019111e+001	1.618720e+001	1.618720e-001	6.295781e-001	7.914686e-001
3.186763055421857e-007	1.253526e-001	4.215223e+000	3.540517e+000	3.540517e-002	1.190567e+000	1.226035e+000
4.051088218722327e-007	1.975962e-004	2.321675e-001	1.405689e-001	1.405689e-003	1.651628e+000	1.653299e+000
5.132228594427630e-007	1.858532e-004	3.008223e-001	1.363280e-001	1.363280e-003	2.206607e+000	2.208484e+000
6.401951085820518e-007	1.796029e-004	3.820008e-001	1.340160e-001	1.340160e-003	2.850412e+000	2.852100e+000
8.941396068606294e-007	1.715704e-004	5.373880e-001	1.309849e-001	1.309849e-003	4.102672e+000	4.103911e+000
1.262996607812556e-006	1.603059e-004	7.376446e-001	1.266120e-001	1.266120e-003	5.826025e+000	5.827166e+000
1.534588538230193e-006	1.491521e-004	8.477359e-001	1.221278e-001	1.221278e-003	6.941382e+000	6.942548e+000
1.830916273977469e-006	1.310222e-004	8.982475e-001	1.144650e-001	1.144649e-003	7.847359e+000	7.848500e+000
2.142020280468234e-006	1.064251e-004	8.649097e-001	1.031625e-001	1.031625e-003	8.383952e+000	8.385013e+000
2.323109759871656e-006	9.003545e-005	7.991395e-001	9.488701e-002	9.488701e-004	8.422011e+000	8.423014e+000
2.521389896405750e-006	7.145133e-005	6.919170e-001	8.452889e-002	8.452889e-004	8.185569e+000	8.186457e+000
2.701745271574916e-006	5.564089e-005	5.788357e-001	7.459282e-002	7.459282e-004	7.759938e+000	7.760700e+000
2.960225237967665e-006	3.653160e-005	4.170353e-001	6.044137e-002	6.044137e-004	6.899832e+000	6.900448e+000
3.225670930654238e-006	2.239731e-005	2.786802e-001	4.732580e-002	4.732580e-004	5.888548e+000	5.889141e+000
3.589857045439991e-006	1.089694e-005	1.511321e-001	3.301051e-002	3.301051e-004	4.578304e+000	4.579075e+000
3.920417287133379e-006	5.782331e-006	8.868654e-002	2.404648e-002	2.404648e-004	3.688130e+000	3.688892e+000
4.120453110573617e-006	4.420934e-006	7.172671e-002	2.102602e-002	2.102602e-004	3.411331e+000	3.411819e+000
4.286545789439275e-006	4.048127e-006	6.845415e-002	2.011996e-002	2.011996e-004	3.402300e+000	3.402586e+000
4.457369453868103e-006	4.165919e-006	7.334643e-002	2.041058e-002	2.041058e-004	3.593549e+000	3.593795e+000
4.658372237096357e-006	4.749406e-006	8.737576e-002	2.179313e-002	2.179313e-004	4.009326e+000	4.009566e+000
