time	V(measure)
0.000000000000000e+000	1.495654e-001
2.485100446427763e-008	1.556077e-001
4.970200892855526e-008	1.625308e-001
7.455301339283289e-008	1.703348e-001
9.940401785711053e-008	1.790196e-001
1.242550223213882e-007	1.885853e-001
1.491060267856658e-007	1.990318e-001
1.739570312499434e-007	2.103591e-001
1.876713169642243e-007	2.171008e-001
2.013856026785053e-007	2.248715e-001
2.150998883927862e-007	2.336711e-001
2.288141741070671e-007	2.434997e-001
2.425284598213481e-007	2.543572e-001
2.562427455356290e-007	2.662436e-001
2.699570312499099e-007	2.791590e-001
2.859570312499043e-007	2.981047e-001
2.939570312499016e-007	3.094149e-001
3.019570312498988e-007	3.225505e-001
3.099570312498960e-007	3.384581e-001
3.179570312498932e-007	3.594814e-001
3.259570312498904e-007	1.623878e+000
3.339570312498876e-007	7.680062e+000
3.419570312498848e-007	1.925092e+001
3.499570312498821e-007	3.211273e+001
3.579570312498793e-007	4.368975e+001
3.659570312498765e-007	5.409489e+001
3.739570312498737e-007	6.343134e+001
3.819570312498709e-007	7.179337e+001
3.899570312498681e-007	7.926714e+001
3.979570312498653e-007	8.593134e+001
4.059570312498625e-007	9.185789e+001
4.139570312498598e-007	9.711250e+001
4.219570312498570e-007	1.017552e+002
4.379570312498514e-007	1.094194e+002
4.539570312498458e-007	1.152346e+002
4.699570312498402e-007	1.195213e+002
4.939570312498319e-007	1.236577e+002
5.179570312498235e-007	1.256683e+002
5.362427455355315e-007	1.258327e+002
5.545284598212394e-007	1.255821e+002
5.728141741069472e-007	1.249167e+002
5.910998883926552e-007	1.238363e+002
6.093856026783632e-007	1.223410e+002
6.276713169640711e-007	1.204308e+002
6.459570312497789e-007	1.181057e+002
6.802427455354813e-007	1.137612e+002
7.145284598211836e-007	1.093040e+002
7.488141741068860e-007	1.047341e+002
7.830998883925883e-007	1.000514e+002
8.173856026782907e-007	9.525595e+001
8.516713169639931e-007	9.034776e+001
8.859570312496953e-007	8.532682e+001
8.939570312496925e-007	8.402361e+001
9.019570312496897e-007	8.268429e+001
9.099570312496870e-007	8.130949e+001
9.179570312496842e-007	7.990054e+001
9.259570312496814e-007	7.845913e+001
9.339570312496786e-007	7.698721e+001
9.419570312496758e-007	7.548682e+001
9.499570312496730e-007	7.396001e+001
9.579570312496702e-007	7.240878e+001
9.659570312496674e-007	7.083503e+001
9.739570312496647e-007	6.924055e+001
9.819570312496619e-007	6.762701e+001
9.899570312496591e-007	6.599891e+001
9.920000000000068e-007	6.558019e+001
9.960859375007021e-007	6.473818e+001
1.000000000000004e-006	6.392936e+001
1.000391406249938e-006	6.384859e+001
1.014640290178205e-006	6.126777e+001
1.028889174106473e-006	5.896470e+001
1.043138058034741e-006	5.693938e+001
1.057386941963009e-006	5.519180e+001
1.071635825891277e-006	5.372198e+001
1.085884709819545e-006	5.252990e+001
1.100133593747812e-006	5.161557e+001
1.121847879462091e-006	5.046503e+001
1.143562165176369e-006	4.947404e+001
1.165276450890647e-006	4.864260e+001
1.186990736604925e-006	4.797071e+001
1.208705022319203e-006	4.745838e+001
1.230419308033481e-006	4.710559e+001
1.252133593747760e-006	4.691236e+001
1.303562165176313e-006	4.658063e+001
1.354990736604866e-006	4.631320e+001
1.406419308033420e-006	4.611009e+001
1.457847879461974e-006	4.597128e+001
1.509276450890527e-006	4.589678e+001
1.560705022319081e-006	4.588658e+001
1.612133593747634e-006	4.594070e+001
1.996133593747500e-006	4.592530e+001
2.000000000000001e-006	4.592529e+001
