time	powerMOS	powerModule
0.000000000000000e+000	7.854715e-001	-7.857021e-001
2.485100446427763e-008	8.235570e-001	-8.238031e-001
4.970200892855526e-008	8.669515e-001	-8.672172e-001
7.455301339283289e-008	9.157798e-001	-9.160697e-001
9.940401785711053e-008	9.701705e-001	-9.704896e-001
1.242550223213882e-007	1.030256e+000	-1.030610e+000
1.491060267856658e-007	1.096173e+000	-1.096568e+000
1.739570312499434e-007	1.168062e+000	-1.168505e+000
1.876713169642243e-007	1.210942e+000	-1.211413e+000
2.013856026785053e-007	1.259944e+000	-1.260449e+000
2.150998883927862e-007	1.315148e+000	-1.315695e+000
2.288141741070671e-007	1.376635e+000	-1.377229e+000
2.425284598213481e-007	1.444486e+000	-1.445134e+000
2.562427455356290e-007	1.518780e+000	-1.519492e+000
2.699570312499099e-007	1.599602e+000	-1.600385e+000
2.859570312499043e-007	1.717053e+000	-1.717952e+000
2.939570312499016e-007	1.786808e+000	-1.787782e+000
3.019570312498988e-007	1.867454e+000	-1.868529e+000
3.099570312498960e-007	1.964584e+000	-1.965770e+000
3.179570312498932e-007	2.091966e+000	-2.093277e+000
3.259570312498904e-007	9.452998e+000	-9.479378e+000
3.339570312498876e-007	4.432774e+001	-4.491760e+001
3.419570312498848e-007	1.089435e+002	-1.126495e+002
3.499570312498821e-007	1.773386e+002	-1.876509e+002
3.579570312498793e-007	2.353697e+002	-2.544577e+002
3.659570312498765e-007	2.842087e+002	-3.134712e+002
3.739570312498737e-007	3.249053e+002	-3.651406e+002
3.819570312498709e-007	3.583993e+002	-4.099422e+002
3.899570312498681e-007	3.855321e+002	-4.483648e+002
3.979570312498653e-007	4.070559e+002	-4.808978e+002
4.059570312498625e-007	4.236436e+002	-5.080224e+002
4.139570312498598e-007	4.358968e+002	-5.302051e+002
4.219570312498570e-007	4.443523e+002	-5.478935e+002
4.379570312498514e-007	4.517377e+002	-5.714637e+002
4.539570312498458e-007	4.490474e+002	-5.818375e+002
4.699570312498402e-007	4.388600e+002	-5.817134e+002
4.939570312498319e-007	4.138658e+002	-5.667782e+002
5.179570312498235e-007	3.816509e+002	-5.395761e+002
5.362427455355315e-007	3.537111e+002	-5.120497e+002
5.545284598212394e-007	3.257219e+002	-4.834307e+002
5.728141741069472e-007	2.979473e+002	-4.539891e+002
5.910998883926552e-007	2.706292e+002	-4.239836e+002
6.093856026783632e-007	2.439882e+002	-3.936615e+002
6.276713169640711e-007	2.182227e+002	-3.632586e+002
6.459570312497789e-007	1.935097e+002	-3.329993e+002
6.802427455354813e-007	1.520478e+002	-2.814640e+002
7.145284598211836e-007	1.164505e+002	-2.359242e+002
7.488141741068860e-007	8.639879e+001	-1.960911e+002
7.830998883925883e-007	6.155270e+001	-1.616555e+002
8.173856026782907e-007	4.155160e+001	-1.322886e+002
8.516713169639931e-007	2.601405e+001	-1.076412e+002
8.859570312496953e-007	1.453781e+001	-8.734447e+001
8.939570312496925e-007	1.238250e+001	-8.298217e+001
9.019570312496897e-007	1.042098e+001	-7.878789e+001
9.099570312496870e-007	8.648897e+000	-7.476123e+001
9.179570312496842e-007	7.061571e+000	-7.090253e+001
9.259570312496814e-007	5.653896e+000	-6.721224e+001
9.339570312496786e-007	4.420338e+000	-6.369063e+001
9.419570312496758e-007	3.354943e+000	-6.033754e+001
9.499570312496730e-007	2.451356e+000	-5.715218e+001
9.579570312496702e-007	1.702860e+000	-5.413317e+001
9.659570312496674e-007	1.102405e+000	-5.127842e+001
9.739570312496647e-007	6.426469e-001	-4.858518e+001
9.819570312496619e-007	3.159836e-001	-4.605011e+001
9.899570312496591e-007	9.403819e-002	-4.365260e+001
9.920000000000068e-007	5.842502e-002	-4.306604e+001
9.960859375007021e-007	1.972547e-002	-4.193005e+001
1.000000000000004e-006	5.817620e-004	-4.087021e+001
1.000391406249938e-006	4.077281e-009	-4.076643e+001
1.014640290178205e-006	3.754353e-009	-3.753740e+001
1.028889174106473e-006	3.477426e-009	-3.476836e+001
1.043138058034741e-006	3.242662e-009	-3.242093e+001
1.057386941963009e-006	3.046687e-009	-3.046135e+001
1.071635825891277e-006	2.886588e-009	-2.886051e+001
1.085884709819545e-006	2.759915e-009	-2.759390e+001
1.100133593747812e-006	2.664683e-009	-2.664167e+001
1.121847879462091e-006	2.547224e-009	-2.546719e+001
1.143562165176369e-006	2.448175e-009	-2.447680e+001
1.165276450890647e-006	2.366589e-009	-2.366102e+001
1.186990736604925e-006	2.301669e-009	-2.301189e+001
1.208705022319203e-006	2.252772e-009	-2.252298e+001
1.230419308033481e-006	2.219408e-009	-2.218937e+001
1.252133593747760e-006	2.201239e-009	-2.200770e+001
1.303562165176313e-006	2.170221e-009	-2.169755e+001
1.354990736604866e-006	2.145376e-009	-2.144913e+001
1.406419308033420e-006	2.126601e-009	-2.126140e+001
1.457847879461974e-006	2.113818e-009	-2.113358e+001
1.509276450890527e-006	2.106973e-009	-2.106514e+001
1.560705022319081e-006	2.106037e-009	-2.105579e+001
1.612133593747634e-006	2.111007e-009	-2.110548e+001
1.996133593747500e-006	2.109592e-009	-2.109133e+001
2.000000000000001e-006	2.109591e-009	-2.109132e+001
