Freq.	I(R145)
1.00000000000000e+003	-1.50693649347362e+002
1.25892541179417e+003	-1.48806243619067e+002
1.58489319246111e+003	-1.46978921318849e+002
1.99526231496888e+003	-1.45239266005323e+002
2.51188643150958e+003	-1.43622356348303e+002
3.16227766016838e+003	-1.42167776413283e+002
3.98107170553497e+003	-1.40912471993946e+002
5.01187233627272e+003	-1.39880675739538e+002
6.30957344480193e+003	-1.39075599934402e+002
7.94328234724282e+003	-1.38478237394184e+002
1.00000000000000e+004	-1.38054124637609e+002
1.25892541179417e+004	-1.37763515989088e+002
1.58489319246111e+004	-1.37569615947390e+002
1.99526231496888e+004	-1.37442664242044e+002
2.51188643150958e+004	-1.37360611836024e+002
3.16227766016838e+004	-1.37308033051602e+002
3.98107170553497e+004	-1.37274530674983e+002
5.01187233627273e+004	-1.37253263350875e+002
6.30957344480194e+004	-1.37239798744785e+002
7.94328234724282e+004	-1.37231294252966e+002
1.00000000000000e+005	-1.37225939741246e+002
