Freq.	I(R145)
1.00000000000000e+003	7.77631630388460e+001
1.25892541179417e+003	7.47282991796590e+001
1.58489319246111e+003	7.10302110524093e+001
1.99526231496888e+003	6.65996117340646e+001
2.51188643150958e+003	6.14180832930329e+001
3.16227766016838e+003	5.55538489268984e+001
3.98107170553497e+003	4.91879335992629e+001
5.01187233627272e+003	4.26066741798178e+001
6.30957344480193e+003	3.61476411677882e+001
7.94328234724282e+003	3.01185719138961e+001
1.00000000000000e+004	2.47323052942034e+001
1.25892541179417e+004	2.00865192899385e+001
1.58489319246111e+004	1.61829658482539e+001
1.99526231496888e+004	1.29626767082294e+001
2.51188643150958e+004	1.03381030312125e+001
3.16227766016838e+004	8.21491858849837e+000
3.98107170553497e+004	6.50399534258002e+000
5.01187233627273e+004	5.12660831636568e+000
6.30957344480194e+004	4.01574321006501e+000
7.94328234724282e+004	3.11545968688100e+000
1.00000000000000e+005	2.37944026133170e+000
