Freq.	I(R145)
1.00000000000000e+003	(-1.50693649347362e+002dB,7.77631630388460e+001°)
1.25892541179417e+003	(-1.48806243619067e+002dB,7.47282991796590e+001°)
1.58489319246111e+003	(-1.46978921318849e+002dB,7.10302110524093e+001°)
1.99526231496888e+003	(-1.45239266005323e+002dB,6.65996117340646e+001°)
2.51188643150958e+003	(-1.43622356348303e+002dB,6.14180832930329e+001°)
3.16227766016838e+003	(-1.42167776413283e+002dB,5.55538489268984e+001°)
3.98107170553497e+003	(-1.40912471993946e+002dB,4.91879335992629e+001°)
5.01187233627272e+003	(-1.39880675739538e+002dB,4.26066741798178e+001°)
6.30957344480193e+003	(-1.39075599934402e+002dB,3.61476411677882e+001°)
7.94328234724282e+003	(-1.38478237394184e+002dB,3.01185719138961e+001°)
1.00000000000000e+004	(-1.38054124637609e+002dB,2.47323052942034e+001°)
1.25892541179417e+004	(-1.37763515989088e+002dB,2.00865192899385e+001°)
1.58489319246111e+004	(-1.37569615947390e+002dB,1.61829658482539e+001°)
1.99526231496888e+004	(-1.37442664242044e+002dB,1.29626767082294e+001°)
2.51188643150958e+004	(-1.37360611836024e+002dB,1.03381030312125e+001°)
3.16227766016838e+004	(-1.37308033051602e+002dB,8.21491858849837e+000°)
3.98107170553497e+004	(-1.37274530674983e+002dB,6.50399534258002e+000°)
5.01187233627273e+004	(-1.37253263350875e+002dB,5.12660831636568e+000°)
6.30957344480194e+004	(-1.37239798744785e+002dB,4.01574321006501e+000°)
7.94328234724282e+004	(-1.37231294252966e+002dB,3.11545968688100e+000°)
1.00000000000000e+005	(-1.37225939741246e+002dB,2.37944026133170e+000°)
