Freq.	V(out)
1.00000000000000e+003	-1.10837992976467e+002
1.25892541179417e+003	-1.08837993245252e+002
1.58489319246111e+003	-1.06837993671247e+002
1.99526231496888e+003	-1.04837994346402e+002
2.51188643150958e+003	-1.02837995416445e+002
3.16227766016838e+003	-1.00837997112364e+002
3.98107170553497e+003	-9.88379998002098e+001
5.01187233627272e+003	-9.68380040601442e+001
6.30957344480193e+003	-9.48380108116793e+001
7.94328234724282e+003	-9.28380215121184e+001
1.00000000000000e+004	-9.08380384711214e+001
1.25892541179417e+004	-8.88380653491977e+001
1.58489319246111e+004	-8.68381079477615e+001
1.99526231496888e+004	-8.48381754610833e+001
2.51188643150958e+004	-8.28382824604073e+001
3.16227766016838e+004	-8.08384520376605e+001
3.98107170553497e+004	-7.88387207863245e+001
5.01187233627273e+004	-7.68391466911448e+001
6.30957344480194e+004	-7.48398216217127e+001
7.94328234724282e+004	-7.28408911058805e+001
1.00000000000000e+005	-7.08425856001653e+001
