Freq.	V(out)
1.00000000000000e+003	8.99802165473258e+001
1.25892541179417e+003	8.99750941091701e+001
1.58489319246111e+003	8.99686453420780e+001
1.99526231496888e+003	8.99605268262537e+001
2.51188643150958e+003	8.99503062222571e+001
3.16227766016838e+003	8.99374392479146e+001
3.98107170553497e+003	8.99212406944296e+001
5.01187233627272e+003	8.99008479387526e+001
6.30957344480193e+003	8.98751750102226e+001
7.94328234724282e+003	8.98428547675766e+001
1.00000000000000e+004	8.98021661114625e+001
1.25892541179417e+004	8.97509423650816e+001
1.58489319246111e+004	8.96864559614934e+001
1.99526231496888e+004	8.96052733318784e+001
2.51188643150958e+004	8.95030723370892e+001
3.16227766016838e+004	8.93744126597936e+001
3.98107170553497e+004	8.92124472084963e+001
5.01187233627273e+004	8.90085597204723e+001
6.30957344480194e+004	8.87519103726888e+001
7.94328234724282e+004	8.84288674104630e+001
1.00000000000000e+005	8.80222989209254e+001
