Freq.	V(out)
1.00000000000000e+003	(-1.10837992976467e+002dB,8.99802165473258e+001°)
1.25892541179417e+003	(-1.08837993245252e+002dB,8.99750941091701e+001°)
1.58489319246111e+003	(-1.06837993671247e+002dB,8.99686453420780e+001°)
1.99526231496888e+003	(-1.04837994346402e+002dB,8.99605268262537e+001°)
2.51188643150958e+003	(-1.02837995416445e+002dB,8.99503062222571e+001°)
3.16227766016838e+003	(-1.00837997112364e+002dB,8.99374392479146e+001°)
3.98107170553497e+003	(-9.88379998002098e+001dB,8.99212406944296e+001°)
5.01187233627272e+003	(-9.68380040601442e+001dB,8.99008479387526e+001°)
6.30957344480193e+003	(-9.48380108116793e+001dB,8.98751750102226e+001°)
7.94328234724282e+003	(-9.28380215121184e+001dB,8.98428547675766e+001°)
1.00000000000000e+004	(-9.08380384711214e+001dB,8.98021661114625e+001°)
1.25892541179417e+004	(-8.88380653491977e+001dB,8.97509423650816e+001°)
1.58489319246111e+004	(-8.68381079477615e+001dB,8.96864559614934e+001°)
1.99526231496888e+004	(-8.48381754610833e+001dB,8.96052733318784e+001°)
2.51188643150958e+004	(-8.28382824604073e+001dB,8.95030723370892e+001°)
3.16227766016838e+004	(-8.08384520376605e+001dB,8.93744126597936e+001°)
3.98107170553497e+004	(-7.88387207863245e+001dB,8.92124472084963e+001°)
5.01187233627273e+004	(-7.68391466911448e+001dB,8.90085597204723e+001°)
6.30957344480194e+004	(-7.48398216217127e+001dB,8.87519103726888e+001°)
7.94328234724282e+004	(-7.28408911058805e+001dB,8.84288674104630e+001°)
1.00000000000000e+005	(-7.08425856001653e+001dB,8.80222989209254e+001°)
