Freq.	I(R3)
1.00000000000000e+003	-1.50745193223455e+002
1.25892541179417e+003	-1.48856620993983e+002
1.58489319246111e+003	-1.47027566873155e+002
1.99526231496888e+003	-1.45285426072445e+002
2.51188643150958e+003	-1.43665117328645e+002
3.16227766016838e+003	-1.42206183288901e+002
3.98107170553497e+003	-1.40945745983116e+002
5.01187233627272e+003	-1.39908459342454e+002
6.30957344480193e+003	-1.39098088983396e+002
7.94328234724282e+003	-1.38496107220039e+002
1.00000000000000e+004	-1.38068303565454e+002
1.25892541179417e+004	-1.37774947489671e+002
1.58489319246111e+004	-1.37579108297254e+002
1.99526231496888e+004	-1.37450838760462e+002
2.51188643150958e+004	-1.37367913643764e+002
3.16227766016838e+004	-1.37314766783473e+002
3.98107170553497e+004	-1.37280898759132e+002
5.01187233627273e+004	-1.37259397780966e+002
6.30957344480194e+004	-1.37245784556269e+002
7.94328234724282e+004	-1.37237185810585e+002
1.00000000000000e+005	-1.37231771632165e+002
