Freq.	I(R3)
1.00000000000000e+003	7.78285119642562e+001
1.25892541179417e+003	7.48084738992103e+001
1.58489319246111e+003	7.11272299690915e+001
1.99526231496888e+003	6.67146775828307e+001
2.51188643150958e+003	6.15507639686643e+001
3.16227766016838e+003	5.57012442831396e+001
3.98107170553497e+003	4.93443461081018e+001
5.01187233627272e+003	4.27643359804957e+001
6.30957344480193e+003	3.62984754588944e+001
7.94328234724282e+003	3.02561246852081e+001
1.00000000000000e+004	2.48528278797239e+001
1.25892541179417e+004	2.01889126820293e+001
1.58489319246111e+004	1.62680340572983e+001
1.99526231496888e+004	1.30322658885159e+001
2.51188643150958e+004	1.03944423811695e+001
3.16227766016838e+004	8.26022209317397e+000
3.98107170553497e+004	6.54026585799702e+000
5.01187233627273e+004	5.15556686473861e+000
6.30957344480194e+004	4.03882475157754e+000
7.94328234724282e+004	3.13383913539946e+000
1.00000000000000e+005	2.39406902077533e+000
