Freq.	I(R3)
1.00000000000000e+003	(-1.50745193223455e+002dB,7.78285119642562e+001°)
1.25892541179417e+003	(-1.48856620993983e+002dB,7.48084738992103e+001°)
1.58489319246111e+003	(-1.47027566873155e+002dB,7.11272299690915e+001°)
1.99526231496888e+003	(-1.45285426072445e+002dB,6.67146775828307e+001°)
2.51188643150958e+003	(-1.43665117328645e+002dB,6.15507639686643e+001°)
3.16227766016838e+003	(-1.42206183288901e+002dB,5.57012442831396e+001°)
3.98107170553497e+003	(-1.40945745983116e+002dB,4.93443461081018e+001°)
5.01187233627272e+003	(-1.39908459342454e+002dB,4.27643359804957e+001°)
6.30957344480193e+003	(-1.39098088983396e+002dB,3.62984754588944e+001°)
7.94328234724282e+003	(-1.38496107220039e+002dB,3.02561246852081e+001°)
1.00000000000000e+004	(-1.38068303565454e+002dB,2.48528278797239e+001°)
1.25892541179417e+004	(-1.37774947489671e+002dB,2.01889126820293e+001°)
1.58489319246111e+004	(-1.37579108297254e+002dB,1.62680340572983e+001°)
1.99526231496888e+004	(-1.37450838760462e+002dB,1.30322658885159e+001°)
2.51188643150958e+004	(-1.37367913643764e+002dB,1.03944423811695e+001°)
3.16227766016838e+004	(-1.37314766783473e+002dB,8.26022209317397e+000°)
3.98107170553497e+004	(-1.37280898759132e+002dB,6.54026585799702e+000°)
5.01187233627273e+004	(-1.37259397780966e+002dB,5.15556686473861e+000°)
6.30957344480194e+004	(-1.37245784556269e+002dB,4.03882475157754e+000°)
7.94328234724282e+004	(-1.37237185810585e+002dB,3.13383913539946e+000°)
1.00000000000000e+005	(-1.37231771632165e+002dB,2.39406902077533e+000°)
