Freq.	V(out)
1.00000000000000e+003	-1.10897575702402e+002
1.25892541179417e+003	-1.08897575968655e+002
1.58489319246111e+003	-1.06897576390638e+002
1.99526231496888e+003	-1.04897577059436e+002
2.51188643150958e+003	-1.02897578119410e+002
3.16227766016838e+003	-1.00897579799354e+002
3.98107170553497e+003	-9.88975824618846e+001
5.01187233627272e+003	-9.68975866817081e+001
6.30957344480193e+003	-9.48975933696695e+001
7.94328234724282e+003	-9.28976039693534e+001
1.00000000000000e+004	-9.08976207686690e+001
1.25892541179417e+004	-8.88976473936604e+001
1.58489319246111e+004	-8.68976895911034e+001
1.99526231496888e+004	-8.48977564687277e+001
2.51188643150958e+004	-8.28978624605706e+001
3.16227766016838e+004	-8.08980304411744e+001
3.98107170553497e+004	-7.88982966595640e+001
5.01187233627273e+004	-7.68987185548136e+001
6.30957344480194e+004	-7.48993871321935e+001
7.94328234724282e+004	-7.29004465512063e+001
1.00000000000000e+005	-7.09021251032064e+001
