4294A REV1.11
"DATE: Apr 21 2016"


"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+04	1.311111e-04	0.000000e+00
1.04762770000e+04	1.307659e-04	0.000000e+00
1.09752370000e+04	1.305580e-04	0.000000e+00
1.14979630000e+04	1.300967e-04	0.000000e+00
1.20455840000e+04	1.297588e-04	0.000000e+00
1.26192870000e+04	1.293432e-04	0.000000e+00
1.32203140000e+04	1.290903e-04	0.000000e+00
1.38499670000e+04	1.284956e-04	0.000000e+00
1.45096090000e+04	1.280341e-04	0.000000e+00
1.52006680000e+04	1.276095e-04	0.000000e+00
1.59246400000e+04	1.271063e-04	0.000000e+00
1.66830940000e+04	1.264723e-04	0.000000e+00
1.74776710000e+04	1.258740e-04	0.000000e+00
1.83100920000e+04	1.252676e-04	0.000000e+00
1.91821590000e+04	1.245555e-04	0.000000e+00
2.00957610000e+04	1.237763e-04	0.000000e+00
2.10528750000e+04	1.229396e-04	0.000000e+00
2.20555750000e+04	1.220879e-04	0.000000e+00
2.31060300000e+04	1.211948e-04	0.000000e+00
2.42065170000e+04	1.201578e-04	0.000000e+00
2.53594170000e+04	1.191882e-04	0.000000e+00
2.65672270000e+04	1.181548e-04	0.000000e+00
2.78325630000e+04	1.169706e-04	0.000000e+00
2.91581630000e+04	1.157152e-04	0.000000e+00
3.05468990000e+04	1.143835e-04	0.000000e+00
3.20017760000e+04	1.130521e-04	0.000000e+00
3.35259470000e+04	1.115178e-04	0.000000e+00
3.51227100000e+04	1.100300e-04	0.000000e+00
3.67955230000e+04	1.084914e-04	0.000000e+00
3.85480080000e+04	1.069664e-04	0.000000e+00
4.03839600000e+04	1.052657e-04	0.000000e+00
4.23073540000e+04	1.035796e-04	0.000000e+00
4.43223550000e+04	1.017976e-04	0.000000e+00
4.64333260000e+04	9.997546e-05	0.000000e+00
4.86448370000e+04	9.821509e-05	0.000000e+00
5.09616780000e+04	9.643245e-05	0.000000e+00
5.33888640000e+04	9.448467e-05	0.000000e+00
5.59316520000e+04	9.255383e-05	0.000000e+00
5.85955470000e+04	9.070795e-05	0.000000e+00
6.13863160000e+04	8.879040e-05	0.000000e+00
6.43100040000e+04	8.685086e-05	0.000000e+00
6.73729400000e+04	8.509324e-05	0.000000e+00
7.05817570000e+04	8.328301e-05	0.000000e+00
7.39434020000e+04	8.141471e-05	0.000000e+00
7.74651540000e+04	7.967414e-05	0.000000e+00
8.11546400000e+04	7.790302e-05	0.000000e+00
8.50198470000e+04	7.628757e-05	0.000000e+00
8.90691450000e+04	7.465920e-05	0.000000e+00
9.33113010000e+04	7.306377e-05	0.000000e+00
9.77555010000e+04	7.155516e-05	0.000000e+00
1.02411369000e+05	7.011989e-05	0.000000e+00
1.07288985000e+05	6.875902e-05	0.000000e+00
1.12398910000e+05	6.742219e-05	0.000000e+00
1.17752209000e+05	6.623098e-05	0.000000e+00
1.23360473000e+05	6.503832e-05	0.000000e+00
1.29235845000e+05	6.394491e-05	0.000000e+00
1.35391049000e+05	6.288871e-05	0.000000e+00
1.41839410000e+05	6.185969e-05	0.000000e+00
1.48594891000e+05	6.093405e-05	0.000000e+00
1.55672121000e+05	6.012835e-05	0.000000e+00
1.63086422000e+05	5.928841e-05	0.000000e+00
1.70853850000e+05	5.850928e-05	0.000000e+00
1.78991222000e+05	5.783040e-05	0.000000e+00
1.87516158000e+05	5.713419e-05	0.000000e+00
1.96447117000e+05	5.650902e-05	0.000000e+00
2.05803437000e+05	5.594196e-05	0.000000e+00
2.15605376000e+05	5.543286e-05	0.000000e+00
2.25874160000e+05	5.492021e-05	0.000000e+00
2.36632021000e+05	5.446006e-05	0.000000e+00
2.47902254000e+05	5.402707e-05	0.000000e+00
2.59709263000e+05	5.362148e-05	0.000000e+00
2.72078612000e+05	5.325808e-05	0.000000e+00
2.85037084000e+05	5.285995e-05	0.000000e+00
2.98612738000e+05	5.256143e-05	0.000000e+00
3.12834969000e+05	5.224755e-05	0.000000e+00
3.27734572000e+05	5.197661e-05	0.000000e+00
3.43343809000e+05	5.170057e-05	0.000000e+00
3.59696477000e+05	5.144160e-05	0.000000e+00
3.76827984000e+05	5.123014e-05	0.000000e+00
3.94775426000e+05	5.098899e-05	0.000000e+00
4.13577662000e+05	5.079188e-05	0.000000e+00
4.33275406000e+05	5.057854e-05	0.000000e+00
4.53911307000e+05	5.038066e-05	0.000000e+00
4.75530048000e+05	5.020009e-05	0.000000e+00
4.98178439000e+05	5.004456e-05	0.000000e+00
5.21905521000e+05	4.989777e-05	0.000000e+00
5.46762669000e+05	4.971994e-05	0.000000e+00
5.72803705000e+05	4.954736e-05	0.000000e+00
6.00085014000e+05	4.944305e-05	0.000000e+00
6.28665670000e+05	4.928085e-05	0.000000e+00
6.58607555000e+05	4.915049e-05	0.000000e+00
6.89975503000e+05	4.899902e-05	0.000000e+00
7.22837433000e+05	4.887561e-05	0.000000e+00
7.57264501000e+05	4.875891e-05	0.000000e+00
7.93331250000e+05	4.862313e-05	0.000000e+00
8.31115775000e+05	4.848547e-05	0.000000e+00
8.70699889000e+05	4.836336e-05	0.000000e+00
9.12169302000e+05	4.827310e-05	0.000000e+00
9.55613807000e+05	4.810344e-05	0.000000e+00
1.00112747200e+06	4.803451e-05	0.000000e+00
1.04880884800e+06	4.789934e-05	0.000000e+00
1.09876117700e+06	4.779477e-05	0.000000e+00
1.15109262000e+06	4.773986e-05	0.000000e+00
1.20591648700e+06	4.757177e-05	0.000000e+00
1.26335148800e+06	4.747466e-05	0.000000e+00
1.32352198500e+06	4.738633e-05	0.000000e+00
1.38655826200e+06	4.727895e-05	0.000000e+00
1.45259681200e+06	4.721852e-05	0.000000e+00
1.52178062300e+06	4.711664e-05	0.000000e+00
1.59425949900e+06	4.699995e-05	0.000000e+00
1.67019037600e+06	4.694416e-05	0.000000e+00
1.74973766400e+06	4.684701e-05	0.000000e+00
1.83307360400e+06	4.675108e-05	0.000000e+00
1.92037864200e+06	4.669685e-05	0.000000e+00
2.01184181500e+06	4.662644e-05	0.000000e+00
2.10766116800e+06	4.654960e-05	0.000000e+00
2.20804417300e+06	4.649781e-05	0.000000e+00
2.31320818800e+06	4.642974e-05	0.000000e+00
2.42338092000e+06	4.637190e-05	0.000000e+00
2.53880092400e+06	4.632786e-05	0.000000e+00
2.65971811400e+06	4.628913e-05	0.000000e+00
2.78639431000e+06	4.623938e-05	0.000000e+00
2.91910379800e+06	4.622331e-05	0.000000e+00
3.05813393100e+06	4.618177e-05	0.000000e+00
3.20378574600e+06	4.617211e-05	0.000000e+00
3.35637461900e+06	4.615020e-05	0.000000e+00
3.51623094500e+06	4.614899e-05	0.000000e+00
3.68370085700e+06	4.614312e-05	0.000000e+00
3.85914697100e+06	4.613557e-05	0.000000e+00
4.04294917700e+06	4.615579e-05	0.000000e+00
4.23550545400e+06	4.616626e-05	0.000000e+00
4.43723274000e+06	4.619956e-05	0.000000e+00
4.64856782800e+06	4.623877e-05	0.000000e+00
4.86996831500e+06	4.627669e-05	0.000000e+00
5.10191359300e+06	4.632971e-05	0.000000e+00
5.34490588600e+06	4.640255e-05	0.000000e+00
5.59947133700e+06	4.646751e-05	0.000000e+00
5.86616115000e+06	4.657523e-05	0.000000e+00
6.14555277800e+06	4.666759e-05	0.000000e+00
6.43825118100e+06	4.675563e-05	0.000000e+00
6.74489012900e+06	4.687902e-05	0.000000e+00
7.06613357700e+06	4.703245e-05	0.000000e+00
7.40267710500e+06	4.720696e-05	0.000000e+00
7.75524942000e+06	4.738484e-05	0.000000e+00
8.12461393400e+06	4.760514e-05	0.000000e+00
8.51157042300e+06	4.783406e-05	0.000000e+00
8.91695675000e+06	4.806390e-05	0.000000e+00
9.34165068600e+06	4.837840e-05	0.000000e+00
9.78657180700e+06	4.865045e-05	0.000000e+00
1.02526834890e+07	4.903755e-05	0.000000e+00
1.07409949860e+07	4.942173e-05	0.000000e+00
1.12525636270e+07	4.992393e-05	0.000000e+00
1.17884970930e+07	5.044006e-05	0.000000e+00
1.23499558250e+07	5.100963e-05	0.000000e+00
1.29381555320e+07	5.166202e-05	0.000000e+00
1.35543698250e+07	5.240325e-05	0.000000e+00
1.41999329730e+07	5.324363e-05	0.000000e+00
1.48762427950e+07	5.417662e-05	0.000000e+00
1.55847636820e+07	5.409478e-05	0.000000e+00
1.63270297730e+07	5.513666e-05	0.000000e+00
1.71046482740e+07	5.632870e-05	0.000000e+00
1.79193029370e+07	5.768752e-05	0.000000e+00
1.87727577100e+07	5.925996e-05	0.000000e+00
1.96668605510e+07	6.103879e-05	0.000000e+00
2.06035474330e+07	6.309061e-05	0.000000e+00
2.15848465360e+07	6.548343e-05	0.000000e+00
2.26128826350e+07	6.890984e-05	0.000000e+00
2.36898817060e+07	7.316344e-05	0.000000e+00
2.48181757410e+07	7.737969e-05	0.000000e+00
2.60002077990e+07	8.268687e-05	0.000000e+00
2.72385372990e+07	8.914292e-05	0.000000e+00
2.85358455560e+07	9.760261e-05	0.000000e+00
2.98949415920e+07	1.067657e-04	0.000000e+00
3.13187682140e+07	1.194481e-04	0.000000e+00
3.28104083910e+07	1.317916e-04	0.000000e+00
3.43730919250e+07	1.344859e-04	0.000000e+00
3.60102024460e+07	1.051919e-04	0.000000e+00
3.77252847370e+07	-1.330549e-06	0.000000e+00
3.95220524150e+07	-9.805936e-05	0.000000e+00
4.14043959620e+07	-1.175780e-04	0.000000e+00
4.33763911600e+07	-1.038577e-04	0.000000e+00
4.54423079090e+07	-8.912403e-05	0.000000e+00
4.76066194730e+07	-7.405272e-05	0.000000e+00
4.98740121700e+07	-6.379832e-05	0.000000e+00
5.22493955130e+07	-5.481226e-05	0.000000e+00
5.47379128470e+07	-4.810088e-05	0.000000e+00
5.73449524810e+07	-4.392568e-05	0.000000e+00
6.00761593570e+07	-4.144102e-05	0.000000e+00
6.29374472710e+07	-4.207566e-05	0.000000e+00
6.59350116830e+07	-4.923172e-05	0.000000e+00
6.90753431240e+07	-8.473139e-05	0.000000e+00
7.23652412560e+07	2.938890e-05	0.000000e+00
7.58118295940e+07	7.756525e-06	0.000000e+00
7.94225709290e+07	1.191279e-06	0.000000e+00
8.32052834850e+07	-1.209310e-06	0.000000e+00
8.71681578540e+07	-2.134637e-06	0.000000e+00
9.13197747230e+07	-2.417770e-06	0.000000e+00
9.56691234590e+07	-2.387174e-06	0.000000e+00
1.00225621572e+08	-2.189822e-06	0.000000e+00
1.04999135106e+08	-1.901357e-06	0.000000e+00
1.10000000000e+08	-1.553851e-06	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+04	1.141781e+00	0.000000e+00
1.04762770000e+04	1.233875e+00	0.000000e+00
1.09752370000e+04	1.331110e+00	0.000000e+00
1.14979630000e+04	1.419928e+00	0.000000e+00
1.20455840000e+04	1.526224e+00	0.000000e+00
1.26192870000e+04	1.674835e+00	0.000000e+00
1.32203140000e+04	1.789686e+00	0.000000e+00
1.38499670000e+04	1.937183e+00	0.000000e+00
1.45096090000e+04	2.088065e+00	0.000000e+00
1.52006680000e+04	2.245625e+00	0.000000e+00
1.59246400000e+04	2.442514e+00	0.000000e+00
1.66830940000e+04	2.643332e+00	0.000000e+00
1.74776710000e+04	2.849697e+00	0.000000e+00
1.83100920000e+04	3.070875e+00	0.000000e+00
1.91821590000e+04	3.293480e+00	0.000000e+00
2.00957610000e+04	3.555368e+00	0.000000e+00
2.10528750000e+04	3.854132e+00	0.000000e+00
2.20555750000e+04	4.146502e+00	0.000000e+00
2.31060300000e+04	4.471104e+00	0.000000e+00
2.42065170000e+04	4.810718e+00	0.000000e+00
2.53594170000e+04	5.183269e+00	0.000000e+00
2.65672270000e+04	5.579445e+00	0.000000e+00
2.78325630000e+04	5.992888e+00	0.000000e+00
2.91581630000e+04	6.411701e+00	0.000000e+00
3.05468990000e+04	6.890986e+00	0.000000e+00
3.20017760000e+04	7.351560e+00	0.000000e+00
3.35259470000e+04	7.845288e+00	0.000000e+00
3.51227100000e+04	8.414902e+00	0.000000e+00
3.67955230000e+04	8.973049e+00	0.000000e+00
3.85480080000e+04	9.553457e+00	0.000000e+00
4.03839600000e+04	1.012836e+01	0.000000e+00
4.23073540000e+04	1.075529e+01	0.000000e+00
4.43223550000e+04	1.138614e+01	0.000000e+00
4.64333260000e+04	1.208634e+01	0.000000e+00
4.86448370000e+04	1.270699e+01	0.000000e+00
5.09616780000e+04	1.340183e+01	0.000000e+00
5.33888640000e+04	1.406498e+01	0.000000e+00
5.59316520000e+04	1.476949e+01	0.000000e+00
5.85955470000e+04	1.548016e+01	0.000000e+00
6.13863160000e+04	1.617191e+01	0.000000e+00
6.43100040000e+04	1.689956e+01	0.000000e+00
6.73729400000e+04	1.757427e+01	0.000000e+00
7.05817570000e+04	1.825317e+01	0.000000e+00
7.39434020000e+04	1.890015e+01	0.000000e+00
7.74651540000e+04	1.960049e+01	0.000000e+00
8.11546400000e+04	2.023995e+01	0.000000e+00
8.50198470000e+04	2.086359e+01	0.000000e+00
8.90691450000e+04	2.147170e+01	0.000000e+00
9.33113010000e+04	2.209271e+01	0.000000e+00
9.77555010000e+04	2.270127e+01	0.000000e+00
1.02411369000e+05	2.324606e+01	0.000000e+00
1.07288985000e+05	2.380217e+01	0.000000e+00
1.12398910000e+05	2.430536e+01	0.000000e+00
1.17752209000e+05	2.482193e+01	0.000000e+00
1.23360473000e+05	2.528957e+01	0.000000e+00
1.29235845000e+05	2.575354e+01	0.000000e+00
1.35391049000e+05	2.617208e+01	0.000000e+00
1.41839410000e+05	2.665335e+01	0.000000e+00
1.48594891000e+05	2.702655e+01	0.000000e+00
1.55672121000e+05	2.740088e+01	0.000000e+00
1.63086422000e+05	2.778716e+01	0.000000e+00
1.70853850000e+05	2.817528e+01	0.000000e+00
1.78991222000e+05	2.844952e+01	0.000000e+00
1.87516158000e+05	2.886446e+01	0.000000e+00
1.96447117000e+05	2.923221e+01	0.000000e+00
2.05803437000e+05	2.950084e+01	0.000000e+00
2.15605376000e+05	2.976749e+01	0.000000e+00
2.25874160000e+05	3.012990e+01	0.000000e+00
2.36632021000e+05	3.044754e+01	0.000000e+00
2.47902254000e+05	3.072772e+01	0.000000e+00
2.59709263000e+05	3.099654e+01	0.000000e+00
2.72078612000e+05	3.129654e+01	0.000000e+00
2.85037084000e+05	3.164137e+01	0.000000e+00
2.98612738000e+05	3.192063e+01	0.000000e+00
3.12834969000e+05	3.229209e+01	0.000000e+00
