4294A REV1.11
"DATE: Apr 21 2016"


"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+04	2.522306e-04	0.000000e+00
1.04762770000e+04	2.520871e-04	0.000000e+00
1.09752370000e+04	2.520438e-04	0.000000e+00
1.14979630000e+04	2.519855e-04	0.000000e+00
1.20455840000e+04	2.520373e-04	0.000000e+00
1.26192870000e+04	2.516541e-04	0.000000e+00
1.32203140000e+04	2.517189e-04	0.000000e+00
1.38499670000e+04	2.518564e-04	0.000000e+00
1.45096090000e+04	2.517904e-04	0.000000e+00
1.52006680000e+04	2.516260e-04	0.000000e+00
1.59246400000e+04	2.513742e-04	0.000000e+00
1.66830940000e+04	2.511929e-04	0.000000e+00
1.74776710000e+04	2.512373e-04	0.000000e+00
1.83100920000e+04	2.511546e-04	0.000000e+00
1.91821590000e+04	2.510294e-04	0.000000e+00
2.00957610000e+04	2.505792e-04	0.000000e+00
2.10528750000e+04	2.509039e-04	0.000000e+00
2.20555750000e+04	2.505692e-04	0.000000e+00
2.31060300000e+04	2.507034e-04	0.000000e+00
2.42065170000e+04	2.504868e-04	0.000000e+00
2.53594170000e+04	2.503687e-04	0.000000e+00
2.65672270000e+04	2.501958e-04	0.000000e+00
2.78325630000e+04	2.498159e-04	0.000000e+00
2.91581630000e+04	2.497299e-04	0.000000e+00
3.05468990000e+04	2.496309e-04	0.000000e+00
3.20017760000e+04	2.495277e-04	0.000000e+00
3.35259470000e+04	2.493236e-04	0.000000e+00
3.51227100000e+04	2.492970e-04	0.000000e+00
3.67955230000e+04	2.490188e-04	0.000000e+00
3.85480080000e+04	2.488282e-04	0.000000e+00
4.03839600000e+04	2.486176e-04	0.000000e+00
4.23073540000e+04	2.485016e-04	0.000000e+00
4.43223550000e+04	2.483716e-04	0.000000e+00
4.64333260000e+04	2.481659e-04	0.000000e+00
4.86448370000e+04	2.478633e-04	0.000000e+00
5.09616780000e+04	2.478212e-04	0.000000e+00
5.33888640000e+04	2.475354e-04	0.000000e+00
5.59316520000e+04	2.473821e-04	0.000000e+00
5.85955470000e+04	2.471007e-04	0.000000e+00
6.13863160000e+04	2.468806e-04	0.000000e+00
6.43100040000e+04	2.467174e-04	0.000000e+00
6.73729400000e+04	2.464390e-04	0.000000e+00
7.05817570000e+04	2.462316e-04	0.000000e+00
7.39434020000e+04	2.459200e-04	0.000000e+00
7.74651540000e+04	2.457101e-04	0.000000e+00
8.11546400000e+04	2.454384e-04	0.000000e+00
8.50198470000e+04	2.451691e-04	0.000000e+00
8.90691450000e+04	2.449106e-04	0.000000e+00
9.33113010000e+04	2.446580e-04	0.000000e+00
9.77555010000e+04	2.444159e-04	0.000000e+00
1.02411369000e+05	2.440537e-04	0.000000e+00
1.07288985000e+05	2.438568e-04	0.000000e+00
1.12398910000e+05	2.435312e-04	0.000000e+00
1.17752209000e+05	2.433374e-04	0.000000e+00
1.23360473000e+05	2.430833e-04	0.000000e+00
1.29235845000e+05	2.426982e-04	0.000000e+00
1.35391049000e+05	2.423807e-04	0.000000e+00
1.41839410000e+05	2.421170e-04	0.000000e+00
1.48594891000e+05	2.416628e-04	0.000000e+00
1.55672121000e+05	2.414700e-04	0.000000e+00
1.63086422000e+05	2.412165e-04	0.000000e+00
1.70853850000e+05	2.408489e-04	0.000000e+00
1.78991222000e+05	2.404937e-04	0.000000e+00
1.87516158000e+05	2.402213e-04	0.000000e+00
1.96447117000e+05	2.399246e-04	0.000000e+00
2.05803437000e+05	2.396484e-04	0.000000e+00
2.15605376000e+05	2.393745e-04	0.000000e+00
2.25874160000e+05	2.391377e-04	0.000000e+00
2.36632021000e+05	2.386947e-04	0.000000e+00
2.47902254000e+05	2.384657e-04	0.000000e+00
2.59709263000e+05	2.381190e-04	0.000000e+00
2.72078612000e+05	2.378346e-04	0.000000e+00
2.85037084000e+05	2.375390e-04	0.000000e+00
2.98612738000e+05	2.374691e-04	0.000000e+00
3.12834969000e+05	2.369402e-04	0.000000e+00
3.27734572000e+05	2.367383e-04	0.000000e+00
3.43343809000e+05	2.366498e-04	0.000000e+00
3.59696477000e+05	2.363304e-04	0.000000e+00
3.76827984000e+05	2.361967e-04	0.000000e+00
3.94775426000e+05	2.359081e-04	0.000000e+00
4.13577662000e+05	2.358309e-04	0.000000e+00
4.33275406000e+05	2.356167e-04	0.000000e+00
4.53911307000e+05	2.355577e-04	0.000000e+00
4.75530048000e+05	2.354398e-04	0.000000e+00
4.98178439000e+05	2.353697e-04	0.000000e+00
5.21905521000e+05	2.353666e-04	0.000000e+00
5.46762669000e+05	2.353400e-04	0.000000e+00
5.72803705000e+05	2.353717e-04	0.000000e+00
6.00085014000e+05	2.354001e-04	0.000000e+00
6.28665670000e+05	2.357282e-04	0.000000e+00
6.58607555000e+05	2.357847e-04	0.000000e+00
6.89975503000e+05	2.360341e-04	0.000000e+00
7.22837433000e+05	2.362693e-04	0.000000e+00
7.57264501000e+05	2.366968e-04	0.000000e+00
7.93331250000e+05	2.371258e-04	0.000000e+00
8.31115775000e+05	2.376761e-04	0.000000e+00
8.70699889000e+05	2.383310e-04	0.000000e+00
9.12169302000e+05	2.389332e-04	0.000000e+00
9.55613807000e+05	2.398833e-04	0.000000e+00
1.00112747200e+06	2.408086e-04	0.000000e+00
1.04880884800e+06	2.419213e-04	0.000000e+00
1.09876117700e+06	2.430513e-04	0.000000e+00
1.15109262000e+06	2.445666e-04	0.000000e+00
1.20591648700e+06	2.462000e-04	0.000000e+00
1.26335148800e+06	2.480914e-04	0.000000e+00
1.32352198500e+06	2.501421e-04	0.000000e+00
1.38655826200e+06	2.526677e-04	0.000000e+00
1.45259681200e+06	2.554154e-04	0.000000e+00
1.52178062300e+06	2.585179e-04	0.000000e+00
1.59425949900e+06	2.618537e-04	0.000000e+00
1.67019037600e+06	2.658622e-04	0.000000e+00
1.74973766400e+06	2.704699e-04	0.000000e+00
1.83307360400e+06	2.757817e-04	0.000000e+00
1.92037864200e+06	2.819016e-04	0.000000e+00
2.01184181500e+06	2.890571e-04	0.000000e+00
2.10766116800e+06	2.970443e-04	0.000000e+00
2.20804417300e+06	3.067320e-04	0.000000e+00
2.31320818800e+06	3.178321e-04	0.000000e+00
2.42338092000e+06	3.312550e-04	0.000000e+00
2.53880092400e+06	3.475214e-04	0.000000e+00
2.65971811400e+06	3.672043e-04	0.000000e+00
2.78639431000e+06	3.916163e-04	0.000000e+00
2.91910379800e+06	4.225388e-04	0.000000e+00
3.05813393100e+06	4.627841e-04	0.000000e+00
3.20378574600e+06	5.166781e-04	0.000000e+00
3.35637461900e+06	5.927474e-04	0.000000e+00
3.51623094500e+06	7.050907e-04	0.000000e+00
3.68370085700e+06	8.884617e-04	0.000000e+00
3.85914697100e+06	1.226045e-03	0.000000e+00
4.04294917700e+06	1.900826e-03	0.000000e+00
4.23550545400e+06	-5.277213e-04	0.000000e+00
4.43723274000e+06	-1.637297e-03	0.000000e+00
4.64856782800e+06	-9.638205e-04	0.000000e+00
4.86996831500e+06	-6.432424e-04	0.000000e+00
5.10191359300e+06	-4.681147e-04	0.000000e+00
5.34490588600e+06	-3.593974e-04	0.000000e+00
5.59947133700e+06	-2.860718e-04	0.000000e+00
5.86616115000e+06	-2.334460e-04	0.000000e+00
6.14555277800e+06	-1.940958e-04	0.000000e+00
6.43825118100e+06	-1.637202e-04	0.000000e+00
6.74489012900e+06	-1.396211e-04	0.000000e+00
7.06613357700e+06	-1.201548e-04	0.000000e+00
7.40267710500e+06	-1.041360e-04	0.000000e+00
7.75524942000e+06	-9.077336e-05	0.000000e+00
8.12461393400e+06	-7.952467e-05	0.000000e+00
8.51157042300e+06	-6.994666e-05	0.000000e+00
8.91695675000e+06	-6.174269e-05	0.000000e+00
9.34165068600e+06	-5.463998e-05	0.000000e+00
9.78657180700e+06	-4.847245e-05	0.000000e+00
1.02526834890e+07	-4.307989e-05	0.000000e+00
1.07409949860e+07	-3.835520e-05	0.000000e+00
1.12525636270e+07	-3.418922e-05	0.000000e+00
1.17884970930e+07	-3.051868e-05	0.000000e+00
1.23499558250e+07	-2.724799e-05	0.000000e+00
1.29381555320e+07	-2.435162e-05	0.000000e+00
1.35543698250e+07	-2.175646e-05	0.000000e+00
1.41999329730e+07	-1.945097e-05	0.000000e+00
1.48762427950e+07	-1.737464e-05	0.000000e+00
1.55847636820e+07	-1.559120e-05	0.000000e+00
1.63270297730e+07	-1.391644e-05	0.000000e+00
1.71046482740e+07	-1.240747e-05	0.000000e+00
1.79193029370e+07	-1.104686e-05	0.000000e+00
1.87727577100e+07	-9.818579e-06	0.000000e+00
1.96668605510e+07	-8.707495e-06	0.000000e+00
2.06035474330e+07	-7.702844e-06	0.000000e+00
2.15848465360e+07	-6.792160e-06	0.000000e+00
2.26128826350e+07	-5.963552e-06	0.000000e+00
2.36898817060e+07	-5.208582e-06	0.000000e+00
2.48181757410e+07	-4.522463e-06	0.000000e+00
2.60002077990e+07	-3.898060e-06	0.000000e+00
2.72385372990e+07	-3.327575e-06	0.000000e+00
2.85358455560e+07	-2.801270e-06	0.000000e+00
2.98949415920e+07	-2.318655e-06	0.000000e+00
3.13187682140e+07	-1.872396e-06	0.000000e+00
3.28104083910e+07	-1.457531e-06	0.000000e+00
3.43730919250e+07	-1.069014e-06	0.000000e+00
3.60102024460e+07	-7.035525e-07	0.000000e+00
3.77252847370e+07	-3.555712e-07	0.000000e+00
3.95220524150e+07	-1.987905e-08	0.000000e+00
4.14043959620e+07	3.091182e-07	0.000000e+00
4.33763911600e+07	6.380830e-07	0.000000e+00
4.54423079090e+07	9.761615e-07	0.000000e+00
4.76066194730e+07	1.333250e-06	0.000000e+00
4.98740121700e+07	1.726181e-06	0.000000e+00
5.22493955130e+07	2.183820e-06	0.000000e+00
5.47379128470e+07	2.742420e-06	0.000000e+00
5.73449524810e+07	3.481925e-06	0.000000e+00
6.00761593570e+07	4.569930e-06	0.000000e+00
6.29374472710e+07	6.398470e-06	0.000000e+00
6.59350116830e+07	1.027590e-05	0.000000e+00
6.90753431240e+07	2.021747e-05	0.000000e+00
7.23652412560e+07	-1.979201e-05	0.000000e+00
7.58118295940e+07	-9.364295e-06	0.000000e+00
7.94225709290e+07	-5.644355e-06	0.000000e+00
8.32052834850e+07	-3.898199e-06	0.000000e+00
8.71681578540e+07	-2.885110e-06	0.000000e+00
9.13197747230e+07	-2.219380e-06	0.000000e+00
9.56691234590e+07	-1.745096e-06	0.000000e+00
1.00225621572e+08	-1.384096e-06	0.000000e+00
1.04999135106e+08	-1.095809e-06	0.000000e+00
1.10000000000e+08	-8.474934e-07	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+04	4.535713e-01	0.000000e+00
1.04762770000e+04	4.997152e-01	0.000000e+00
1.09752370000e+04	5.067632e-01	0.000000e+00
1.14979630000e+04	5.261371e-01	0.000000e+00
1.20455840000e+04	5.305511e-01	0.000000e+00
1.26192870000e+04	5.748477e-01	0.000000e+00
1.32203140000e+04	5.493749e-01	0.000000e+00
1.38499670000e+04	5.964818e-01	0.000000e+00
1.45096090000e+04	6.296329e-01	0.000000e+00
1.52006680000e+04	6.383852e-01	0.000000e+00
1.59246400000e+04	6.654807e-01	0.000000e+00
1.66830940000e+04	6.990141e-01	0.000000e+00
1.74776710000e+04	7.615720e-01	0.000000e+00
1.83100920000e+04	7.880299e-01	0.000000e+00
1.91821590000e+04	7.806587e-01	0.000000e+00
2.00957610000e+04	8.195761e-01	0.000000e+00
2.10528750000e+04	8.880243e-01	0.000000e+00
2.20555750000e+04	9.326253e-01	0.000000e+00
2.31060300000e+04	9.602737e-01	0.000000e+00
2.42065170000e+04	1.038739e+00	0.000000e+00
2.53594170000e+04	1.095683e+00	0.000000e+00
2.65672270000e+04	1.111750e+00	0.000000e+00
2.78325630000e+04	1.199093e+00	0.000000e+00
2.91581630000e+04	1.315691e+00	0.000000e+00
3.05468990000e+04	1.344350e+00	0.000000e+00
3.20017760000e+04	1.442108e+00	0.000000e+00
3.35259470000e+04	1.443568e+00	0.000000e+00
3.51227100000e+04	1.612352e+00	0.000000e+00
3.67955230000e+04	1.651063e+00	0.000000e+00
3.85480080000e+04	1.761166e+00	0.000000e+00
4.03839600000e+04	1.796946e+00	0.000000e+00
4.23073540000e+04	2.003156e+00	0.000000e+00
4.43223550000e+04	2.113250e+00	0.000000e+00
4.64333260000e+04	2.174263e+00	0.000000e+00
4.86448370000e+04	2.299879e+00	0.000000e+00
5.09616780000e+04	2.458360e+00	0.000000e+00
5.33888640000e+04	2.615216e+00	0.000000e+00
5.59316520000e+04	2.749266e+00	0.000000e+00
5.85955470000e+04	2.892136e+00	0.000000e+00
6.13863160000e+04	3.136146e+00	0.000000e+00
6.43100040000e+04	3.160120e+00	0.000000e+00
6.73729400000e+04	3.415627e+00	0.000000e+00
7.05817570000e+04	3.745595e+00	0.000000e+00
7.39434020000e+04	4.048240e+00	0.000000e+00
7.74651540000e+04	4.121016e+00	0.000000e+00
8.11546400000e+04	4.231372e+00	0.000000e+00
8.50198470000e+04	4.601259e+00	0.000000e+00
8.90691450000e+04	4.989700e+00	0.000000e+00
9.33113010000e+04	5.155836e+00	0.000000e+00
